c	NotreDame_De_Paris.txt 6, Miserables.txt 41
ca	Miserables.txt 5
cab	Miserables.txt 12
cabal	NotreDame_De_Paris.txt 1
cabalistic	NotreDame_De_Paris.txt 2
cabalistics	NotreDame_De_Paris.txt 1
caballeros	Miserables.txt 1
cabaret	NotreDame_De_Paris.txt 1, Miserables.txt 5
cabarets	Miserables.txt 1
cabbage	NotreDame_De_Paris.txt 2, Miserables.txt 2
cabbages	NotreDame_De_Paris.txt 1, Miserables.txt 2
cabellero	NotreDame_De_Paris.txt 1
cabin	NotreDame_De_Paris.txt 4, Miserables.txt 3
cabinet	NotreDame_De_Paris.txt 2, Miserables.txt 7
cabinets	Miserables.txt 3
cabins	Miserables.txt 1
cable	Miserables.txt 3
cables	Miserables.txt 1
caboulots	Miserables.txt 1
cabriolet	Miserables.txt 20
cabriolets	Miserables.txt 4
cabs	Miserables.txt 2
cabuc	Miserables.txt 20
cache	Miserables.txt 1
caches	Miserables.txt 1
cachuca	Miserables.txt 1
cadaver	Miserables.txt 1
cadaverous	Miserables.txt 1
cadences	NotreDame_De_Paris.txt 1
cadene	Miserables.txt 1
cadenettes	Miserables.txt 1
cadets	Miserables.txt 1
cadodaches	Miserables.txt 1
cadran	Miserables.txt 5
caeca	Miserables.txt 1
caen	Miserables.txt 1
caesar	NotreDame_De_Paris.txt 2, Miserables.txt 31
caesarian	Miserables.txt 1
caesarism	Miserables.txt 1
caesars	Miserables.txt 5
caetera	Miserables.txt 3
cafe	Miserables.txt 34
cafes	Miserables.txt 2
cage	NotreDame_De_Paris.txt 31, Miserables.txt 18
caged	Miserables.txt 1
cages	NotreDame_De_Paris.txt 3, Miserables.txt 3
cagliostro	Miserables.txt 1
cagoule	NotreDame_De_Paris.txt 1
cahors	Miserables.txt 2
caillard	Miserables.txt 1
caillart	NotreDame_De_Paris.txt 1
caillou	Miserables.txt 2
caillouville	NotreDame_De_Paris.txt 1
cain	NotreDame_De_Paris.txt 1, Miserables.txt 3
caiphas	Miserables.txt 2
caisson	Miserables.txt 1
caissons	Miserables.txt 4
caius	Miserables.txt 1
cajole	Miserables.txt 1
cake	NotreDame_De_Paris.txt 27, Miserables.txt 15
cakes	NotreDame_De_Paris.txt 1, Miserables.txt 3
calabash	NotreDame_De_Paris.txt 1
calabrian	NotreDame_De_Paris.txt 1
calais	Miserables.txt 3
calamities	Miserables.txt 2
calamitous	NotreDame_De_Paris.txt 1
calamity	NotreDame_De_Paris.txt 3, Miserables.txt 3
calas	Miserables.txt 2
calash	Miserables.txt 4
calatagirone	NotreDame_De_Paris.txt 1
calcareous	Miserables.txt 1
calculate	NotreDame_De_Paris.txt 1, Miserables.txt 3
calculated	NotreDame_De_Paris.txt 4, Miserables.txt 15
calculating	NotreDame_De_Paris.txt 1, Miserables.txt 1
calculation	Miserables.txt 3
calculations	Miserables.txt 8
calculator	Miserables.txt 3
caledonian	Miserables.txt 1
calendar	NotreDame_De_Paris.txt 1
calendre	NotreDame_De_Paris.txt 1
caleur	Miserables.txt 1
calf	NotreDame_De_Paris.txt 1, Miserables.txt 3
caliban	Miserables.txt 1
calico	Miserables.txt 3
caligraphy	NotreDame_De_Paris.txt 1
caligula	Miserables.txt 2
caliphs	Miserables.txt 1
calixtus	NotreDame_De_Paris.txt 1
call	NotreDame_De_Paris.txt 33, Miserables.txt 122
callebotte	NotreDame_De_Paris.txt 1
called	NotreDame_De_Paris.txt 63, Miserables.txt 384
callest	NotreDame_De_Paris.txt 1
calling	NotreDame_De_Paris.txt 8, Miserables.txt 18
callipyge	Miserables.txt 1
callot	NotreDame_De_Paris.txt 1, Miserables.txt 1
callous	NotreDame_De_Paris.txt 3, Miserables.txt 1
callouses	Miserables.txt 1
callow	Miserables.txt 1
calls	NotreDame_De_Paris.txt 3, Miserables.txt 35
callumore	Miserables.txt 2
calm	NotreDame_De_Paris.txt 14, Miserables.txt 63
calme	Miserables.txt 1
