d	NotreDame_De_Paris.txt 52, Miserables.txt 183
dab	Miserables.txt 2
dabbled	Miserables.txt 1
dabs	Miserables.txt 1
dabuge	Miserables.txt 1
dactyl	NotreDame_De_Paris.txt 1
daddy	Miserables.txt 3
dado	Miserables.txt 1
dados	NotreDame_De_Paris.txt 1
daedalus	NotreDame_De_Paris.txt 4, Miserables.txt 1
daelli	Miserables.txt 1
daemonum	NotreDame_De_Paris.txt 1
dagger	NotreDame_De_Paris.txt 11, Miserables.txt 8
daggers	NotreDame_De_Paris.txt 5
dagobert	NotreDame_De_Paris.txt 1
dague	Miserables.txt 1
dahlia	Miserables.txt 19
dahlias	Miserables.txt 2
dahuille	NotreDame_De_Paris.txt 1
daigning	Miserables.txt 1
dail	Miserables.txt 1
daily	NotreDame_De_Paris.txt 1, Miserables.txt 7
daim	NotreDame_De_Paris.txt 6
dainties	NotreDame_De_Paris.txt 1, Miserables.txt 1
daintily	Miserables.txt 1
daintiness	NotreDame_De_Paris.txt 2
dainty	NotreDame_De_Paris.txt 3, Miserables.txt 3
dairies	Miserables.txt 4
dais	NotreDame_De_Paris.txt 4, Miserables.txt 3
daisies	NotreDame_De_Paris.txt 1, Miserables.txt 3
daisy	NotreDame_De_Paris.txt 3, Miserables.txt 2
daiz	NotreDame_De_Paris.txt 1
dallemagne	Miserables.txt 1
dalmatics	NotreDame_De_Paris.txt 1
dalmatie	Miserables.txt 1
dam	Miserables.txt 1
damage	NotreDame_De_Paris.txt 3, Miserables.txt 5
damaged	NotreDame_De_Paris.txt 1, Miserables.txt 4
damages	NotreDame_De_Paris.txt 5, Miserables.txt 5
damas	Miserables.txt 1
damascened	NotreDame_De_Paris.txt 1
damascus	Miserables.txt 2
damasippus	Miserables.txt 1
damask	NotreDame_De_Paris.txt 5, Miserables.txt 8
damasks	Miserables.txt 1
damb	Miserables.txt 1
dambray	Miserables.txt 2
dame	NotreDame_De_Paris.txt 177, Miserables.txt 17
dames	NotreDame_De_Paris.txt 5, Miserables.txt 1
dammed	NotreDame_De_Paris.txt 1
damn	NotreDame_De_Paris.txt 1
damnable	NotreDame_De_Paris.txt 1
damnation	NotreDame_De_Paris.txt 5, Miserables.txt 4
damned	NotreDame_De_Paris.txt 8, Miserables.txt 7
damnerais	Miserables.txt 1
damoiselle	NotreDame_De_Paris.txt 6
damoiselles	NotreDame_De_Paris.txt 2
damp	NotreDame_De_Paris.txt 2, Miserables.txt 11
dampen	Miserables.txt 1
damper	Miserables.txt 2
dampmartin	NotreDame_De_Paris.txt 1
dampness	NotreDame_De_Paris.txt 2, Miserables.txt 4
damsel	NotreDame_De_Paris.txt 6
damsels	NotreDame_De_Paris.txt 9
dance	NotreDame_De_Paris.txt 15, Miserables.txt 10
danced	NotreDame_De_Paris.txt 5, Miserables.txt 5
dancer	NotreDame_De_Paris.txt 29, Miserables.txt 5
dancers	Miserables.txt 3
dances	NotreDame_De_Paris.txt 4, Miserables.txt 5
dancing	NotreDame_De_Paris.txt 14, Miserables.txt 4
dand	NotreDame_De_Paris.txt 1
dandelions	Miserables.txt 2
dandies	Miserables.txt 3
dandified	Miserables.txt 2
dandle	Miserables.txt 1
dandling	Miserables.txt 1
dandy	Miserables.txt 10
danger	NotreDame_De_Paris.txt 5, Miserables.txt 38
dangerous	Miserables.txt 31
dangerously	Miserables.txt 2
dangers	NotreDame_De_Paris.txt 2, Miserables.txt 6
dangle	Miserables.txt 1
dangling	NotreDame_De_Paris.txt 2, Miserables.txt 1
dans	NotreDame_De_Paris.txt 1, Miserables.txt 20
dante	NotreDame_De_Paris.txt 5, Miserables.txt 13
dantes	Miserables.txt 1
danton	Miserables.txt 14
danube	Miserables.txt 1
daphnis	Miserables.txt 1
dapifero	NotreDame_De_Paris.txt 1
dappes	Miserables.txt 1
dappled	NotreDame_De_Paris.txt 1
dardant	Miserables.txt 1
dare	NotreDame_De_Paris.txt 7, Miserables.txt 23
dared	NotreDame_De_Paris.txt 18, Miserables.txt 36
dares	NotreDame_De_Paris.txt 1, Miserables.txt 2
daring	NotreDame_De_Paris.txt 5, Miserables.txt 28
dark	NotreDame_De_Paris.txt 44, Miserables.txt 119
darkened	NotreDame_De_Paris.txt 1
darker	Miserables.txt 1
darkest	NotreDame_De_Paris.txt 2, Miserables.txt 2
darkly	NotreDame_De_Paris.txt 1
darkmans	Miserables.txt 1
darkness	NotreDame_De_Paris.txt 23, Miserables.txt 141
darknesses	Miserables.txt 1
darling	Miserables.txt 5
darned	Miserables.txt 1
daron	Miserables.txt 1
dart	NotreDame_De_Paris.txt 3, Miserables.txt 5
darted	NotreDame_De_Paris.txt 8, Miserables.txt 17
darting	NotreDame_De_Paris.txt 1, Miserables.txt 5
darts	Miserables.txt 3
das	Miserables.txt 1
dash	NotreDame_De_Paris.txt 5, Miserables.txt 7
dashed	NotreDame_De_Paris.txt 8, Miserables.txt 7
dashes	NotreDame_De_Paris.txt 3, Miserables.txt 2
dashing	NotreDame_De_Paris.txt 1, Miserables.txt 4
data	NotreDame_De_Paris.txt 1, Miserables.txt 2
date	NotreDame_De_Paris.txt 10, Miserables.txt 34
dated	NotreDame_De_Paris.txt 2, Miserables.txt 3
dates	NotreDame_De_Paris.txt 1, Miserables.txt 6
dating	NotreDame_De_Paris.txt 2, Miserables.txt 1
datum	NotreDame_De_Paris.txt 1
daub	NotreDame_De_Paris.txt 1, Miserables.txt 4
daubed	NotreDame_De_Paris.txt 1, Miserables.txt 3
