f	Miserables.txt 19, NotreDame_De_Paris.txt 16
fa	NotreDame_De_Paris.txt 38, Miserables.txt 1
fabantou	Miserables.txt 17
fable	Miserables.txt 2
fables	Miserables.txt 1
fabre	Miserables.txt 10
fabri	Miserables.txt 1
fabricate	Miserables.txt 1
fabricated	Miserables.txt 1
fabrique	Miserables.txt 1
fabulous	Miserables.txt 5
fabvier	Miserables.txt 1
fac	NotreDame_De_Paris.txt 2
facade	Miserables.txt 9, NotreDame_De_Paris.txt 1
facades	Miserables.txt 4
faccia	Miserables.txt 1
face	Miserables.txt 323, NotreDame_De_Paris.txt 164
faced	Miserables.txt 11, NotreDame_De_Paris.txt 4
faces	Miserables.txt 34, NotreDame_De_Paris.txt 30
faceted	NotreDame_De_Paris.txt 1
facets	NotreDame_De_Paris.txt 1
facial	Miserables.txt 1
facies	NotreDame_De_Paris.txt 1
facile	NotreDame_De_Paris.txt 1
facilitate	Miserables.txt 2
facility	Miserables.txt 3, NotreDame_De_Paris.txt 1
facing	Miserables.txt 25, NotreDame_De_Paris.txt 1
facit	NotreDame_De_Paris.txt 1, Miserables.txt 1
facitote	NotreDame_De_Paris.txt 2
facsimile	Miserables.txt 2
fact	Miserables.txt 281, NotreDame_De_Paris.txt 95
facta	Miserables.txt 2
faction	Miserables.txt 3, NotreDame_De_Paris.txt 1
factions	Miserables.txt 1
factious	Miserables.txt 2
factories	Miserables.txt 5
factors	Miserables.txt 1
factory	Miserables.txt 17
facts	Miserables.txt 47, NotreDame_De_Paris.txt 4
faculties	Miserables.txt 5, NotreDame_De_Paris.txt 4
faculty	Miserables.txt 6, NotreDame_De_Paris.txt 2
faded	Miserables.txt 5, NotreDame_De_Paris.txt 1
fades	NotreDame_De_Paris.txt 1
fading	Miserables.txt 4, NotreDame_De_Paris.txt 1
faenza	Miserables.txt 1
fafiot	Miserables.txt 2
fagon	Miserables.txt 1
fagot	NotreDame_De_Paris.txt 11, Miserables.txt 4
fagots	Miserables.txt 5, NotreDame_De_Paris.txt 4
faience	NotreDame_De_Paris.txt 1, Miserables.txt 1
fail	Miserables.txt 9
failed	Miserables.txt 19, NotreDame_De_Paris.txt 3
failing	Miserables.txt 3, NotreDame_De_Paris.txt 2
fails	Miserables.txt 1
failure	Miserables.txt 7, NotreDame_De_Paris.txt 4
failures	Miserables.txt 3
faim	Miserables.txt 1
fain	Miserables.txt 1
faint	Miserables.txt 19, NotreDame_De_Paris.txt 1
fainted	NotreDame_De_Paris.txt 2, Miserables.txt 2
fainter	Miserables.txt 1
faintest	Miserables.txt 3
fainting	Miserables.txt 7, NotreDame_De_Paris.txt 2
faintly	Miserables.txt 4
fair	NotreDame_De_Paris.txt 34, Miserables.txt 16
fairbanks	NotreDame_De_Paris.txt 1, Miserables.txt 1
faire	NotreDame_De_Paris.txt 1
fairest	NotreDame_De_Paris.txt 1
fairies	Miserables.txt 2
fairly	Miserables.txt 7, NotreDame_De_Paris.txt 3
fairs	Miserables.txt 6
fairy	Miserables.txt 8, NotreDame_De_Paris.txt 3
fairylike	NotreDame_De_Paris.txt 1
faisaient	Miserables.txt 2
fait	Miserables.txt 1
faite	Miserables.txt 1
faith	Miserables.txt 40, NotreDame_De_Paris.txt 17
faithful	Miserables.txt 8, NotreDame_De_Paris.txt 7
faithfully	Miserables.txt 2
fakir	Miserables.txt 1
fakirs	Miserables.txt 1
falbala	Miserables.txt 1
falcon	Miserables.txt 1
fall	Miserables.txt 140, NotreDame_De_Paris.txt 39
fallait	Miserables.txt 1
fallen	Miserables.txt 101, NotreDame_De_Paris.txt 17
falling	Miserables.txt 58, NotreDame_De_Paris.txt 16
fallow	Miserables.txt 1
falls	Miserables.txt 35, NotreDame_De_Paris.txt 2
falourdel	NotreDame_De_Paris.txt 13
false	Miserables.txt 54, NotreDame_De_Paris.txt 5
falsehood	Miserables.txt 3
falsely	NotreDame_De_Paris.txt 1, Miserables.txt 1
falsetto	NotreDame_De_Paris.txt 1
falsifying	Miserables.txt 1
falstaff	Miserables.txt 2
falsum	Miserables.txt 1
faltered	NotreDame_De_Paris.txt 1
faltering	Miserables.txt 1
falzapada	NotreDame_De_Paris.txt 1
fame	NotreDame_De_Paris.txt 2, Miserables.txt 2
famed	Miserables.txt 1
fameuil	Miserables.txt 11
familiar	Miserables.txt 13, NotreDame_De_Paris.txt 8
familiarity	Miserables.txt 3
familiarize	Miserables.txt 1
familiarized	Miserables.txt 1
