g	Miserables.txt 13
gabbling	Miserables.txt 1
gable	Miserables.txt 8, NotreDame_De_Paris.txt 2
gables	NotreDame_De_Paris.txt 11
gabon	Miserables.txt 1
gabriel	Miserables.txt 1
gabrielle	NotreDame_De_Paris.txt 2
gadfly	NotreDame_De_Paris.txt 1
gadine	NotreDame_De_Paris.txt 1
gag	Miserables.txt 1
gagged	Miserables.txt 1
gagny	Miserables.txt 6
gahisto	Miserables.txt 2
gail	Miserables.txt 1
gaillard	NotreDame_De_Paris.txt 1
gaillefontaine	NotreDame_De_Paris.txt 7
gaillon	Miserables.txt 2
gails	Miserables.txt 1
gaiment	Miserables.txt 1
gain	Miserables.txt 14, NotreDame_De_Paris.txt 2
gained	Miserables.txt 14, NotreDame_De_Paris.txt 5
gaining	Miserables.txt 6
gains	Miserables.txt 4, NotreDame_De_Paris.txt 1
gait	Miserables.txt 4
gaite	Miserables.txt 1
gaiters	Miserables.txt 3
gaiztoa	Miserables.txt 1
gala	NotreDame_De_Paris.txt 1, Miserables.txt 1
galatea	Miserables.txt 1
gale	Miserables.txt 6
gales	Miserables.txt 3
galgal	NotreDame_De_Paris.txt 1
galiache	NotreDame_De_Paris.txt 2
galilee	NotreDame_De_Paris.txt 9
galileo	Miserables.txt 1
galiot	NotreDame_De_Paris.txt 1
galiote	Miserables.txt 2
gall	NotreDame_De_Paris.txt 1
gallais	Miserables.txt 1
galland	Miserables.txt 1
gallant	NotreDame_De_Paris.txt 12, Miserables.txt 8
gallantly	NotreDame_De_Paris.txt 1
gallantries	NotreDame_De_Paris.txt 1
gallantry	Miserables.txt 4, NotreDame_De_Paris.txt 3
gallega	Miserables.txt 1
galleries	Miserables.txt 10, NotreDame_De_Paris.txt 8
gallery	NotreDame_De_Paris.txt 37, Miserables.txt 19
galley	Miserables.txt 26
galleys	Miserables.txt 114, NotreDame_De_Paris.txt 1
gallic	Miserables.txt 5, NotreDame_De_Paris.txt 3
gallican	Miserables.txt 1
gallicane	NotreDame_De_Paris.txt 1
gallicized	Miserables.txt 1
galloons	Miserables.txt 2
gallop	Miserables.txt 16, NotreDame_De_Paris.txt 5
galloped	Miserables.txt 3
galloping	NotreDame_De_Paris.txt 2, Miserables.txt 2
gallops	Miserables.txt 2
gallows	NotreDame_De_Paris.txt 31, Miserables.txt 3
galvanic	Miserables.txt 2
galvanized	NotreDame_De_Paris.txt 1
gamacho	Miserables.txt 1
gamble	Miserables.txt 1
gambled	Miserables.txt 2
gambler	Miserables.txt 4, NotreDame_De_Paris.txt 2
gamblers	NotreDame_De_Paris.txt 1, Miserables.txt 1
gambling	NotreDame_De_Paris.txt 1
gambolling	NotreDame_De_Paris.txt 1
gambols	NotreDame_De_Paris.txt 1
game	Miserables.txt 20, NotreDame_De_Paris.txt 8
games	Miserables.txt 5, NotreDame_De_Paris.txt 1
gamester	NotreDame_De_Paris.txt 1
gamin	Miserables.txt 64
gaminerie	Miserables.txt 1
gaming	NotreDame_De_Paris.txt 5, Miserables.txt 2
gamins	Miserables.txt 5, NotreDame_De_Paris.txt 1
gamut	NotreDame_De_Paris.txt 1
gand	Miserables.txt 1
gang	Miserables.txt 9, NotreDame_De_Paris.txt 1
gangrene	Miserables.txt 1
gans	Miserables.txt 3
gant	NotreDame_De_Paris.txt 1
gap	Miserables.txt 5, NotreDame_De_Paris.txt 3
gaped	NotreDame_De_Paris.txt 1, Miserables.txt 1
gapers	NotreDame_De_Paris.txt 1
gaping	Miserables.txt 6, NotreDame_De_Paris.txt 4
gaps	Miserables.txt 3, NotreDame_De_Paris.txt 1
garat	Miserables.txt 1
garb	NotreDame_De_Paris.txt 3, Miserables.txt 1
garde	NotreDame_De_Paris.txt 1
garden	Miserables.txt 238, NotreDame_De_Paris.txt 10
gardener	Miserables.txt 34, NotreDame_De_Paris.txt 3
gardeners	Miserables.txt 7
gardening	Miserables.txt 4
gardens	Miserables.txt 26, NotreDame_De_Paris.txt 9
gare	Miserables.txt 1
gargantua	NotreDame_De_Paris.txt 1
gargle	NotreDame_De_Paris.txt 1
gargoyles	NotreDame_De_Paris.txt 2, Miserables.txt 1
garibaldi	Miserables.txt 3
garland	NotreDame_De_Paris.txt 1
garlande	NotreDame_De_Paris.txt 1
garlanded	Miserables.txt 3
garlands	NotreDame_De_Paris.txt 2, Miserables.txt 2
garlic	Miserables.txt 1
garlin	NotreDame_De_Paris.txt 1
garment	Miserables.txt 10, NotreDame_De_Paris.txt 7
garments	Miserables.txt 24, NotreDame_De_Paris.txt 15
garmoise	NotreDame_De_Paris.txt 1
garnier	Miserables.txt 1
garnish	Miserables.txt 1
garnished	NotreDame_De_Paris.txt 4, Miserables.txt 4
garniture	Miserables.txt 1
garofolo	NotreDame_De_Paris.txt 1
garraud	Miserables.txt 1
garret	Miserables.txt 35, NotreDame_De_Paris.txt 2
garrets	Miserables.txt 2
garrison	Miserables.txt 10, NotreDame_De_Paris.txt 4
garrisons	NotreDame_De_Paris.txt 1
garroted	NotreDame_De_Paris.txt 1
garroter	Miserables.txt 1
garrulous	NotreDame_De_Paris.txt 2
garter	Miserables.txt 9
gas	Miserables.txt 7, NotreDame_De_Paris.txt 1
gascon	Miserables.txt 1
gashes	Miserables.txt 1
gaspard	Miserables.txt 2
gassendi	Miserables.txt 2
gaster	Miserables.txt 2
gastronomical	Miserables.txt 1
gat	Miserables.txt 1
gatch	Miserables.txt 1
gate	Miserables.txt 72, NotreDame_De_Paris.txt 20
gates	Miserables.txt 19, NotreDame_De_Paris.txt 11
gateway	NotreDame_De_Paris.txt 1
gather	Miserables.txt 5
gathered	Miserables.txt 14, NotreDame_De_Paris.txt 4
gathering	NotreDame_De_Paris.txt 1, Miserables.txt 1
gathers	Miserables.txt 2
gato	Miserables.txt 1
gauch	NotreDame_De_Paris.txt 5
gaucher	Miserables.txt 1
gaul	Miserables.txt 3
gauls	NotreDame_De_Paris.txt 2, Miserables.txt 2
gaulti	NotreDame_De_Paris.txt 5
gaunt	NotreDame_De_Paris.txt 3, Miserables.txt 3
gauntness	Miserables.txt 2
gauthier	Miserables.txt 1
