h	NotreDame_De_Paris.txt 75, Miserables.txt 1
ha	Miserables.txt 3, NotreDame_De_Paris.txt 2
habana	Miserables.txt 1
habemus	Miserables.txt 1
habendi	NotreDame_De_Paris.txt 1
habere	NotreDame_De_Paris.txt 1
habet	NotreDame_De_Paris.txt 3
habiliments	Miserables.txt 2
habilitation	Miserables.txt 1
habill	NotreDame_De_Paris.txt 1
habilles	Miserables.txt 1
habit	Miserables.txt 60, NotreDame_De_Paris.txt 8
habitat	NotreDame_De_Paris.txt 1
habitation	NotreDame_De_Paris.txt 1, Miserables.txt 1
habitations	NotreDame_De_Paris.txt 2, Miserables.txt 1
habite	Miserables.txt 1
habits	Miserables.txt 22, NotreDame_De_Paris.txt 1
habitual	Miserables.txt 13, NotreDame_De_Paris.txt 4
habitually	Miserables.txt 11, NotreDame_De_Paris.txt 2
habituated	Miserables.txt 5, NotreDame_De_Paris.txt 2
hac	NotreDame_De_Paris.txt 1
hackbut	NotreDame_De_Paris.txt 1
hackbuteers	NotreDame_De_Paris.txt 1
hackbuts	NotreDame_De_Paris.txt 2
hacke	Miserables.txt 2
hacked	Miserables.txt 2
hackney	Miserables.txt 19
had	Miserables.txt 6181, NotreDame_De_Paris.txt 1422
hadn	Miserables.txt 3
hadot	Miserables.txt 1
hadst	NotreDame_De_Paris.txt 2
hag	NotreDame_De_Paris.txt 4
hage	NotreDame_De_Paris.txt 1
haggard	Miserables.txt 19, NotreDame_De_Paris.txt 7
haggled	Miserables.txt 1
hags	NotreDame_De_Paris.txt 2, Miserables.txt 1
hah	NotreDame_De_Paris.txt 7
haie	Miserables.txt 17
hail	NotreDame_De_Paris.txt 5, Miserables.txt 5
hailed	Miserables.txt 3
hailstones	NotreDame_De_Paris.txt 1
hair	Miserables.txt 156, NotreDame_De_Paris.txt 53
hairdresser	Miserables.txt 2
hairdressers	Miserables.txt 2
haired	Miserables.txt 16, NotreDame_De_Paris.txt 5
hairs	NotreDame_De_Paris.txt 4, Miserables.txt 3
hairy	Miserables.txt 7, NotreDame_De_Paris.txt 3
hal	Miserables.txt 2
halberd	Miserables.txt 1
halberdiers	NotreDame_De_Paris.txt 1
halberds	NotreDame_De_Paris.txt 5, Miserables.txt 1
half	Miserables.txt 229, NotreDame_De_Paris.txt 83
halkett	Miserables.txt 1
hall	Miserables.txt 58, NotreDame_De_Paris.txt 54
hallaron	NotreDame_De_Paris.txt 1
halle	Miserables.txt 1
halles	Miserables.txt 26, NotreDame_De_Paris.txt 5
hallowed	NotreDame_De_Paris.txt 1
halls	Miserables.txt 2, NotreDame_De_Paris.txt 1
hallucination	Miserables.txt 10, NotreDame_De_Paris.txt 2
hallucinations	Miserables.txt 1
halma	Miserables.txt 1
halo	Miserables.txt 4
halos	Miserables.txt 1
halt	Miserables.txt 44, NotreDame_De_Paris.txt 11
halted	Miserables.txt 82, NotreDame_De_Paris.txt 31
halter	NotreDame_De_Paris.txt 2, Miserables.txt 1
halting	Miserables.txt 7, NotreDame_De_Paris.txt 3
halts	Miserables.txt 7
halves	NotreDame_De_Paris.txt 1
ham	Miserables.txt 1
hamburg	Miserables.txt 1
hamilton	Miserables.txt 1
hamlet	Miserables.txt 2, NotreDame_De_Paris.txt 1
hamlets	Miserables.txt 1
hammal	Miserables.txt 1
hammer	Miserables.txt 14, NotreDame_De_Paris.txt 7
hammering	Miserables.txt 1
hammers	NotreDame_De_Paris.txt 2, Miserables.txt 2
hammocks	NotreDame_De_Paris.txt 1
hanc	Miserables.txt 2
hancy	NotreDame_De_Paris.txt 1
hand	Miserables.txt 543, NotreDame_De_Paris.txt 162
handcuff	Miserables.txt 1
handcuffs	Miserables.txt 3, NotreDame_De_Paris.txt 1
handed	Miserables.txt 48, NotreDame_De_Paris.txt 4
handful	Miserables.txt 17, NotreDame_De_Paris.txt 4
handfuls	Miserables.txt 4, NotreDame_De_Paris.txt 2
handicraft	Miserables.txt 1
handing	Miserables.txt 5, NotreDame_De_Paris.txt 1
handiwork	Miserables.txt 2
handkerchief	Miserables.txt 26, NotreDame_De_Paris.txt 1
handkerchiefs	NotreDame_De_Paris.txt 1, Miserables.txt 1
handle	Miserables.txt 28, NotreDame_De_Paris.txt 5
handled	Miserables.txt 8, NotreDame_De_Paris.txt 1
handles	NotreDame_De_Paris.txt 3, Miserables.txt 2
handling	Miserables.txt 6, NotreDame_De_Paris.txt 1
handmaidens	Miserables.txt 1
handmarks	Miserables.txt 1
hands	Miserables.txt 227, NotreDame_De_Paris.txt 142
handsome	Miserables.txt 48, NotreDame_De_Paris.txt 46
handsomer	NotreDame_De_Paris.txt 2
handsomest	NotreDame_De_Paris.txt 2, Miserables.txt 1
handwriting	Miserables.txt 9, NotreDame_De_Paris.txt 1
handy	Miserables.txt 2
hang	NotreDame_De_Paris.txt 28, Miserables.txt 13
hanged	NotreDame_De_Paris.txt 30, Miserables.txt 1
hangest	NotreDame_De_Paris.txt 1
hanging	Miserables.txt 27, NotreDame_De_Paris.txt 16
hangings	NotreDame_De_Paris.txt 3, Miserables.txt 1
hangman	NotreDame_De_Paris.txt 6, Miserables.txt 2
hangs	Miserables.txt 3, NotreDame_De_Paris.txt 2
hannibal	Miserables.txt 6
hannibals	Miserables.txt 1
hanoverian	Miserables.txt 5
hanoverians	Miserables.txt 2
hap	Miserables.txt 9
hapgood	NotreDame_De_Paris.txt 2, Miserables.txt 2
haphazard	NotreDame_De_Paris.txt 4, Miserables.txt 2
happen	Miserables.txt 26, NotreDame_De_Paris.txt 4
happened	Miserables.txt 58, NotreDame_De_Paris.txt 7
happens	Miserables.txt 18, NotreDame_De_Paris.txt 3
happier	Miserables.txt 2
happiest	NotreDame_De_Paris.txt 1
happily	NotreDame_De_Paris.txt 3, Miserables.txt 3
happiness	Miserables.txt 108, NotreDame_De_Paris.txt 8
happinesses	Miserables.txt 1
happy	Miserables.txt 150, NotreDame_De_Paris.txt 31
haps	NotreDame_De_Paris.txt 1
hapsburgs	Miserables.txt 1
harancourt	NotreDame_De_Paris.txt 1
harangue	Miserables.txt 8, NotreDame_De_Paris.txt 7
harangued	NotreDame_De_Paris.txt 2, Miserables.txt 2
harangues	Miserables.txt 3
haranguing	Miserables.txt 2, NotreDame_De_Paris.txt 1
harass	Miserables.txt 1
harassed	Miserables.txt 4
harassing	Miserables.txt 2
harcourt	NotreDame_De_Paris.txt 1
hard	Miserables.txt 50, NotreDame_De_Paris.txt 18
harden	NotreDame_De_Paris.txt 1
hardened	NotreDame_De_Paris.txt 2, Miserables.txt 2
hardens	Miserables.txt 2
harder	NotreDame_De_Paris.txt 2, Miserables.txt 1
hardest	NotreDame_De_Paris.txt 1, Miserables.txt 1
hardihood	Miserables.txt 2
hardily	NotreDame_De_Paris.txt 2
hardly	Miserables.txt 114, NotreDame_De_Paris.txt 37
hardness	Miserables.txt 4, NotreDame_De_Paris.txt 1
hardship	Miserables.txt 1
hardships	Miserables.txt 1
hare	Miserables.txt 2
harem	Miserables.txt 1
hares	NotreDame_De_Paris.txt 1, Miserables.txt 1
harfleur	NotreDame_De_Paris.txt 1
hark	NotreDame_De_Paris.txt 1
harlay	NotreDame_De_Paris.txt 1
harlequin	Miserables.txt 2
harlequinade	Miserables.txt 1
harlequins	Miserables.txt 1
harlet	Miserables.txt 1
harley	Miserables.txt 1
harm	Miserables.txt 22, NotreDame_De_Paris.txt 11
harmed	Miserables.txt 1
harmless	NotreDame_De_Paris.txt 1, Miserables.txt 1
harmodius	Miserables.txt 2
harmonies	NotreDame_De_Paris.txt 2, Miserables.txt 1
harmonious	NotreDame_De_Paris.txt 5, Miserables.txt 3
harmony	NotreDame_De_Paris.txt 9, Miserables.txt 9
harness	Miserables.txt 7, NotreDame_De_Paris.txt 2
harnessed	Miserables.txt 15, NotreDame_De_Paris.txt 2
harnesses	NotreDame_De_Paris.txt 1
harp	Miserables.txt 1
harpe	NotreDame_De_Paris.txt 3, Miserables.txt 1
harper	Miserables.txt 1
harping	Miserables.txt 1
harrassed	Miserables.txt 1
harrows	Miserables.txt 1
harsh	Miserables.txt 28, NotreDame_De_Paris.txt 10
harsher	Miserables.txt 1
harshest	Miserables.txt 2, NotreDame_De_Paris.txt 1
harshly	Miserables.txt 12
harshness	Miserables.txt 11, NotreDame_De_Paris.txt 1
hart	NotreDame_De_Paris.txt 3, Miserables.txt 2
hartwell	Miserables.txt 1
harvest	Miserables.txt 5, NotreDame_De_Paris.txt 2
harvester	NotreDame_De_Paris.txt 1, Miserables.txt 1
harvesting	Miserables.txt 1
has	Miserables.txt 1080, NotreDame_De_Paris.txt 296
hasardeux	Miserables.txt 1
hashish	Miserables.txt 1
hasn	Miserables.txt 5, NotreDame_De_Paris.txt 1
hast	Miserables.txt 8, NotreDame_De_Paris.txt 4
haste	Miserables.txt 72, NotreDame_De_Paris.txt 17
hasten	Miserables.txt 7, NotreDame_De_Paris.txt 3
hastened	Miserables.txt 20, NotreDame_De_Paris.txt 9
hastening	Miserables.txt 5, NotreDame_De_Paris.txt 1
hastens	Miserables.txt 2
hastily	Miserables.txt 41, NotreDame_De_Paris.txt 10
hasty	Miserables.txt 4, NotreDame_De_Paris.txt 2
hat	Miserables.txt 92, NotreDame_De_Paris.txt 14
hatchers	Miserables.txt 1
hatchway	Miserables.txt 2
hate	Miserables.txt 18, NotreDame_De_Paris.txt 13
hated	Miserables.txt 15, NotreDame_De_Paris.txt 6
hateful	NotreDame_De_Paris.txt 1
hath	NotreDame_De_Paris.txt 27
hating	Miserables.txt 5
hatless	Miserables.txt 2
hatred	Miserables.txt 45, NotreDame_De_Paris.txt 11
hatreds	Miserables.txt 5
hats	Miserables.txt 18, NotreDame_De_Paris.txt 1
hauberkmaker	NotreDame_De_Paris.txt 1
haudriette	NotreDame_De_Paris.txt 3
haudriettes	Miserables.txt 3, NotreDame_De_Paris.txt 2
haudry	NotreDame_De_Paris.txt 2
haughtily	Miserables.txt 2
haughty	Miserables.txt 22, NotreDame_De_Paris.txt 7
haunches	NotreDame_De_Paris.txt 8, Miserables.txt 3
haunt	Miserables.txt 4
haunted	Miserables.txt 6, NotreDame_De_Paris.txt 1
haunts	Miserables.txt 1
haut	Miserables.txt 8, NotreDame_De_Paris.txt 1
hautes	Miserables.txt 3
hauteur	NotreDame_De_Paris.txt 1
hauteville	Miserables.txt 2
hautpoul	Miserables.txt 1
have	Miserables.txt 2796, NotreDame_De_Paris.txt 831
haveing	Miserables.txt 1
haven	Miserables.txt 12, NotreDame_De_Paris.txt 1
haversack	Miserables.txt 1
having	Miserables.txt 318, NotreDame_De_Paris.txt 110
havre	Miserables.txt 2
hawk	NotreDame_De_Paris.txt 2
hawked	Miserables.txt 1
hawklike	NotreDame_De_Paris.txt 1
hawthorn	Miserables.txt 5
hawthorns	Miserables.txt 1
hax	NotreDame_De_Paris.txt 2
haxo	Miserables.txt 2
hay	Miserables.txt 7
haydn	Miserables.txt 1
haye	Miserables.txt 1
hayloft	NotreDame_De_Paris.txt 1
haystack	Miserables.txt 1
hazard	Miserables.txt 10
hazarded	NotreDame_De_Paris.txt 2, Miserables.txt 1
hazardous	Miserables.txt 2
hazards	Miserables.txt 2, NotreDame_De_Paris.txt 1
haze	Miserables.txt 1
he	Miserables.txt 9647, NotreDame_De_Paris.txt 2171
head	Miserables.txt 468, NotreDame_De_Paris.txt 257
headache	Miserables.txt 2
headdress	NotreDame_De_Paris.txt 1, Miserables.txt 1
headed	NotreDame_De_Paris.txt 5, Miserables.txt 4
headgear	NotreDame_De_Paris.txt 3, Miserables.txt 1
heading	Miserables.txt 1
headless	Miserables.txt 1
headlong	Miserables.txt 12, NotreDame_De_Paris.txt 2
headquarters	Miserables.txt 2
heads	Miserables.txt 79, NotreDame_De_Paris.txt 54
headsman	NotreDame_De_Paris.txt 9, Miserables.txt 1
headstrong	Miserables.txt 2
headway	Miserables.txt 2
heady	Miserables.txt 1
heal	Miserables.txt 1
healed	Miserables.txt 2, NotreDame_De_Paris.txt 1
healing	Miserables.txt 4
health	Miserables.txt 35, NotreDame_De_Paris.txt 9
healthful	Miserables.txt 3
healthy	Miserables.txt 15, NotreDame_De_Paris.txt 1
heap	Miserables.txt 51, NotreDame_De_Paris.txt 11
heaped	Miserables.txt 9, NotreDame_De_Paris.txt 4
heaping	Miserables.txt 2, NotreDame_De_Paris.txt 1
heaps	Miserables.txt 13, NotreDame_De_Paris.txt 3
hear	Miserables.txt 106, NotreDame_De_Paris.txt 51
heard	Miserables.txt 278, NotreDame_De_Paris.txt 112
heardest	NotreDame_De_Paris.txt 1
heareth	NotreDame_De_Paris.txt 1
hearing	Miserables.txt 27, NotreDame_De_Paris.txt 9
hearings	NotreDame_De_Paris.txt 1
hears	Miserables.txt 14, NotreDame_De_Paris.txt 3
hearsay	Miserables.txt 2
hearse	Miserables.txt 29
heart	Miserables.txt 265, NotreDame_De_Paris.txt 87
heartbreaking	NotreDame_De_Paris.txt 1
heartbroken	Miserables.txt 1
hearted	Miserables.txt 4, NotreDame_De_Paris.txt 1
hearth	Miserables.txt 22, NotreDame_De_Paris.txt 1
hearths	Miserables.txt 1
hearthstone	NotreDame_De_Paris.txt 1
heartily	NotreDame_De_Paris.txt 3, Miserables.txt 2
heartless	Miserables.txt 2
heartrending	Miserables.txt 8, NotreDame_De_Paris.txt 7
hearts	Miserables.txt 38, NotreDame_De_Paris.txt 6
hearty	Miserables.txt 4, NotreDame_De_Paris.txt 2
heat	Miserables.txt 12, NotreDame_De_Paris.txt 5
heated	Miserables.txt 3, NotreDame_De_Paris.txt 2
heath	NotreDame_De_Paris.txt 3, Miserables.txt 2
heathen	NotreDame_De_Paris.txt 1
heather	Miserables.txt 4
heaths	NotreDame_De_Paris.txt 1, Miserables.txt 1
heaved	NotreDame_De_Paris.txt 5, Miserables.txt 3
heaven	Miserables.txt 99, NotreDame_De_Paris.txt 28
heavenly	Miserables.txt 1
heavens	Miserables.txt 25, NotreDame_De_Paris.txt 14
heavenward	Miserables.txt 7, NotreDame_De_Paris.txt 1
heavier	NotreDame_De_Paris.txt 1
heaviest	NotreDame_De_Paris.txt 1, Miserables.txt 1
heavily	Miserables.txt 10, NotreDame_De_Paris.txt 4
heaviness	Miserables.txt 2
heaving	NotreDame_De_Paris.txt 2, Miserables.txt 1
heavy	Miserables.txt 66, NotreDame_De_Paris.txt 38
hebdomade	NotreDame_De_Paris.txt 1
hebert	Miserables.txt 2
hebertist	Miserables.txt 1
hebraic	Miserables.txt 1
hebrew	NotreDame_De_Paris.txt 7, Miserables.txt 4
hebrews	Miserables.txt 1
hecataeus	NotreDame_De_Paris.txt 1
hectares	Miserables.txt 1
hector	Miserables.txt 1
hecuba	Miserables.txt 1
hedge	Miserables.txt 24, NotreDame_De_Paris.txt 2
hedged	Miserables.txt 2
hedgehog	Miserables.txt 1
hedgerow	Miserables.txt 1
hedgerows	NotreDame_De_Paris.txt 1
hedges	Miserables.txt 7
heed	Miserables.txt 22, NotreDame_De_Paris.txt 10
