i	Miserables.txt 3862, NotreDame_De_Paris.txt 1376
ice	Miserables.txt 14, NotreDame_De_Paris.txt 10
ices	Miserables.txt 2
ici	Miserables.txt 2
icicaille	Miserables.txt 4
icigo	Miserables.txt 2
iconia	Miserables.txt 1
iconoclast	Miserables.txt 1
iconoclasts	NotreDame_De_Paris.txt 1
icy	Miserables.txt 10, NotreDame_De_Paris.txt 3
id	NotreDame_De_Paris.txt 1, Miserables.txt 1
idea	Miserables.txt 194, NotreDame_De_Paris.txt 69
ideal	Miserables.txt 69, NotreDame_De_Paris.txt 4
idealize	Miserables.txt 1
idealized	Miserables.txt 1
ideally	Miserables.txt 1
ideas	Miserables.txt 95, NotreDame_De_Paris.txt 23
idem	NotreDame_De_Paris.txt 1, Miserables.txt 1
identical	Miserables.txt 9
identification	NotreDame_De_Paris.txt 1, Miserables.txt 1
identified	NotreDame_De_Paris.txt 1, Miserables.txt 1
identify	NotreDame_De_Paris.txt 2, Miserables.txt 2
identity	Miserables.txt 21
ideo	NotreDame_De_Paris.txt 1
ideologist	Miserables.txt 1
ideology	Miserables.txt 1
idiom	Miserables.txt 2
idioms	Miserables.txt 1
idiot	Miserables.txt 15, NotreDame_De_Paris.txt 2
idiotic	NotreDame_De_Paris.txt 4, Miserables.txt 4
idiots	Miserables.txt 1
idle	Miserables.txt 6, NotreDame_De_Paris.txt 2
idleness	Miserables.txt 11, NotreDame_De_Paris.txt 1
idler	Miserables.txt 5
idlers	Miserables.txt 4
idol	Miserables.txt 4
idolater	NotreDame_De_Paris.txt 1
idolaters	NotreDame_De_Paris.txt 1
idolatry	Miserables.txt 4
idolize	Miserables.txt 3
idolized	Miserables.txt 6, NotreDame_De_Paris.txt 1
idolizes	Miserables.txt 1
idols	NotreDame_De_Paris.txt 1
idyl	Miserables.txt 3
idyls	Miserables.txt 1
iena	Miserables.txt 1
iergue	Miserables.txt 1
if	Miserables.txt 738, NotreDame_De_Paris.txt 248
igitur	Miserables.txt 1
ignite	Miserables.txt 2
ignited	NotreDame_De_Paris.txt 1, Miserables.txt 1
ignoble	Miserables.txt 5, NotreDame_De_Paris.txt 1
ignominious	NotreDame_De_Paris.txt 1, Miserables.txt 1
ignominy	Miserables.txt 6, NotreDame_De_Paris.txt 1
ignoramus	NotreDame_De_Paris.txt 1, Miserables.txt 1
ignorance	Miserables.txt 25, NotreDame_De_Paris.txt 4
ignorances	Miserables.txt 3
ignorant	Miserables.txt 39, NotreDame_De_Paris.txt 7
ignorantin	Miserables.txt 1
ignorantly	Miserables.txt 1
ignore	Miserables.txt 6
ignored	Miserables.txt 6
ignores	Miserables.txt 5
ignoring	Miserables.txt 1
ii	Miserables.txt 105, NotreDame_De_Paris.txt 28
iii	Miserables.txt 92, NotreDame_De_Paris.txt 21
il	Miserables.txt 13, NotreDame_De_Paris.txt 4
ile	NotreDame_De_Paris.txt 4
iliad	NotreDame_De_Paris.txt 3, Miserables.txt 1
iliads	NotreDame_De_Paris.txt 3, Miserables.txt 1
ill	Miserables.txt 63, NotreDame_De_Paris.txt 22
illa	NotreDame_De_Paris.txt 1
illegal	Miserables.txt 1
illegible	Miserables.txt 4
illegitimacy	Miserables.txt 2
illegitimate	Miserables.txt 2
illicit	Miserables.txt 1
illimitable	Miserables.txt 1
illiterate	Miserables.txt 2
illitteratus	NotreDame_De_Paris.txt 1
illness	Miserables.txt 6, NotreDame_De_Paris.txt 1
illnesses	Miserables.txt 2
illogical	Miserables.txt 2
illogically	Miserables.txt 2
illuminate	Miserables.txt 3
illuminated	Miserables.txt 57, NotreDame_De_Paris.txt 16
illuminates	Miserables.txt 1
illuminating	Miserables.txt 4
illumination	Miserables.txt 7, NotreDame_De_Paris.txt 1
illuminations	Miserables.txt 3, NotreDame_De_Paris.txt 1
illumined	Miserables.txt 4
illusion	Miserables.txt 14, NotreDame_De_Paris.txt 4
illusions	Miserables.txt 11, NotreDame_De_Paris.txt 5
illustrated	Miserables.txt 1
illustrates	Miserables.txt 1
illustration	Miserables.txt 41
illustrations	NotreDame_De_Paris.txt 1
illustrious	Miserables.txt 14, NotreDame_De_Paris.txt 8
im	NotreDame_De_Paris.txt 1
image	NotreDame_De_Paris.txt 11, Miserables.txt 7
images	NotreDame_De_Paris.txt 6, Miserables.txt 3
imaginable	Miserables.txt 1
imaginaire	Miserables.txt 1
imaginary	NotreDame_De_Paris.txt 2
imagination	NotreDame_De_Paris.txt 11, Miserables.txt 11
imaginations	Miserables.txt 6, NotreDame_De_Paris.txt 2
imagine	Miserables.txt 36, NotreDame_De_Paris.txt 13
imagined	Miserables.txt 14, NotreDame_De_Paris.txt 7
imagines	Miserables.txt 1
imagining	NotreDame_De_Paris.txt 2, Miserables.txt 1
imaginings	NotreDame_De_Paris.txt 1
imaums	Miserables.txt 1
imbecile	Miserables.txt 6, NotreDame_De_Paris.txt 4
imbeciles	Miserables.txt 1
imbecility	Miserables.txt 2, NotreDame_De_Paris.txt 1
imbedded	NotreDame_De_Paris.txt 2
imbricated	Miserables.txt 1
imbue	Miserables.txt 1
imbued	Miserables.txt 3, NotreDame_De_Paris.txt 1
imbushment	Miserables.txt 1
imitate	Miserables.txt 1
imitated	Miserables.txt 6
imitating	NotreDame_De_Paris.txt 1
imitation	Miserables.txt 5, NotreDame_De_Paris.txt 1
imitations	Miserables.txt 1
imitator	Miserables.txt 1
immaculate	Miserables.txt 2
immanior	NotreDame_De_Paris.txt 2
immanis	NotreDame_De_Paris.txt 2
immaterial	Miserables.txt 1
immeasurable	NotreDame_De_Paris.txt 1
immediate	Miserables.txt 13, NotreDame_De_Paris.txt 4
immediately	Miserables.txt 62, NotreDame_De_Paris.txt 17
immemorial	Miserables.txt 6, NotreDame_De_Paris.txt 4
immense	Miserables.txt 101, NotreDame_De_Paris.txt 41
immensely	Miserables.txt 1
immensity	Miserables.txt 19, NotreDame_De_Paris.txt 1
immersed	Miserables.txt 3
immersion	Miserables.txt 1
imminence	Miserables.txt 2
imminent	Miserables.txt 4
immobility	NotreDame_De_Paris.txt 10, Miserables.txt 9
immoderately	Miserables.txt 1
immodest	Miserables.txt 1
immodestly	Miserables.txt 1
immodesty	Miserables.txt 2
immolating	Miserables.txt 1
immoral	Miserables.txt 1
immorality	Miserables.txt 1
immortal	Miserables.txt 11
immortality	Miserables.txt 4, NotreDame_De_Paris.txt 3
immortalize	Miserables.txt 1
immortalized	NotreDame_De_Paris.txt 1
immovable	NotreDame_De_Paris.txt 3, Miserables.txt 3
immovably	Miserables.txt 2, NotreDame_De_Paris.txt 1
immure	NotreDame_De_Paris.txt 1
immured	NotreDame_De_Paris.txt 3, Miserables.txt 2
immutability	NotreDame_De_Paris.txt 1
immutable	Miserables.txt 3
imogene	Miserables.txt 1
imp	NotreDame_De_Paris.txt 2, Miserables.txt 2
impalpable	NotreDame_De_Paris.txt 1, Miserables.txt 1
impar	Miserables.txt 1
imparibus	Miserables.txt 1
impart	Miserables.txt 2
imparted	NotreDame_De_Paris.txt 9, Miserables.txt 5
impartial	NotreDame_De_Paris.txt 3, Miserables.txt 1
impartiality	NotreDame_De_Paris.txt 2
impartially	Miserables.txt 2
imparting	NotreDame_De_Paris.txt 1
imparts	Miserables.txt 1
impassable	Miserables.txt 5, NotreDame_De_Paris.txt 1
impasse	Miserables.txt 1
impassible	NotreDame_De_Paris.txt 1
impassioned	NotreDame_De_Paris.txt 2
impassive	Miserables.txt 15, NotreDame_De_Paris.txt 2
impassiveness	NotreDame_De_Paris.txt 1
impatience	NotreDame_De_Paris.txt 9, Miserables.txt 4
impatient	Miserables.txt 8, NotreDame_De_Paris.txt 3
impatiently	NotreDame_De_Paris.txt 1, Miserables.txt 1
impeccability	Miserables.txt 1
impeded	Miserables.txt 2
impelled	Miserables.txt 5, NotreDame_De_Paris.txt 2
impelling	Miserables.txt 1
impending	Miserables.txt 3
impenetrability	Miserables.txt 1
impenetrable	Miserables.txt 13, NotreDame_De_Paris.txt 2
imperative	Miserables.txt 1
imperatively	Miserables.txt 2
imperceptible	Miserables.txt 19, NotreDame_De_Paris.txt 5
imperceptibly	NotreDame_De_Paris.txt 1
imperfect	NotreDame_De_Paris.txt 2
imperfectly	NotreDame_De_Paris.txt 1, Miserables.txt 1
imperial	Miserables.txt 19, NotreDame_De_Paris.txt 2
imperilled	Miserables.txt 1
imperious	Miserables.txt 11, NotreDame_De_Paris.txt 3
imperiously	Miserables.txt 3, NotreDame_De_Paris.txt 2
imperishable	NotreDame_De_Paris.txt 1, Miserables.txt 1
imperishableness	Miserables.txt 1
impersonal	Miserables.txt 3
impertinence	NotreDame_De_Paris.txt 1, Miserables.txt 1
impertinent	Miserables.txt 4, NotreDame_De_Paris.txt 2
imperturbability	NotreDame_De_Paris.txt 1
imperturbable	Miserables.txt 13, NotreDame_De_Paris.txt 4
imperturbably	Miserables.txt 4, NotreDame_De_Paris.txt 2
impetuosity	Miserables.txt 2, NotreDame_De_Paris.txt 1
impetuous	NotreDame_De_Paris.txt 2, Miserables.txt 2
impetuously	Miserables.txt 7, NotreDame_De_Paris.txt 1
impieties	NotreDame_De_Paris.txt 1
impiety	NotreDame_De_Paris.txt 3
impious	Miserables.txt 5, NotreDame_De_Paris.txt 1
implacable	Miserables.txt 13, NotreDame_De_Paris.txt 2
implement	Miserables.txt 1
implements	NotreDame_De_Paris.txt 2
implicated	Miserables.txt 2, NotreDame_De_Paris.txt 1
implicitly	NotreDame_De_Paris.txt 2
implied	NotreDame_De_Paris.txt 3, Miserables.txt 3
implies	Miserables.txt 2
implore	Miserables.txt 3, NotreDame_De_Paris.txt 1
implores	Miserables.txt 2
imply	Miserables.txt 2
importance	Miserables.txt 8, NotreDame_De_Paris.txt 5
important	Miserables.txt 18, NotreDame_De_Paris.txt 6
imported	Miserables.txt 1
imports	NotreDame_De_Paris.txt 1
importune	Miserables.txt 1
importuned	Miserables.txt 1
importunity	Miserables.txt 1
