j	NotreDame_De_Paris.txt 2, Miserables.txt 16
ja	Miserables.txt 1
jabber	Miserables.txt 2
jabbering	NotreDame_De_Paris.txt 2, Miserables.txt 1
jaceo	Miserables.txt 1
jack	NotreDame_De_Paris.txt 1, Miserables.txt 8
jackal	NotreDame_De_Paris.txt 1, Miserables.txt 3
jacket	NotreDame_De_Paris.txt 2, Miserables.txt 3
jackets	NotreDame_De_Paris.txt 3, Miserables.txt 1
jacob	NotreDame_De_Paris.txt 1, Miserables.txt 3
jacobin	Miserables.txt 6
jacobinism	Miserables.txt 2
jacobins	Miserables.txt 4
jacobite	Miserables.txt 1
jacqueline	NotreDame_De_Paris.txt 4, Miserables.txt 1
jacquerie	Miserables.txt 5
jacqueries	NotreDame_De_Paris.txt 1, Miserables.txt 2
jacques	NotreDame_De_Paris.txt 93, Miserables.txt 35
jacquesdu	Miserables.txt 4
jacquin	Miserables.txt 5
jacquot	Miserables.txt 2
jade	Miserables.txt 12
jades	Miserables.txt 4
jadis	Miserables.txt 1
jaffa	Miserables.txt 1
jagged	NotreDame_De_Paris.txt 1, Miserables.txt 1
jail	NotreDame_De_Paris.txt 3, Miserables.txt 4
jailer	NotreDame_De_Paris.txt 2, Miserables.txt 2
jailers	NotreDame_De_Paris.txt 1, Miserables.txt 2
jails	NotreDame_De_Paris.txt 1
jam	Miserables.txt 1
jamb	NotreDame_De_Paris.txt 1, Miserables.txt 2
jambe	Miserables.txt 2
jamblique	NotreDame_De_Paris.txt 1
jambs	NotreDame_De_Paris.txt 1
james	NotreDame_De_Paris.txt 1, Miserables.txt 1
jammed	Miserables.txt 1
janiculum	Miserables.txt 1
janitor	NotreDame_De_Paris.txt 1
janot	Miserables.txt 1
jansenist	Miserables.txt 1
januarius	Miserables.txt 2
january	NotreDame_De_Paris.txt 14, Miserables.txt 11
janvier	NotreDame_De_Paris.txt 1
japanese	Miserables.txt 2
japon	Miserables.txt 1
jar	Miserables.txt 1
jardin	NotreDame_De_Paris.txt 1, Miserables.txt 14
