l	Miserables.txt 155, NotreDame_De_Paris.txt 42
la	Miserables.txt 291, NotreDame_De_Paris.txt 198
laas	NotreDame_De_Paris.txt 1
labarre	Miserables.txt 10
labatut	Miserables.txt 1
label	Miserables.txt 1
labor	Miserables.txt 39, NotreDame_De_Paris.txt 8
laborat	NotreDame_De_Paris.txt 3
laboratories	NotreDame_De_Paris.txt 1, Miserables.txt 1
laboratory	NotreDame_De_Paris.txt 3, Miserables.txt 3
labored	Miserables.txt 4
laborer	Miserables.txt 10
laborers	Miserables.txt 6
laboring	Miserables.txt 3
laborious	Miserables.txt 5, NotreDame_De_Paris.txt 2
laboriously	Miserables.txt 3, NotreDame_De_Paris.txt 1
labors	Miserables.txt 5, NotreDame_De_Paris.txt 2
labouisse	Miserables.txt 1
laburnum	Miserables.txt 1
labyrinth	Miserables.txt 14, NotreDame_De_Paris.txt 10
labyrinthine	Miserables.txt 2, NotreDame_De_Paris.txt 1
labyrinths	Miserables.txt 2
lac	Miserables.txt 1
lacabre	NotreDame_De_Paris.txt 1
lace	Miserables.txt 15, NotreDame_De_Paris.txt 6
laced	NotreDame_De_Paris.txt 1, Miserables.txt 1
lacedaemonian	Miserables.txt 1
lacenaire	Miserables.txt 6
lacer	Miserables.txt 1
lacerated	Miserables.txt 5, NotreDame_De_Paris.txt 2
lacerates	Miserables.txt 1
laceration	Miserables.txt 1
laces	Miserables.txt 3, NotreDame_De_Paris.txt 2
lacets	Miserables.txt 1
lacework	NotreDame_De_Paris.txt 1
lachaise	Miserables.txt 6
lacing	Miserables.txt 1
lack	Miserables.txt 29, NotreDame_De_Paris.txt 8
lacked	Miserables.txt 13, NotreDame_De_Paris.txt 6
lackey	Miserables.txt 5, NotreDame_De_Paris.txt 3
lackeys	NotreDame_De_Paris.txt 9, Miserables.txt 5
lacking	Miserables.txt 35, NotreDame_De_Paris.txt 5
lacks	NotreDame_De_Paris.txt 5, Miserables.txt 5
laconic	Miserables.txt 4, NotreDame_De_Paris.txt 1
laconically	Miserables.txt 1
laconicism	Miserables.txt 1
laconics	NotreDame_De_Paris.txt 1
lacoste	Miserables.txt 5
lacquer	Miserables.txt 3
lad	Miserables.txt 26, NotreDame_De_Paris.txt 1
ladder	NotreDame_De_Paris.txt 44, Miserables.txt 27
ladders	Miserables.txt 10, NotreDame_De_Paris.txt 4
ladehors	NotreDame_De_Paris.txt 1
laden	Miserables.txt 8
ladies	Miserables.txt 36, NotreDame_De_Paris.txt 7
ladle	Miserables.txt 4
ladre	NotreDame_De_Paris.txt 1
lads	NotreDame_De_Paris.txt 2, Miserables.txt 1
lady	Miserables.txt 47, NotreDame_De_Paris.txt 23
ladyfinger	Miserables.txt 1
laennec	Miserables.txt 1
laensberg	Miserables.txt 1
laertius	Miserables.txt 4
lafayette	Miserables.txt 20
lafayettes	Miserables.txt 1
laffitte	Miserables.txt 16
lafitte	Miserables.txt 1
lafon	Miserables.txt 1
laggard	Miserables.txt 1
laggards	NotreDame_De_Paris.txt 1
lagging	Miserables.txt 1
lagny	Miserables.txt 9
lagrange	Miserables.txt 1
lahautiere	Miserables.txt 1
laid	Miserables.txt 113, NotreDame_De_Paris.txt 24
laigle	Miserables.txt 43
lain	NotreDame_De_Paris.txt 2, Miserables.txt 1
laine	Miserables.txt 1
lair	Miserables.txt 19, NotreDame_De_Paris.txt 6
lairs	Miserables.txt 1
laiter	Miserables.txt 1
lake	Miserables.txt 9, NotreDame_De_Paris.txt 4
lakes	Miserables.txt 1
lallemand	Miserables.txt 1
lama	Miserables.txt 1
lamarque	Miserables.txt 14
lamartine	Miserables.txt 1
lamb	Miserables.txt 7, NotreDame_De_Paris.txt 5
lamballe	Miserables.txt 1
lambert	Miserables.txt 4, NotreDame_De_Paris.txt 1
lambs	Miserables.txt 2, NotreDame_De_Paris.txt 1
lame	NotreDame_De_Paris.txt 14, Miserables.txt 7
lamennais	Miserables.txt 3
lament	NotreDame_De_Paris.txt 1
lamentable	Miserables.txt 19, NotreDame_De_Paris.txt 4
lamentation	NotreDame_De_Paris.txt 1
lamentations	Miserables.txt 2
lamenting	NotreDame_De_Paris.txt 1, Miserables.txt 1
laminas	NotreDame_De_Paris.txt 1
lamoignon	Miserables.txt 4
lamothe	Miserables.txt 4
lamotte	Miserables.txt 1
lamp	Miserables.txt 28, NotreDame_De_Paris.txt 21
lampas	Miserables.txt 1
lampblack	Miserables.txt 2
lamplighter	NotreDame_De_Paris.txt 1
lamps	NotreDame_De_Paris.txt 5, Miserables.txt 4
lancait	Miserables.txt 1
lance	NotreDame_De_Paris.txt 3, Miserables.txt 3
lancer	Miserables.txt 20
lancers	Miserables.txt 7
lances	NotreDame_De_Paris.txt 5, Miserables.txt 3
lancet	NotreDame_De_Paris.txt 1, Miserables.txt 1
lancret	Miserables.txt 1
land	Miserables.txt 37, NotreDame_De_Paris.txt 6
landau	Miserables.txt 1
landed	Miserables.txt 5, NotreDame_De_Paris.txt 3
landing	Miserables.txt 9, NotreDame_De_Paris.txt 3
landlady	Miserables.txt 3
landless	NotreDame_De_Paris.txt 1
landlord	Miserables.txt 16
landry	NotreDame_De_Paris.txt 2
lands	Miserables.txt 5, NotreDame_De_Paris.txt 1
landscape	Miserables.txt 5, NotreDame_De_Paris.txt 1
landslip	Miserables.txt 1
lane	Miserables.txt 37, NotreDame_De_Paris.txt 2
lanes	Miserables.txt 4
langevin	Miserables.txt 1
langleviel	Miserables.txt 1
langres	Miserables.txt 1
language	Miserables.txt 50, NotreDame_De_Paris.txt 17
languages	Miserables.txt 4, NotreDame_De_Paris.txt 1
languedoc	Miserables.txt 1
languid	Miserables.txt 2
languidly	Miserables.txt 1
languished	Miserables.txt 2
languishing	Miserables.txt 2
languor	Miserables.txt 2, NotreDame_De_Paris.txt 1
laniare	NotreDame_De_Paris.txt 1
lannes	Miserables.txt 1
lanoire	Miserables.txt 1
lansquine	Miserables.txt 1
lantern	Miserables.txt 46, NotreDame_De_Paris.txt 16
lanterne	Miserables.txt 1
lanterns	Miserables.txt 25, NotreDame_De_Paris.txt 2
lanturn	NotreDame_De_Paris.txt 1
laon	Miserables.txt 1
