m	Miserables.txt 971, NotreDame_De_Paris.txt 29
ma	Miserables.txt 27, NotreDame_De_Paris.txt 6
mabeuf	Miserables.txt 95
mabile	Miserables.txt 1
mabillon	Miserables.txt 1
mabonne	NotreDame_De_Paris.txt 1
mac	Miserables.txt 4
macaroons	Miserables.txt 1
macbeth	Miserables.txt 1
maccabees	Miserables.txt 1
macchi	Miserables.txt 1
macchiavelli	Miserables.txt 1
mace	NotreDame_De_Paris.txt 3
macebearers	NotreDame_De_Paris.txt 1
macerations	Miserables.txt 1
maces	NotreDame_De_Paris.txt 1
machiavelli	Miserables.txt 3
machicolations	NotreDame_De_Paris.txt 4
machicots	NotreDame_De_Paris.txt 1
machinations	Miserables.txt 1
machine	Miserables.txt 15, NotreDame_De_Paris.txt 3
machineel	Miserables.txt 1
machines	Miserables.txt 5, NotreDame_De_Paris.txt 1
mack	Miserables.txt 2
mad	Miserables.txt 44, NotreDame_De_Paris.txt 23
madam	Miserables.txt 12, NotreDame_De_Paris.txt 6
madame	Miserables.txt 257, NotreDame_De_Paris.txt 33
madamoiselle	NotreDame_De_Paris.txt 1
maddened	NotreDame_De_Paris.txt 1
made	Miserables.txt 788, NotreDame_De_Paris.txt 302
madeira	Miserables.txt 1
madeleine	Miserables.txt 284
madelonettes	Miserables.txt 6
mademoiselle	Miserables.txt 112, NotreDame_De_Paris.txt 20
madly	NotreDame_De_Paris.txt 4, Miserables.txt 3
madman	NotreDame_De_Paris.txt 7, Miserables.txt 4
madness	Miserables.txt 14, NotreDame_De_Paris.txt 7
madras	Miserables.txt 1
madrepore	Miserables.txt 2
madrid	Miserables.txt 3
madwoman	NotreDame_De_Paris.txt 2
maelstrom	Miserables.txt 1
maenads	Miserables.txt 1
maevius	Miserables.txt 1
magaera	Miserables.txt 1
magazine	Miserables.txt 1
magi	Miserables.txt 1
magian	NotreDame_De_Paris.txt 1
magic	NotreDame_De_Paris.txt 27, Miserables.txt 7
magical	Miserables.txt 2, NotreDame_De_Paris.txt 1
magically	NotreDame_De_Paris.txt 1
magician	NotreDame_De_Paris.txt 6, Miserables.txt 1
magicians	Miserables.txt 1
magimel	Miserables.txt 1
magisterial	NotreDame_De_Paris.txt 2, Miserables.txt 2
magistracy	Miserables.txt 5, NotreDame_De_Paris.txt 4
magistrate	Miserables.txt 15, NotreDame_De_Paris.txt 8
magistrates	Miserables.txt 3, NotreDame_De_Paris.txt 2
magistri	NotreDame_De_Paris.txt 2
magloire	Miserables.txt 77, NotreDame_De_Paris.txt 1
magna	NotreDame_De_Paris.txt 1
magnanimities	Miserables.txt 1
magnanimity	Miserables.txt 2
magnanimous	Miserables.txt 4
magnates	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnet	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnetic	Miserables.txt 5, NotreDame_De_Paris.txt 1
magnetism	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnificence	Miserables.txt 7, NotreDame_De_Paris.txt 2
magnificences	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnificent	Miserables.txt 53, NotreDame_De_Paris.txt 28
magnificently	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnified	NotreDame_De_Paris.txt 1, Miserables.txt 1
magnify	Miserables.txt 1
magnifying	NotreDame_De_Paris.txt 2, Miserables.txt 1
magnitude	NotreDame_De_Paris.txt 1
magno	NotreDame_De_Paris.txt 1
magnon	Miserables.txt 30
magnons	Miserables.txt 1
magnus	Miserables.txt 1
magny	Miserables.txt 1
magot	NotreDame_De_Paris.txt 1
mah	NotreDame_De_Paris.txt 2
mahab	NotreDame_De_Paris.txt 1
mahiet	NotreDame_De_Paris.txt 4
mahiette	NotreDame_De_Paris.txt 46
mahogany	Miserables.txt 5
mahom	NotreDame_De_Paris.txt 6
mahomet	Miserables.txt 2, NotreDame_De_Paris.txt 1
mahometan	NotreDame_De_Paris.txt 1
mahometanism	Miserables.txt 1
mahometans	NotreDame_De_Paris.txt 2
mahoney	Miserables.txt 1
mai	Miserables.txt 2
maid	Miserables.txt 20, NotreDame_De_Paris.txt 11
maiden	Miserables.txt 5, NotreDame_De_Paris.txt 2
maidenliness	Miserables.txt 1
maidens	NotreDame_De_Paris.txt 7, Miserables.txt 2
maids	Miserables.txt 6, NotreDame_De_Paris.txt 3
mail	Miserables.txt 13, NotreDame_De_Paris.txt 4
maillard	Miserables.txt 2
mailles	NotreDame_De_Paris.txt 1
maillevin	NotreDame_De_Paris.txt 1
maillotins	Miserables.txt 1
mailly	NotreDame_De_Paris.txt 1
main	Miserables.txt 12, NotreDame_De_Paris.txt 3
maine	Miserables.txt 12
maintain	Miserables.txt 5, NotreDame_De_Paris.txt 2
maintained	Miserables.txt 7, NotreDame_De_Paris.txt 6
maintaining	NotreDame_De_Paris.txt 2, Miserables.txt 2
maintains	Miserables.txt 2
maintenance	Miserables.txt 1
maior	Miserables.txt 1
maire	Miserables.txt 59, NotreDame_De_Paris.txt 1
mairesse	NotreDame_De_Paris.txt 2
mais	Miserables.txt 4, NotreDame_De_Paris.txt 1
maison	NotreDame_De_Paris.txt 1, Miserables.txt 1
maistre	Miserables.txt 3
maitland	Miserables.txt 3
maitre	Miserables.txt 5
maize	NotreDame_De_Paris.txt 3
majestic	Miserables.txt 10, NotreDame_De_Paris.txt 5
