n	Miserables.txt 17, NotreDame_De_Paris.txt 8
na	NotreDame_De_Paris.txt 2
nabbed	Miserables.txt 5
nabbing	Miserables.txt 1
nacelle	NotreDame_De_Paris.txt 1
nadir	NotreDame_De_Paris.txt 1, Miserables.txt 1
nag	Miserables.txt 1
nahenry	Miserables.txt 1
naiad	Miserables.txt 1
naigeon	Miserables.txt 2
nail	Miserables.txt 40, NotreDame_De_Paris.txt 7
nailed	Miserables.txt 25, NotreDame_De_Paris.txt 2
nailing	Miserables.txt 4
nails	Miserables.txt 29, NotreDame_De_Paris.txt 18
nain	Miserables.txt 1
naive	Miserables.txt 2
naively	NotreDame_De_Paris.txt 3, Miserables.txt 1
naivete	NotreDame_De_Paris.txt 2
naked	Miserables.txt 26, NotreDame_De_Paris.txt 16
nakedness	Miserables.txt 5
nal	NotreDame_De_Paris.txt 1
name	Miserables.txt 432, NotreDame_De_Paris.txt 124
named	Miserables.txt 65, NotreDame_De_Paris.txt 7
nameless	Miserables.txt 2
names	Miserables.txt 73, NotreDame_De_Paris.txt 16
naming	NotreDame_De_Paris.txt 1, Miserables.txt 1
namur	Miserables.txt 1
nankeen	Miserables.txt 1
nankin	Miserables.txt 2
nanterre	Miserables.txt 4
nantes	Miserables.txt 2
nap	Miserables.txt 1
naparte	Miserables.txt 1
nape	Miserables.txt 6, NotreDame_De_Paris.txt 1
napery	NotreDame_De_Paris.txt 1, Miserables.txt 1
napkin	Miserables.txt 1
napkins	Miserables.txt 1
naples	Miserables.txt 5
napoleon	Miserables.txt 143, NotreDame_De_Paris.txt 2
napoleons	Miserables.txt 8
naquois	NotreDame_De_Paris.txt 1
narcissus	Miserables.txt 1
narcotic	Miserables.txt 2
narde	NotreDame_De_Paris.txt 18
nargaud	Miserables.txt 1
narquois	Miserables.txt 1
narrate	Miserables.txt 4
narrated	Miserables.txt 6
narrates	Miserables.txt 1
narrating	Miserables.txt 4
narrations	Miserables.txt 1
narrative	Miserables.txt 1
narrator	Miserables.txt 4
narrow	Miserables.txt 58, NotreDame_De_Paris.txt 16
narrowed	Miserables.txt 2
narrower	Miserables.txt 4, NotreDame_De_Paris.txt 2
narrowly	NotreDame_De_Paris.txt 1, Miserables.txt 1
narses	Miserables.txt 1
nasal	NotreDame_De_Paris.txt 3, Miserables.txt 3
nasally	NotreDame_De_Paris.txt 1
nasica	Miserables.txt 1
naso	NotreDame_De_Paris.txt 1
nassau	Miserables.txt 4
nassaus	Miserables.txt 2
nasty	Miserables.txt 1
nasum	NotreDame_De_Paris.txt 1
natal	Miserables.txt 1
nation	Miserables.txt 47, NotreDame_De_Paris.txt 8
national	Miserables.txt 59, NotreDame_De_Paris.txt 1
nationalities	Miserables.txt 1
nationality	Miserables.txt 1
nations	Miserables.txt 29, NotreDame_De_Paris.txt 4
native	Miserables.txt 9, NotreDame_De_Paris.txt 1
nativity	Miserables.txt 1
natoire	Miserables.txt 1
natural	Miserables.txt 48, NotreDame_De_Paris.txt 13
naturalist	Miserables.txt 1
naturalists	Miserables.txt 1
naturalize	Miserables.txt 1
naturalized	Miserables.txt 1
naturally	Miserables.txt 15, NotreDame_De_Paris.txt 1
naturalness	Miserables.txt 1
nature	Miserables.txt 143, NotreDame_De_Paris.txt 27
natured	Miserables.txt 4
naturedly	Miserables.txt 1
natures	Miserables.txt 18
naught	NotreDame_De_Paris.txt 3
naughty	Miserables.txt 4, NotreDame_De_Paris.txt 2
naval	Miserables.txt 3
navarre	NotreDame_De_Paris.txt 1, Miserables.txt 1
nave	NotreDame_De_Paris.txt 15
naves	NotreDame_De_Paris.txt 1
navet	Miserables.txt 3
navigating	Miserables.txt 1
navigation	Miserables.txt 2
naviguer	Miserables.txt 1
navy	Miserables.txt 2
nazareth	Miserables.txt 2
ne	NotreDame_De_Paris.txt 9, Miserables.txt 8
neapolitan	NotreDame_De_Paris.txt 1
near	Miserables.txt 268, NotreDame_De_Paris.txt 49
nearer	Miserables.txt 19, NotreDame_De_Paris.txt 8
nearest	Miserables.txt 10, NotreDame_De_Paris.txt 2
nearing	NotreDame_De_Paris.txt 1, Miserables.txt 1
nearly	Miserables.txt 102, NotreDame_De_Paris.txt 17
neat	Miserables.txt 11
neath	Miserables.txt 1
neatherd	Miserables.txt 1
neatly	Miserables.txt 5
neatness	NotreDame_De_Paris.txt 1
nebula	Miserables.txt 1
nebulous	Miserables.txt 1
nec	NotreDame_De_Paris.txt 1
necessaries	Miserables.txt 1
necessarily	Miserables.txt 12, NotreDame_De_Paris.txt 4
necessary	Miserables.txt 127, NotreDame_De_Paris.txt 17
necessitating	Miserables.txt 1
necessities	Miserables.txt 6, NotreDame_De_Paris.txt 1
necessitous	Miserables.txt 2
necessity	Miserables.txt 39, NotreDame_De_Paris.txt 5
neck	Miserables.txt 72, NotreDame_De_Paris.txt 51
necked	Miserables.txt 6
necker	Miserables.txt 1
necklace	Miserables.txt 3, NotreDame_De_Paris.txt 1
necklet	Miserables.txt 4
necklets	Miserables.txt 3
necks	Miserables.txt 5, NotreDame_De_Paris.txt 3
neckties	Miserables.txt 1
necromancy	NotreDame_De_Paris.txt 1
nectar	Miserables.txt 1
nee	Miserables.txt 1
need	Miserables.txt 100, NotreDame_De_Paris.txt 26
needed	Miserables.txt 23, NotreDame_De_Paris.txt 8
needham	Miserables.txt 2
needle	Miserables.txt 7, NotreDame_De_Paris.txt 1
