o	NotreDame_De_Paris.txt 17, Miserables.txt 203
oak	NotreDame_De_Paris.txt 7, Miserables.txt 4
oaken	NotreDame_De_Paris.txt 2
oaks	NotreDame_De_Paris.txt 1, Miserables.txt 2
oars	NotreDame_De_Paris.txt 3, Miserables.txt 2
oath	NotreDame_De_Paris.txt 7, Miserables.txt 12
oaths	NotreDame_De_Paris.txt 5, Miserables.txt 6
oats	Miserables.txt 8
obduracy	Miserables.txt 2
obedience	NotreDame_De_Paris.txt 3, Miserables.txt 28
obedient	NotreDame_De_Paris.txt 1, Miserables.txt 1
obedientia	Miserables.txt 1
obeissais	Miserables.txt 1
obelisk	NotreDame_De_Paris.txt 4
obelisks	NotreDame_De_Paris.txt 2
obey	NotreDame_De_Paris.txt 2, Miserables.txt 13
obeyed	NotreDame_De_Paris.txt 4, Miserables.txt 27
obeying	Miserables.txt 6
obeys	Miserables.txt 4
obit	Miserables.txt 1
object	NotreDame_De_Paris.txt 14, Miserables.txt 62
objected	NotreDame_De_Paris.txt 1, Miserables.txt 2
objecting	NotreDame_De_Paris.txt 1
objection	NotreDame_De_Paris.txt 1, Miserables.txt 8
objections	NotreDame_De_Paris.txt 1, Miserables.txt 10
objectless	Miserables.txt 3
objects	NotreDame_De_Paris.txt 10, Miserables.txt 16
oblationem	Miserables.txt 1
obligation	Miserables.txt 1
obligations	Miserables.txt 1
obligatory	Miserables.txt 2
obliged	NotreDame_De_Paris.txt 28, Miserables.txt 81
obligingly	Miserables.txt 1
oblique	NotreDame_De_Paris.txt 2, Miserables.txt 3
obliterate	Miserables.txt 1
obliterated	NotreDame_De_Paris.txt 2, Miserables.txt 3
obliteration	Miserables.txt 7
oblivion	NotreDame_De_Paris.txt 2, Miserables.txt 6
oblivisci	Miserables.txt 1
oblong	NotreDame_De_Paris.txt 3, Miserables.txt 6
obregon	Miserables.txt 1
obscene	NotreDame_De_Paris.txt 1, Miserables.txt 3
obscenities	Miserables.txt 1
obscenity	Miserables.txt 1
