p	Miserables.txt 12, NotreDame_De_Paris.txt 10
pa	Miserables.txt 3
pabourgeot	Miserables.txt 3
pace	Miserables.txt 38, NotreDame_De_Paris.txt 7
paced	Miserables.txt 7, NotreDame_De_Paris.txt 4
paces	Miserables.txt 69, NotreDame_De_Paris.txt 11
pache	Miserables.txt 2
pacific	Miserables.txt 3
pacifically	Miserables.txt 1
pacification	Miserables.txt 1
pacifique	NotreDame_De_Paris.txt 1
pacing	Miserables.txt 9
pack	Miserables.txt 17, NotreDame_De_Paris.txt 10
package	Miserables.txt 18, NotreDame_De_Paris.txt 1
packages	Miserables.txt 3
packed	NotreDame_De_Paris.txt 1, Miserables.txt 1
packer	Miserables.txt 1
packet	Miserables.txt 3
packets	Miserables.txt 1
packing	Miserables.txt 2, NotreDame_De_Paris.txt 1
packs	Miserables.txt 1
paclet	NotreDame_De_Paris.txt 2
pacy	Miserables.txt 1
paddle	Miserables.txt 1
paddock	Miserables.txt 3
padelt	NotreDame_De_Paris.txt 1
padlock	Miserables.txt 1
padlocked	Miserables.txt 3
pads	Miserables.txt 1
padua	Miserables.txt 1
paer	Miserables.txt 1
pagan	NotreDame_De_Paris.txt 3, Miserables.txt 2
paganism	NotreDame_De_Paris.txt 1, Miserables.txt 1
pagans	NotreDame_De_Paris.txt 2
page	Miserables.txt 14, NotreDame_De_Paris.txt 11
pages	Miserables.txt 13, NotreDame_De_Paris.txt 10
paglan	Miserables.txt 1
pagoda	NotreDame_De_Paris.txt 3, Miserables.txt 2
pagodas	NotreDame_De_Paris.txt 2
paid	Miserables.txt 111, NotreDame_De_Paris.txt 21
pail	Miserables.txt 5
pain	NotreDame_De_Paris.txt 13, Miserables.txt 12
pained	Miserables.txt 6, NotreDame_De_Paris.txt 2
painful	Miserables.txt 26, NotreDame_De_Paris.txt 3
painfully	Miserables.txt 2
paining	Miserables.txt 1
pains	Miserables.txt 5, NotreDame_De_Paris.txt 3
paint	Miserables.txt 10
painted	Miserables.txt 29, NotreDame_De_Paris.txt 22
painter	Miserables.txt 8, NotreDame_De_Paris.txt 1
