s	NotreDame_De_Paris.txt 681, Miserables.txt 2083
sa	NotreDame_De_Paris.txt 1, Miserables.txt 7
sabbath	NotreDame_De_Paris.txt 12
sabbaths	NotreDame_De_Paris.txt 1
sabin	Miserables.txt 1
sabines	Miserables.txt 2
sabinus	Miserables.txt 1
sables	NotreDame_De_Paris.txt 1
sabnac	NotreDame_De_Paris.txt 1
sabot	Miserables.txt 2
sabots	Miserables.txt 1
sabran	Miserables.txt 2
sabre	Miserables.txt 8
sabred	Miserables.txt 1
sabres	Miserables.txt 8
sabri	Miserables.txt 2
sac	Miserables.txt 9
sacerdotal	NotreDame_De_Paris.txt 4
sacerdotalism	NotreDame_De_Paris.txt 1
sachette	NotreDame_De_Paris.txt 2
sack	NotreDame_De_Paris.txt 20, Miserables.txt 7
sacked	NotreDame_De_Paris.txt 10
sacks	NotreDame_De_Paris.txt 1, Miserables.txt 6
sacra	Miserables.txt 1
sacrait	Miserables.txt 1
sacrament	Miserables.txt 22
sacramental	Miserables.txt 1
sacred	NotreDame_De_Paris.txt 14, Miserables.txt 49
sacrifice	NotreDame_De_Paris.txt 3, Miserables.txt 30
sacrificed	Miserables.txt 8
sacrifices	NotreDame_De_Paris.txt 1, Miserables.txt 3
sacrificing	Miserables.txt 5
sacrilege	NotreDame_De_Paris.txt 2, Miserables.txt 3
sacristan	NotreDame_De_Paris.txt 1, Miserables.txt 1
sacristans	Miserables.txt 1
sacristries	NotreDame_De_Paris.txt 1
sacristy	NotreDame_De_Paris.txt 2, Miserables.txt 4
sad	NotreDame_De_Paris.txt 18, Miserables.txt 85
sadden	Miserables.txt 1
saddened	NotreDame_De_Paris.txt 1, Miserables.txt 4
sadder	Miserables.txt 3
saddle	NotreDame_De_Paris.txt 6, Miserables.txt 8
saddler	Miserables.txt 1
saddles	Miserables.txt 1
sadly	NotreDame_De_Paris.txt 12, Miserables.txt 11
sadness	NotreDame_De_Paris.txt 7, Miserables.txt 30
safe	NotreDame_De_Paris.txt 4, Miserables.txt 14
safeguard	NotreDame_De_Paris.txt 1
safekeeping	NotreDame_De_Paris.txt 2
safely	Miserables.txt 1
safer	NotreDame_De_Paris.txt 1
safest	Miserables.txt 2
safety	NotreDame_De_Paris.txt 5, Miserables.txt 14
sagacious	NotreDame_De_Paris.txt 3, Miserables.txt 9
sagacity	NotreDame_De_Paris.txt 1, Miserables.txt 5
sage	NotreDame_De_Paris.txt 3, Miserables.txt 12
sages	NotreDame_De_Paris.txt 1, Miserables.txt 3
sagittaire	Miserables.txt 1
saguet	Miserables.txt 1
said	NotreDame_De_Paris.txt 720, Miserables.txt 1796
saidst	Miserables.txt 1
sail	Miserables.txt 3
sailed	Miserables.txt 1
sailing	Miserables.txt 2
saillarde	NotreDame_De_Paris.txt 1
sailor	Miserables.txt 6
sailors	Miserables.txt 6
sails	Miserables.txt 3
saint	NotreDame_De_Paris.txt 215, Miserables.txt 401
sainte	NotreDame_De_Paris.txt 38, Miserables.txt 65
sainted	Miserables.txt 11
saintete	Miserables.txt 1
saintly	Miserables.txt 1
saintonge	Miserables.txt 3
saints	NotreDame_De_Paris.txt 9, Miserables.txt 13
sainval	Miserables.txt 2
saisie	Miserables.txt 1
saisina	NotreDame_De_Paris.txt 1
saith	NotreDame_De_Paris.txt 7
sake	NotreDame_De_Paris.txt 18, Miserables.txt 35
sakoski	Miserables.txt 1
salaberry	Miserables.txt 1
salad	Miserables.txt 1
