t	Miserables.txt 380, NotreDame_De_Paris.txt 61
ta	Miserables.txt 6, NotreDame_De_Paris.txt 1
tabaraud	Miserables.txt 1
tabernacle	NotreDame_De_Paris.txt 1
tabernacles	NotreDame_De_Paris.txt 1
table	Miserables.txt 228, NotreDame_De_Paris.txt 56
tablecloth	Miserables.txt 1
tables	Miserables.txt 25, NotreDame_De_Paris.txt 11
tablet	Miserables.txt 1
tabs	Miserables.txt 1
taches	Miserables.txt 1
tacit	Miserables.txt 3
tacitly	Miserables.txt 2
taciturn	Miserables.txt 5, NotreDame_De_Paris.txt 1
taciturnity	Miserables.txt 2
tacitus	Miserables.txt 10
tacituses	Miserables.txt 1
tack	NotreDame_De_Paris.txt 1
tact	Miserables.txt 1
tactics	Miserables.txt 9
tadpoles	Miserables.txt 1
taf	Miserables.txt 1
taffeta	Miserables.txt 2
tail	Miserables.txt 17, NotreDame_De_Paris.txt 12
tailors	Miserables.txt 1
tails	Miserables.txt 8
taint	Miserables.txt 2
tainted	Miserables.txt 2
tainville	Miserables.txt 1
take	Miserables.txt 372, NotreDame_De_Paris.txt 114
taken	Miserables.txt 295, NotreDame_De_Paris.txt 54
takes	Miserables.txt 63, NotreDame_De_Paris.txt 11
taketh	NotreDame_De_Paris.txt 1
taking	Miserables.txt 130, NotreDame_De_Paris.txt 28
tal	Miserables.txt 1
talapoins	Miserables.txt 1
talavera	Miserables.txt 2
talbot	Miserables.txt 1
tale	Miserables.txt 12, NotreDame_De_Paris.txt 6
talent	Miserables.txt 10, NotreDame_De_Paris.txt 1
talents	Miserables.txt 9
tales	Miserables.txt 3
talisman	Miserables.txt 1
talk	Miserables.txt 61, NotreDame_De_Paris.txt 12
talkative	Miserables.txt 4
talked	Miserables.txt 42, NotreDame_De_Paris.txt 7
talker	Miserables.txt 4
talking	Miserables.txt 66, NotreDame_De_Paris.txt 11
talks	Miserables.txt 9, NotreDame_De_Paris.txt 3
tall	Miserables.txt 42, NotreDame_De_Paris.txt 8
taller	Miserables.txt 5, NotreDame_De_Paris.txt 1
talleyrand	Miserables.txt 6
tallow	NotreDame_De_Paris.txt 3, Miserables.txt 3
tally	Miserables.txt 1
talma	Miserables.txt 5
talon	NotreDame_De_Paris.txt 1, Miserables.txt 1
talons	Miserables.txt 3, NotreDame_De_Paris.txt 2
tambour	Miserables.txt 1
tambourine	NotreDame_De_Paris.txt 24
tambourines	NotreDame_De_Paris.txt 2
tame	Miserables.txt 1
tamed	NotreDame_De_Paris.txt 1
tamen	NotreDame_De_Paris.txt 2
tan	NotreDame_De_Paris.txt 3, Miserables.txt 2
tancarville	NotreDame_De_Paris.txt 1
tandem	Miserables.txt 1
tanflute	Miserables.txt 1
tangible	Miserables.txt 1
tangle	Miserables.txt 1
tangled	NotreDame_De_Paris.txt 2, Miserables.txt 2
tank	Miserables.txt 1
tanned	Miserables.txt 2
tannerie	NotreDame_De_Paris.txt 1
tanneries	Miserables.txt 1
tanners	NotreDame_De_Paris.txt 1
tantalus	Miserables.txt 2, NotreDame_De_Paris.txt 1
tantamount	Miserables.txt 1
tantrums	NotreDame_De_Paris.txt 1
tap	Miserables.txt 27, NotreDame_De_Paris.txt 1
tape	Miserables.txt 2
tapecu	Miserables.txt 1
taper	Miserables.txt 6
tapering	NotreDame_De_Paris.txt 1
tapers	Miserables.txt 1
tapestried	NotreDame_De_Paris.txt 1
tapestries	NotreDame_De_Paris.txt 5, Miserables.txt 2
tapestry	NotreDame_De_Paris.txt 11, Miserables.txt 3
tapissieres	Miserables.txt 1
tapped	Miserables.txt 10
tapping	NotreDame_De_Paris.txt 1, Miserables.txt 1
taps	Miserables.txt 3, NotreDame_De_Paris.txt 1
tarantula	Miserables.txt 1
tarascon	NotreDame_De_Paris.txt 1
tarasques	NotreDame_De_Paris.txt 1
tardy	Miserables.txt 4, NotreDame_De_Paris.txt 1
tares	Miserables.txt 2, NotreDame_De_Paris.txt 1
targe	NotreDame_De_Paris.txt 1
targes	NotreDame_De_Paris.txt 3
target	NotreDame_De_Paris.txt 2, Miserables.txt 2
tariff	Miserables.txt 5
tarme	NotreDame_De_Paris.txt 3
tarnish	NotreDame_De_Paris.txt 1
tarnished	NotreDame_De_Paris.txt 1
tarpaulin	Miserables.txt 1
tarpaulins	Miserables.txt 1
tarrying	Miserables.txt 1
tarsus	Miserables.txt 1
tartan	Miserables.txt 1
tartar	Miserables.txt 1
tartarus	NotreDame_De_Paris.txt 3
tartary	NotreDame_De_Paris.txt 1
tarts	Miserables.txt 1
tartuffe	Miserables.txt 3
task	Miserables.txt 25, NotreDame_De_Paris.txt 5
tasse	Miserables.txt 1
tassel	Miserables.txt 1
tassels	Miserables.txt 1
tassin	NotreDame_De_Paris.txt 1
taste	Miserables.txt 38, NotreDame_De_Paris.txt 18
tasted	Miserables.txt 4, NotreDame_De_Paris.txt 2
tastefully	NotreDame_De_Paris.txt 1
tastes	NotreDame_De_Paris.txt 2, Miserables.txt 1
tasting	NotreDame_De_Paris.txt 2, Miserables.txt 2
tatter	Miserables.txt 1
tatterdemalions	Miserables.txt 1
tattered	Miserables.txt 17, NotreDame_De_Paris.txt 1
tatters	NotreDame_De_Paris.txt 5, Miserables.txt 4
tattle	NotreDame_De_Paris.txt 1
tattooed	Miserables.txt 3, NotreDame_De_Paris.txt 1
taudis	Miserables.txt 1
taught	Miserables.txt 17, NotreDame_De_Paris.txt 5
taule	Miserables.txt 2
taurinum	NotreDame_De_Paris.txt 1
tavannes	Miserables.txt 1
tavern	Miserables.txt 26, NotreDame_De_Paris.txt 14
taverns	Miserables.txt 5, NotreDame_De_Paris.txt 2
tawers	NotreDame_De_Paris.txt 1
tawny	NotreDame_De_Paris.txt 2
taws	NotreDame_De_Paris.txt 1
tax	Miserables.txt 10, NotreDame_De_Paris.txt 8
taxes	Miserables.txt 8, NotreDame_De_Paris.txt 5
te	NotreDame_De_Paris.txt 18, Miserables.txt 10
tea	Miserables.txt 6
teach	Miserables.txt 11, NotreDame_De_Paris.txt 6
teacher	NotreDame_De_Paris.txt 1, Miserables.txt 1
teachers	Miserables.txt 2
teaching	Miserables.txt 2, NotreDame_De_Paris.txt 1
teachings	Miserables.txt 1
team	Miserables.txt 5, NotreDame_De_Paris.txt 1
teams	Miserables.txt 3
tear	Miserables.txt 35, NotreDame_De_Paris.txt 24
tearer	Miserables.txt 1
tearing	Miserables.txt 12, NotreDame_De_Paris.txt 2
tearless	NotreDame_De_Paris.txt 3, Miserables.txt 1
tears	Miserables.txt 41, NotreDame_De_Paris.txt 32
tease	Miserables.txt 2
teasing	Miserables.txt 5, NotreDame_De_Paris.txt 2
teau	NotreDame_De_Paris.txt 4
teaufort	NotreDame_De_Paris.txt 1
teaumorant	NotreDame_De_Paris.txt 1
teaupers	NotreDame_De_Paris.txt 21
tecelin	Miserables.txt 1
tedium	NotreDame_De_Paris.txt 1
teeth	Miserables.txt 94, NotreDame_De_Paris.txt 58
teglath	Miserables.txt 1
tel	NotreDame_De_Paris.txt 45
telegraph	Miserables.txt 2, NotreDame_De_Paris.txt 1
telegraphic	Miserables.txt 1
telemachus	Miserables.txt 1
telescope	Miserables.txt 3
telet	NotreDame_De_Paris.txt 30
tell	Miserables.txt 173, NotreDame_De_Paris.txt 70
teller	Miserables.txt 4
tellers	Miserables.txt 1
telling	Miserables.txt 20, NotreDame_De_Paris.txt 3
tells	Miserables.txt 10, NotreDame_De_Paris.txt 1
tels	NotreDame_De_Paris.txt 6
temerity	Miserables.txt 1
temper	NotreDame_De_Paris.txt 5, Miserables.txt 4
temperament	NotreDame_De_Paris.txt 1, Miserables.txt 1
temperaments	Miserables.txt 1
temperate	Miserables.txt 2
temperature	Miserables.txt 3, NotreDame_De_Paris.txt 2
tempered	Miserables.txt 7
tempers	Miserables.txt 1
tempest	Miserables.txt 16, NotreDame_De_Paris.txt 8
tempests	Miserables.txt 1
tempestuous	NotreDame_De_Paris.txt 1
templars	NotreDame_De_Paris.txt 1
temple	Miserables.txt 42, NotreDame_De_Paris.txt 22
temples	Miserables.txt 11, NotreDame_De_Paris.txt 3
temporal	NotreDame_De_Paris.txt 4, Miserables.txt 1
