a	NotreDame_De_Paris.txt 4774, Miserables.txt 14598
aback	NotreDame_De_Paris.txt 1, Miserables.txt 2
abaisse	Miserables.txt 1
abandon	NotreDame_De_Paris.txt 3, Miserables.txt 12
abandoned	NotreDame_De_Paris.txt 13, Miserables.txt 42
abandoning	NotreDame_De_Paris.txt 1, Miserables.txt 6
abandonment	NotreDame_De_Paris.txt 4, Miserables.txt 6
abandons	NotreDame_De_Paris.txt 1, Miserables.txt 4
abarbarea	Miserables.txt 1
abased	Miserables.txt 2
abasement	Miserables.txt 3
abashed	NotreDame_De_Paris.txt 2, Miserables.txt 1
abate	Miserables.txt 1
abatis	Miserables.txt 2
abattoir	Miserables.txt 1
abattoirs	Miserables.txt 1
abb	NotreDame_De_Paris.txt 10
abbas	NotreDame_De_Paris.txt 3
abbate	Miserables.txt 1
abbatial	NotreDame_De_Paris.txt 1, Miserables.txt 1
abbe	NotreDame_De_Paris.txt 1, Miserables.txt 32
abberent	Miserables.txt 1
abbes	Miserables.txt 3
abbess	Miserables.txt 1
abbey	NotreDame_De_Paris.txt 19, Miserables.txt 11
abbeys	NotreDame_De_Paris.txt 4
abbot	NotreDame_De_Paris.txt 2, Miserables.txt 4
abbots	NotreDame_De_Paris.txt 2
abbreviation	Miserables.txt 2
abc	Miserables.txt 2
abcesses	NotreDame_De_Paris.txt 1
abd	Miserables.txt 1
abdicate	Miserables.txt 3
abdicated	Miserables.txt 2
abdicates	Miserables.txt 3
abdicating	Miserables.txt 1
abdication	NotreDame_De_Paris.txt 1, Miserables.txt 6
abdomen	Miserables.txt 1
abduct	NotreDame_De_Paris.txt 1
abducted	NotreDame_De_Paris.txt 1
abducting	NotreDame_De_Paris.txt 1, Miserables.txt 1
abduction	Miserables.txt 3
abductor	NotreDame_De_Paris.txt 1
abducts	Miserables.txt 1
abeilard	Miserables.txt 1
abeille	Miserables.txt 1
abel	Miserables.txt 2
aberration	Miserables.txt 4
aberrations	NotreDame_De_Paris.txt 1
abetted	Miserables.txt 1
abeyance	NotreDame_De_Paris.txt 1
abfxustgrnogrkzu	Miserables.txt 1
abhor	Miserables.txt 1
abhorred	NotreDame_De_Paris.txt 1, Miserables.txt 2
abhorring	Miserables.txt 1
abi	Miserables.txt 1
abide	NotreDame_De_Paris.txt 1, Miserables.txt 2
ability	NotreDame_De_Paris.txt 2, Miserables.txt 3
abject	NotreDame_De_Paris.txt 1, Miserables.txt 6
abjectness	Miserables.txt 3
abjectnesses	Miserables.txt 1
abjure	Miserables.txt 1
able	NotreDame_De_Paris.txt 21, Miserables.txt 122
ablerus	Miserables.txt 1
ablutions	Miserables.txt 1
abnegation	Miserables.txt 8
abnormal	Miserables.txt 1
abode	NotreDame_De_Paris.txt 1, Miserables.txt 6
abodes	Miserables.txt 2
aboie	NotreDame_De_Paris.txt 4
abolish	Miserables.txt 2
abolished	Miserables.txt 2
abolishes	Miserables.txt 1
abolishing	Miserables.txt 1
abolitionists	Miserables.txt 1
abominable	NotreDame_De_Paris.txt 4, Miserables.txt 21
abominably	Miserables.txt 2
abomination	NotreDame_De_Paris.txt 2, Miserables.txt 4
abominations	Miserables.txt 2
abortion	NotreDame_De_Paris.txt 1
aboukir	Miserables.txt 1
abound	Miserables.txt 10
