c	Miserables.txt 41
ca	Miserables.txt 5
cab	Miserables.txt 12
caballeros	Miserables.txt 1
cabaret	Miserables.txt 5
cabarets	Miserables.txt 1
cabbage	Miserables.txt 2
cabbages	Miserables.txt 2
cabin	Miserables.txt 3
cabinet	Miserables.txt 7
cabinets	Miserables.txt 3
cabins	Miserables.txt 1
cable	Miserables.txt 3
cables	Miserables.txt 1
caboulots	Miserables.txt 1
cabriolet	Miserables.txt 20
cabriolets	Miserables.txt 4
cabs	Miserables.txt 2
cabuc	Miserables.txt 20
cache	Miserables.txt 1
caches	Miserables.txt 1
cachuca	Miserables.txt 1
cadaver	Miserables.txt 1
cadaverous	Miserables.txt 1
cadene	Miserables.txt 1
cadenettes	Miserables.txt 1
cadets	Miserables.txt 1
cadodaches	Miserables.txt 1
cadran	Miserables.txt 5
caeca	Miserables.txt 1
caen	Miserables.txt 1
caesar	Miserables.txt 31
caesarian	Miserables.txt 1
caesarism	Miserables.txt 1
caesars	Miserables.txt 5
caetera	Miserables.txt 3
cafe	Miserables.txt 34
cafes	Miserables.txt 2
cage	Miserables.txt 18
caged	Miserables.txt 1
cages	Miserables.txt 3
cagliostro	Miserables.txt 1
cahors	Miserables.txt 2
caillard	Miserables.txt 1
caillou	Miserables.txt 2
cain	Miserables.txt 3
caiphas	Miserables.txt 2
caisson	Miserables.txt 1
caissons	Miserables.txt 4
caius	Miserables.txt 1
cajole	Miserables.txt 1
cake	Miserables.txt 15
cakes	Miserables.txt 3
calais	Miserables.txt 3
calamities	Miserables.txt 2
calamity	Miserables.txt 3
calas	Miserables.txt 2
calash	Miserables.txt 4
calcareous	Miserables.txt 1
calculate	Miserables.txt 3
calculated	Miserables.txt 15
calculating	Miserables.txt 1
calculation	Miserables.txt 3
calculations	Miserables.txt 8
calculator	Miserables.txt 3
caledonian	Miserables.txt 1
caleur	Miserables.txt 1
calf	Miserables.txt 3
caliban	Miserables.txt 1
calico	Miserables.txt 3
caligula	Miserables.txt 2
caliphs	Miserables.txt 1
call	Miserables.txt 122
called	Miserables.txt 384
calling	Miserables.txt 18
callipyge	Miserables.txt 1
callot	Miserables.txt 1
callous	Miserables.txt 1
callouses	Miserables.txt 1
callow	Miserables.txt 1
calls	Miserables.txt 35
callumore	Miserables.txt 2
calm	Miserables.txt 63
calme	Miserables.txt 1
calmed	Miserables.txt 6
calmer	Miserables.txt 1
calmest	Miserables.txt 3
calming	Miserables.txt 5
calmly	Miserables.txt 11
calmness	Miserables.txt 9
caloric	Miserables.txt 1
calumniate	Miserables.txt 2
calumniator	Miserables.txt 1
calumnies	Miserables.txt 1
calumny	Miserables.txt 2
calvaire	Miserables.txt 26
calvary	Miserables.txt 1
calves	Miserables.txt 3
calvin	Miserables.txt 1
camail	Miserables.txt 1
camaldules	Miserables.txt 1
camargo	Miserables.txt 1
cambaceres	Miserables.txt 1
cambis	Miserables.txt 1
camblin	Miserables.txt 1
cambrai	Miserables.txt 1
cambronne	Miserables.txt 14
cambyse	Miserables.txt 1
came	Miserables.txt 276
camels	Miserables.txt 1
camille	Miserables.txt 4
camoufle	Miserables.txt 2
camouflet	Miserables.txt 1
camouflets	Miserables.txt 1
camp	Miserables.txt 13
campagna	Miserables.txt 2
campaign	Miserables.txt 9
campan	Miserables.txt 1
campaspe	Miserables.txt 1
camphor	Miserables.txt 1
can	Miserables.txt 447
canaan	Miserables.txt 1
canaille	Miserables.txt 4
canal	Miserables.txt 9
canals	Miserables.txt 1
canam	Miserables.txt 1
canaples	Miserables.txt 1
canaries	Miserables.txt 1
canaris	Miserables.txt 1
canary	Miserables.txt 1
cancel	Miserables.txt 1
canche	Miserables.txt 1
candelabra	Miserables.txt 2
candid	Miserables.txt 12
candidate	Miserables.txt 1
candidates	Miserables.txt 1
candide	Miserables.txt 1
candle	Miserables.txt 93
candlemas	Miserables.txt 2
candles	Miserables.txt 35
candlestick	Miserables.txt 9
