a	NotreDame_De_Paris.txt 4774
aback	NotreDame_De_Paris.txt 1
abandon	NotreDame_De_Paris.txt 3
abandoned	NotreDame_De_Paris.txt 13
abandoning	NotreDame_De_Paris.txt 1
abandonment	NotreDame_De_Paris.txt 4
abandons	NotreDame_De_Paris.txt 1
abashed	NotreDame_De_Paris.txt 2
abb	NotreDame_De_Paris.txt 10
abbas	NotreDame_De_Paris.txt 3
abbatial	NotreDame_De_Paris.txt 1
abbe	NotreDame_De_Paris.txt 1
abbey	NotreDame_De_Paris.txt 19
abbeys	NotreDame_De_Paris.txt 4
abbot	NotreDame_De_Paris.txt 2
abbots	NotreDame_De_Paris.txt 2
abcesses	NotreDame_De_Paris.txt 1
abdication	NotreDame_De_Paris.txt 1
abduct	NotreDame_De_Paris.txt 1
abducted	NotreDame_De_Paris.txt 1
abducting	NotreDame_De_Paris.txt 1
abductor	NotreDame_De_Paris.txt 1
aberrations	NotreDame_De_Paris.txt 1
abeyance	NotreDame_De_Paris.txt 1
abhorred	NotreDame_De_Paris.txt 1
abide	NotreDame_De_Paris.txt 1
ability	NotreDame_De_Paris.txt 2
abject	NotreDame_De_Paris.txt 1
able	NotreDame_De_Paris.txt 21
abode	NotreDame_De_Paris.txt 1
aboie	NotreDame_De_Paris.txt 4
abominable	NotreDame_De_Paris.txt 4
abomination	NotreDame_De_Paris.txt 2
abortion	NotreDame_De_Paris.txt 1
abounded	NotreDame_De_Paris.txt 1
about	NotreDame_De_Paris.txt 182
above	NotreDame_De_Paris.txt 100
abraham	NotreDame_De_Paris.txt 2
abreast	NotreDame_De_Paris.txt 2
abri	NotreDame_De_Paris.txt 1
abroad	NotreDame_De_Paris.txt 2
abrogated	NotreDame_De_Paris.txt 2
abrupt	NotreDame_De_Paris.txt 8
abruptly	NotreDame_De_Paris.txt 30
absence	NotreDame_De_Paris.txt 5
absences	NotreDame_De_Paris.txt 1
absent	NotreDame_De_Paris.txt 3
absolute	NotreDame_De_Paris.txt 2
absolutely	NotreDame_De_Paris.txt 7
absorbed	NotreDame_De_Paris.txt 13
absorbing	NotreDame_De_Paris.txt 1
absorbs	NotreDame_De_Paris.txt 1
absorption	NotreDame_De_Paris.txt 1
abstain	NotreDame_De_Paris.txt 1
abstained	NotreDame_De_Paris.txt 1
abstracted	NotreDame_De_Paris.txt 1
abstraction	NotreDame_De_Paris.txt 1
absurd	NotreDame_De_Paris.txt 3
absurdities	NotreDame_De_Paris.txt 1
absurdus	NotreDame_De_Paris.txt 1
abuse	NotreDame_De_Paris.txt 3
abused	NotreDame_De_Paris.txt 1
abyss	NotreDame_De_Paris.txt 14
abysses	NotreDame_De_Paris.txt 2
academies	NotreDame_De_Paris.txt 2
academy	NotreDame_De_Paris.txt 1
acanthus	NotreDame_De_Paris.txt 3
accelerated	NotreDame_De_Paris.txt 1
accent	NotreDame_De_Paris.txt 15
accented	NotreDame_De_Paris.txt 1
accents	NotreDame_De_Paris.txt 4
accentuated	NotreDame_De_Paris.txt 1
accentuation	NotreDame_De_Paris.txt 1
accept	NotreDame_De_Paris.txt 2
accepted	NotreDame_De_Paris.txt 3
accepting	NotreDame_De_Paris.txt 1
access	NotreDame_De_Paris.txt 11
accessed	NotreDame_De_Paris.txt 1
accessible	NotreDame_De_Paris.txt 1
accident	NotreDame_De_Paris.txt 3
accidentally	NotreDame_De_Paris.txt 1
accidents	NotreDame_De_Paris.txt 2
acclaimed	NotreDame_De_Paris.txt 1
acclamation	NotreDame_De_Paris.txt 6
acclamations	NotreDame_De_Paris.txt 5
accompanied	NotreDame_De_Paris.txt 11
accompaniment	NotreDame_De_Paris.txt 2
accompaniments	NotreDame_De_Paris.txt 1
accomplices	NotreDame_De_Paris.txt 2
accomplish	NotreDame_De_Paris.txt 2
accomplished	NotreDame_De_Paris.txt 4
accomplishments	NotreDame_De_Paris.txt 1
accordance	NotreDame_De_Paris.txt 12
accorded	NotreDame_De_Paris.txt 1
according	NotreDame_De_Paris.txt 29
accordingly	NotreDame_De_Paris.txt 13
