b	NotreDame_De_Paris.txt 20
babblings	NotreDame_De_Paris.txt 1
babe	NotreDame_De_Paris.txt 2
babel	NotreDame_De_Paris.txt 4
babes	NotreDame_De_Paris.txt 1
baby	NotreDame_De_Paris.txt 1
babylon	NotreDame_De_Paris.txt 2
bacchanal	NotreDame_De_Paris.txt 2
bacchanalian	NotreDame_De_Paris.txt 1
bacchanals	NotreDame_De_Paris.txt 1
bacchante	NotreDame_De_Paris.txt 1
bacchic	NotreDame_De_Paris.txt 2
bachelor	NotreDame_De_Paris.txt 1
back	NotreDame_De_Paris.txt 124
backed	NotreDame_De_Paris.txt 4
background	NotreDame_De_Paris.txt 7
backgrounds	NotreDame_De_Paris.txt 1
backs	NotreDame_De_Paris.txt 3
backward	NotreDame_De_Paris.txt 4
backwards	NotreDame_De_Paris.txt 7
bacon	NotreDame_De_Paris.txt 2
bacqueville	NotreDame_De_Paris.txt 1
bad	NotreDame_De_Paris.txt 26
badly	NotreDame_De_Paris.txt 17
baeust	NotreDame_De_Paris.txt 1
bag	NotreDame_De_Paris.txt 10
bagauda	NotreDame_De_Paris.txt 1
baggage	NotreDame_De_Paris.txt 1
bah	NotreDame_De_Paris.txt 10
bailiff	NotreDame_De_Paris.txt 41
bailiffs	NotreDame_De_Paris.txt 4
bailiwick	NotreDame_De_Paris.txt 3
bailiwicks	NotreDame_De_Paris.txt 2
baillet	NotreDame_De_Paris.txt 1
baked	NotreDame_De_Paris.txt 1
bakehouse	NotreDame_De_Paris.txt 1
bakehouses	NotreDame_De_Paris.txt 1
baker	NotreDame_De_Paris.txt 4
bakery	NotreDame_De_Paris.txt 1
balance	NotreDame_De_Paris.txt 4
balanced	NotreDame_De_Paris.txt 1
balancing	NotreDame_De_Paris.txt 1
balcony	NotreDame_De_Paris.txt 19
bald	NotreDame_De_Paris.txt 13
baldrick	NotreDame_De_Paris.txt 1
bali	NotreDame_De_Paris.txt 1
baliffre	NotreDame_De_Paris.txt 1
balked	NotreDame_De_Paris.txt 1
ball	NotreDame_De_Paris.txt 3
ballad	NotreDame_De_Paris.txt 1
ballast	NotreDame_De_Paris.txt 1
ballestas	NotreDame_De_Paris.txt 1
ballet	NotreDame_De_Paris.txt 1
balloon	NotreDame_De_Paris.txt 1
balls	NotreDame_De_Paris.txt 3
balue	NotreDame_De_Paris.txt 4
balustrade	NotreDame_De_Paris.txt 25
balustrades	NotreDame_De_Paris.txt 3
band	NotreDame_De_Paris.txt 14
bandages	NotreDame_De_Paris.txt 1
banded	NotreDame_De_Paris.txt 2
banderas	NotreDame_De_Paris.txt 1
banderilleras	NotreDame_De_Paris.txt 1
bandit	NotreDame_De_Paris.txt 2
