d	NotreDame_De_Paris.txt 52
dactyl	NotreDame_De_Paris.txt 1
dados	NotreDame_De_Paris.txt 1
daedalus	NotreDame_De_Paris.txt 4
daemonum	NotreDame_De_Paris.txt 1
dagger	NotreDame_De_Paris.txt 11
daggers	NotreDame_De_Paris.txt 5
dagobert	NotreDame_De_Paris.txt 1
dahuille	NotreDame_De_Paris.txt 1
daily	NotreDame_De_Paris.txt 1
daim	NotreDame_De_Paris.txt 6
dainties	NotreDame_De_Paris.txt 1
daintiness	NotreDame_De_Paris.txt 2
dainty	NotreDame_De_Paris.txt 3
dais	NotreDame_De_Paris.txt 4
daisies	NotreDame_De_Paris.txt 1
daisy	NotreDame_De_Paris.txt 3
daiz	NotreDame_De_Paris.txt 1
dalmatics	NotreDame_De_Paris.txt 1
damage	NotreDame_De_Paris.txt 3
damaged	NotreDame_De_Paris.txt 1
damages	NotreDame_De_Paris.txt 5
damascened	NotreDame_De_Paris.txt 1
damask	NotreDame_De_Paris.txt 5
dame	NotreDame_De_Paris.txt 177
dames	NotreDame_De_Paris.txt 5
dammed	NotreDame_De_Paris.txt 1
damn	NotreDame_De_Paris.txt 1
damnable	NotreDame_De_Paris.txt 1
damnation	NotreDame_De_Paris.txt 5
damned	NotreDame_De_Paris.txt 8
damoiselle	NotreDame_De_Paris.txt 6
damoiselles	NotreDame_De_Paris.txt 2
damp	NotreDame_De_Paris.txt 2
dampmartin	NotreDame_De_Paris.txt 1
dampness	NotreDame_De_Paris.txt 2
damsel	NotreDame_De_Paris.txt 6
damsels	NotreDame_De_Paris.txt 9
dance	NotreDame_De_Paris.txt 15
danced	NotreDame_De_Paris.txt 5
dancer	NotreDame_De_Paris.txt 29
dances	NotreDame_De_Paris.txt 4
dancing	NotreDame_De_Paris.txt 14
dand	NotreDame_De_Paris.txt 1
danger	NotreDame_De_Paris.txt 5
dangers	NotreDame_De_Paris.txt 2
dangling	NotreDame_De_Paris.txt 2
dans	NotreDame_De_Paris.txt 1
dante	NotreDame_De_Paris.txt 5
dapifero	NotreDame_De_Paris.txt 1
dappled	NotreDame_De_Paris.txt 1
dare	NotreDame_De_Paris.txt 7
dared	NotreDame_De_Paris.txt 18
dares	NotreDame_De_Paris.txt 1
daring	NotreDame_De_Paris.txt 5
dark	NotreDame_De_Paris.txt 44
darkened	NotreDame_De_Paris.txt 1
darkest	NotreDame_De_Paris.txt 2
darkly	NotreDame_De_Paris.txt 1
darkness	NotreDame_De_Paris.txt 23
dart	NotreDame_De_Paris.txt 3
darted	NotreDame_De_Paris.txt 8
darting	NotreDame_De_Paris.txt 1
dash	NotreDame_De_Paris.txt 5
dashed	NotreDame_De_Paris.txt 8
dashes	NotreDame_De_Paris.txt 3
dashing	NotreDame_De_Paris.txt 1
data	NotreDame_De_Paris.txt 1
date	NotreDame_De_Paris.txt 10
dated	NotreDame_De_Paris.txt 2
dates	NotreDame_De_Paris.txt 1
dating	NotreDame_De_Paris.txt 2
datum	NotreDame_De_Paris.txt 1
daub	NotreDame_De_Paris.txt 1
daubed	NotreDame_De_Paris.txt 1
dauby	NotreDame_De_Paris.txt 1
daughter	NotreDame_De_Paris.txt 83
daughters	NotreDame_De_Paris.txt 2
daumesnil	NotreDame_De_Paris.txt 1
dauphin	NotreDame_De_Paris.txt 13
dauphine	NotreDame_De_Paris.txt 2
dauphiness	NotreDame_De_Paris.txt 2
dauphiny	NotreDame_De_Paris.txt 1
dauvet	NotreDame_De_Paris.txt 1
dawn	NotreDame_De_Paris.txt 3
dawning	NotreDame_De_Paris.txt 1
day	NotreDame_De_Paris.txt 249
daybreak	NotreDame_De_Paris.txt 4
daylight	NotreDame_De_Paris.txt 10
days	NotreDame_De_Paris.txt 45
dazed	NotreDame_De_Paris.txt 4
dazzled	NotreDame_De_Paris.txt 6
dazzlement	NotreDame_De_Paris.txt 1
dazzles	NotreDame_De_Paris.txt 1
dazzling	NotreDame_De_Paris.txt 15
de	NotreDame_De_Paris.txt 409
dea	NotreDame_De_Paris.txt 1
deacon	NotreDame_De_Paris.txt 2
deacons	NotreDame_De_Paris.txt 1
dead	NotreDame_De_Paris.txt 61
deaf	NotreDame_De_Paris.txt 76
deafen	NotreDame_De_Paris.txt 2
deafened	NotreDame_De_Paris.txt 1
deafening	NotreDame_De_Paris.txt 5
deafness	NotreDame_De_Paris.txt 6
deal	NotreDame_De_Paris.txt 21
dealer	NotreDame_De_Paris.txt 1
dealing	NotreDame_De_Paris.txt 1
dealings	NotreDame_De_Paris.txt 2
dealt	NotreDame_De_Paris.txt 7
deaneries	NotreDame_De_Paris.txt 1
deans	NotreDame_De_Paris.txt 1
dear	NotreDame_De_Paris.txt 41
dearly	NotreDame_De_Paris.txt 3
death	NotreDame_De_Paris.txt 65
deathblow	NotreDame_De_Paris.txt 1
debacchantis	NotreDame_De_Paris.txt 1
debacchatio	NotreDame_De_Paris.txt 1
debarcation	NotreDame_De_Paris.txt 1
debarring	NotreDame_De_Paris.txt 1
debasements	NotreDame_De_Paris.txt 1
debated	NotreDame_De_Paris.txt 1
debates	NotreDame_De_Paris.txt 1
debauch	NotreDame_De_Paris.txt 1
debauchees	NotreDame_De_Paris.txt 2
debauchery	NotreDame_De_Paris.txt 4
debet	NotreDame_De_Paris.txt 1
debou	NotreDame_De_Paris.txt 2
debouch	NotreDame_De_Paris.txt 1
debouched	NotreDame_De_Paris.txt 3
debt	NotreDame_De_Paris.txt 1
debtor	NotreDame_De_Paris.txt 1
debts	NotreDame_De_Paris.txt 1
decadence	NotreDame_De_Paris.txt 4
decantantur	NotreDame_De_Paris.txt 1
decapitate	NotreDame_De_Paris.txt 1
decay	NotreDame_De_Paris.txt 1
decayed	NotreDame_De_Paris.txt 1
decaying	NotreDame_De_Paris.txt 1
deceased	NotreDame_De_Paris.txt 1
deceive	NotreDame_De_Paris.txt 2
deceived	NotreDame_De_Paris.txt 3
december	NotreDame_De_Paris.txt 1
decent	NotreDame_De_Paris.txt 2
dechiraverunt	NotreDame_De_Paris.txt 1
decide	NotreDame_De_Paris.txt 3
decided	NotreDame_De_Paris.txt 6
decidedly	NotreDame_De_Paris.txt 5
decipher	NotreDame_De_Paris.txt 2
deciphering	NotreDame_De_Paris.txt 1
decision	NotreDame_De_Paris.txt 1
decisions	NotreDame_De_Paris.txt 1
decisive	NotreDame_De_Paris.txt 2
decked	NotreDame_De_Paris.txt 5
declaiming	NotreDame_De_Paris.txt 1
declaration	NotreDame_De_Paris.txt 3
declare	NotreDame_De_Paris.txt 1
declared	NotreDame_De_Paris.txt 2
declaremus	NotreDame_De_Paris.txt 1
declares	NotreDame_De_Paris.txt 1
declaring	NotreDame_De_Paris.txt 1
decline	NotreDame_De_Paris.txt 1
declining	NotreDame_De_Paris.txt 2
decorations	NotreDame_De_Paris.txt 1
decorously	NotreDame_De_Paris.txt 1
decree	NotreDame_De_Paris.txt 8
decrepit	NotreDame_De_Paris.txt 5
decretal	NotreDame_De_Paris.txt 1
decretalists	NotreDame_De_Paris.txt 1
decretals	NotreDame_De_Paris.txt 6
decretists	NotreDame_De_Paris.txt 1
deduced	NotreDame_De_Paris.txt 1
deductible	NotreDame_De_Paris.txt 1
deed	NotreDame_De_Paris.txt 5
deeds	NotreDame_De_Paris.txt 8
deem	NotreDame_De_Paris.txt 1
deemed	NotreDame_De_Paris.txt 1
deep	NotreDame_De_Paris.txt 28
deepen	NotreDame_De_Paris.txt 1
deeper	NotreDame_De_Paris.txt 9
deepest	NotreDame_De_Paris.txt 2
deeply	NotreDame_De_Paris.txt 15
deer	NotreDame_De_Paris.txt 3
defacing	NotreDame_De_Paris.txt 1
default	NotreDame_De_Paris.txt 1
defect	NotreDame_De_Paris.txt 6
defective	NotreDame_De_Paris.txt 4
defects	NotreDame_De_Paris.txt 2
defence	NotreDame_De_Paris.txt 3
defend	NotreDame_De_Paris.txt 3
defendant	NotreDame_De_Paris.txt 1
defended	NotreDame_De_Paris.txt 3
defending	NotreDame_De_Paris.txt 6
defensive	NotreDame_De_Paris.txt 2
defer	NotreDame_De_Paris.txt 1
defiance	NotreDame_De_Paris.txt 3
defiled	NotreDame_De_Paris.txt 1
defiling	NotreDame_De_Paris.txt 1
defined	NotreDame_De_Paris.txt 2
definite	NotreDame_De_Paris.txt 2
definiteness	NotreDame_De_Paris.txt 1
definitive	NotreDame_De_Paris.txt 3
deformed	NotreDame_De_Paris.txt 8
deformity	NotreDame_De_Paris.txt 10
defuit	NotreDame_De_Paris.txt 1
defunct	NotreDame_De_Paris.txt 1
degradations	NotreDame_De_Paris.txt 1
degree	NotreDame_De_Paris.txt 15
degrees	NotreDame_De_Paris.txt 6
deign	NotreDame_De_Paris.txt 1
deigned	NotreDame_De_Paris.txt 2
deigning	NotreDame_De_Paris.txt 1
dejection	NotreDame_De_Paris.txt 1
del	NotreDame_De_Paris.txt 1
deletions	NotreDame_De_Paris.txt 1
delicacies	NotreDame_De_Paris.txt 1
delicacy	NotreDame_De_Paris.txt 3
delicate	NotreDame_De_Paris.txt 24
delicately	NotreDame_De_Paris.txt 2
delicious	NotreDame_De_Paris.txt 1
delight	NotreDame_De_Paris.txt 5
delighted	NotreDame_De_Paris.txt 7
delightfully	NotreDame_De_Paris.txt 1
delinquencies	NotreDame_De_Paris.txt 1
delirious	NotreDame_De_Paris.txt 1
delirium	NotreDame_De_Paris.txt 3
deliriums	NotreDame_De_Paris.txt 1
deliver	NotreDame_De_Paris.txt 5
delivered	NotreDame_De_Paris.txt 8
deliverer	NotreDame_De_Paris.txt 1
delivering	NotreDame_De_Paris.txt 1
delorme	NotreDame_De_Paris.txt 1
deluding	NotreDame_De_Paris.txt 1
deluge	NotreDame_De_Paris.txt 2
demand	NotreDame_De_Paris.txt 3
demanded	NotreDame_De_Paris.txt 15
demanding	NotreDame_De_Paris.txt 1
demands	NotreDame_De_Paris.txt 2
demerits	NotreDame_De_Paris.txt 2
demi	NotreDame_De_Paris.txt 4
democracy	NotreDame_De_Paris.txt 1
demoiselle	NotreDame_De_Paris.txt 4
demoiselles	NotreDame_De_Paris.txt 1
demolish	NotreDame_De_Paris.txt 2
demolished	NotreDame_De_Paris.txt 4
demolishers	NotreDame_De_Paris.txt 1
demolishes	NotreDame_De_Paris.txt 1
demolishing	NotreDame_De_Paris.txt 1
demolition	NotreDame_De_Paris.txt 3
demolitions	NotreDame_De_Paris.txt 1
demon	NotreDame_De_Paris.txt 28
demoniac	NotreDame_De_Paris.txt 1
demons	NotreDame_De_Paris.txt 4
demonstrata	NotreDame_De_Paris.txt 1
demonstrated	NotreDame_De_Paris.txt 2
demonstrates	NotreDame_De_Paris.txt 1
demonstrating	NotreDame_De_Paris.txt 1
demonstrator	NotreDame_De_Paris.txt 1
den	NotreDame_De_Paris.txt 7
denarios	NotreDame_De_Paris.txt 1
denial	NotreDame_De_Paris.txt 2
denied	NotreDame_De_Paris.txt 2
deniers	NotreDame_De_Paris.txt 14
denis	NotreDame_De_Paris.txt 17
denounce	NotreDame_De_Paris.txt 1
denounced	NotreDame_De_Paris.txt 3
denouncing	NotreDame_De_Paris.txt 1
dense	NotreDame_De_Paris.txt 9
dentated	NotreDame_De_Paris.txt 1
denticulation	NotreDame_De_Paris.txt 1
denticulations	NotreDame_De_Paris.txt 1
dentro	NotreDame_De_Paris.txt 2
denuded	NotreDame_De_Paris.txt 1
denunciator	NotreDame_De_Paris.txt 1
deny	NotreDame_De_Paris.txt 8
denying	NotreDame_De_Paris.txt 2
depart	NotreDame_De_Paris.txt 3
departed	NotreDame_De_Paris.txt 7
departing	NotreDame_De_Paris.txt 2
departure	NotreDame_De_Paris.txt 6
depend	NotreDame_De_Paris.txt 1
depended	NotreDame_De_Paris.txt 2
dependency	NotreDame_De_Paris.txt 1
dependent	NotreDame_De_Paris.txt 1
depends	NotreDame_De_Paris.txt 3
depicted	NotreDame_De_Paris.txt 3
depicting	NotreDame_De_Paris.txt 1
depleted	NotreDame_De_Paris.txt 1
deplorable	NotreDame_De_Paris.txt 2
deposit	NotreDame_De_Paris.txt 2
deposited	NotreDame_De_Paris.txt 9
depositing	NotreDame_De_Paris.txt 1
deposition	NotreDame_De_Paris.txt 2
deposits	NotreDame_De_Paris.txt 1
