h	NotreDame_De_Paris.txt 75
ha	NotreDame_De_Paris.txt 2
habendi	NotreDame_De_Paris.txt 1
habere	NotreDame_De_Paris.txt 1
habet	NotreDame_De_Paris.txt 3
habill	NotreDame_De_Paris.txt 1
habit	NotreDame_De_Paris.txt 8
habitat	NotreDame_De_Paris.txt 1
habitation	NotreDame_De_Paris.txt 1
habitations	NotreDame_De_Paris.txt 2
habits	NotreDame_De_Paris.txt 1
habitual	NotreDame_De_Paris.txt 4
habitually	NotreDame_De_Paris.txt 2
habituated	NotreDame_De_Paris.txt 2
hac	NotreDame_De_Paris.txt 1
hackbut	NotreDame_De_Paris.txt 1
hackbuteers	NotreDame_De_Paris.txt 1
hackbuts	NotreDame_De_Paris.txt 2
had	NotreDame_De_Paris.txt 1422
hadst	NotreDame_De_Paris.txt 2
hag	NotreDame_De_Paris.txt 4
hage	NotreDame_De_Paris.txt 1
haggard	NotreDame_De_Paris.txt 7
hags	NotreDame_De_Paris.txt 2
hah	NotreDame_De_Paris.txt 7
hail	NotreDame_De_Paris.txt 5
hailstones	NotreDame_De_Paris.txt 1
hair	NotreDame_De_Paris.txt 53
haired	NotreDame_De_Paris.txt 5
hairs	NotreDame_De_Paris.txt 4
hairy	NotreDame_De_Paris.txt 3
halberdiers	NotreDame_De_Paris.txt 1
halberds	NotreDame_De_Paris.txt 5
half	NotreDame_De_Paris.txt 83
hall	NotreDame_De_Paris.txt 54
hallaron	NotreDame_De_Paris.txt 1
halles	NotreDame_De_Paris.txt 5
hallowed	NotreDame_De_Paris.txt 1
halls	NotreDame_De_Paris.txt 1
hallucination	NotreDame_De_Paris.txt 2
halt	NotreDame_De_Paris.txt 11
halted	NotreDame_De_Paris.txt 31
halter	NotreDame_De_Paris.txt 2
halting	NotreDame_De_Paris.txt 3
halves	NotreDame_De_Paris.txt 1
hamlet	NotreDame_De_Paris.txt 1
hammer	NotreDame_De_Paris.txt 7
hammers	NotreDame_De_Paris.txt 2
hammocks	NotreDame_De_Paris.txt 1
hancy	NotreDame_De_Paris.txt 1
hand	NotreDame_De_Paris.txt 162
handcuffs	NotreDame_De_Paris.txt 1
handed	NotreDame_De_Paris.txt 4
handful	NotreDame_De_Paris.txt 4
handfuls	NotreDame_De_Paris.txt 2
handing	NotreDame_De_Paris.txt 1
handkerchief	NotreDame_De_Paris.txt 1
handkerchiefs	NotreDame_De_Paris.txt 1
handle	NotreDame_De_Paris.txt 5
handled	NotreDame_De_Paris.txt 1
handles	NotreDame_De_Paris.txt 3
handling	NotreDame_De_Paris.txt 1
hands	NotreDame_De_Paris.txt 142
handsome	NotreDame_De_Paris.txt 46
handsomer	NotreDame_De_Paris.txt 2
handsomest	NotreDame_De_Paris.txt 2
handwriting	NotreDame_De_Paris.txt 1
hang	NotreDame_De_Paris.txt 28
hanged	NotreDame_De_Paris.txt 30
hangest	NotreDame_De_Paris.txt 1
hanging	NotreDame_De_Paris.txt 16
hangings	NotreDame_De_Paris.txt 3
hangman	NotreDame_De_Paris.txt 6
hangs	NotreDame_De_Paris.txt 2
hapgood	NotreDame_De_Paris.txt 2
haphazard	NotreDame_De_Paris.txt 4
happen	NotreDame_De_Paris.txt 4
happened	NotreDame_De_Paris.txt 7
happens	NotreDame_De_Paris.txt 3
happiest	NotreDame_De_Paris.txt 1
happily	NotreDame_De_Paris.txt 3
happiness	NotreDame_De_Paris.txt 8
happy	NotreDame_De_Paris.txt 31
haps	NotreDame_De_Paris.txt 1
harancourt	NotreDame_De_Paris.txt 1
harangue	NotreDame_De_Paris.txt 7
harangued	NotreDame_De_Paris.txt 2
haranguing	NotreDame_De_Paris.txt 1
harcourt	NotreDame_De_Paris.txt 1
hard	NotreDame_De_Paris.txt 18
harden	NotreDame_De_Paris.txt 1
hardened	NotreDame_De_Paris.txt 2
harder	NotreDame_De_Paris.txt 2
hardest	NotreDame_De_Paris.txt 1
hardily	NotreDame_De_Paris.txt 2
hardly	NotreDame_De_Paris.txt 37
hardness	NotreDame_De_Paris.txt 1
hares	NotreDame_De_Paris.txt 1
harfleur	NotreDame_De_Paris.txt 1
hark	NotreDame_De_Paris.txt 1
harlay	NotreDame_De_Paris.txt 1
harm	NotreDame_De_Paris.txt 11
harmless	NotreDame_De_Paris.txt 1
harmonies	NotreDame_De_Paris.txt 2
harmonious	NotreDame_De_Paris.txt 5
harmony	NotreDame_De_Paris.txt 9
harness	NotreDame_De_Paris.txt 2
harnessed	NotreDame_De_Paris.txt 2
harnesses	NotreDame_De_Paris.txt 1
harpe	NotreDame_De_Paris.txt 3
harsh	NotreDame_De_Paris.txt 10
harshest	NotreDame_De_Paris.txt 1
harshness	NotreDame_De_Paris.txt 1
hart	NotreDame_De_Paris.txt 3
harvest	NotreDame_De_Paris.txt 2
harvester	NotreDame_De_Paris.txt 1
has	NotreDame_De_Paris.txt 296
hasn	NotreDame_De_Paris.txt 1
hast	NotreDame_De_Paris.txt 4
haste	NotreDame_De_Paris.txt 17
hasten	NotreDame_De_Paris.txt 3
hastened	NotreDame_De_Paris.txt 9
hastening	NotreDame_De_Paris.txt 1
hastily	NotreDame_De_Paris.txt 10
hasty	NotreDame_De_Paris.txt 2
hat	NotreDame_De_Paris.txt 14
hate	NotreDame_De_Paris.txt 13
hated	NotreDame_De_Paris.txt 6
hateful	NotreDame_De_Paris.txt 1
