i	NotreDame_De_Paris.txt 1376
ice	NotreDame_De_Paris.txt 10
iconoclasts	NotreDame_De_Paris.txt 1
icy	NotreDame_De_Paris.txt 3
id	NotreDame_De_Paris.txt 1
idea	NotreDame_De_Paris.txt 69
ideal	NotreDame_De_Paris.txt 4
ideas	NotreDame_De_Paris.txt 23
idem	NotreDame_De_Paris.txt 1
identification	NotreDame_De_Paris.txt 1
identified	NotreDame_De_Paris.txt 1
identify	NotreDame_De_Paris.txt 2
ideo	NotreDame_De_Paris.txt 1
idiot	NotreDame_De_Paris.txt 2
idiotic	NotreDame_De_Paris.txt 4
idle	NotreDame_De_Paris.txt 2
idleness	NotreDame_De_Paris.txt 1
idolater	NotreDame_De_Paris.txt 1
idolaters	NotreDame_De_Paris.txt 1
idolized	NotreDame_De_Paris.txt 1
idols	NotreDame_De_Paris.txt 1
if	NotreDame_De_Paris.txt 248
ignited	NotreDame_De_Paris.txt 1
ignoble	NotreDame_De_Paris.txt 1
ignominious	NotreDame_De_Paris.txt 1
ignominy	NotreDame_De_Paris.txt 1
ignoramus	NotreDame_De_Paris.txt 1
ignorance	NotreDame_De_Paris.txt 4
ignorant	NotreDame_De_Paris.txt 7
ii	NotreDame_De_Paris.txt 28
iii	NotreDame_De_Paris.txt 21
il	NotreDame_De_Paris.txt 4
ile	NotreDame_De_Paris.txt 4
iliad	NotreDame_De_Paris.txt 3
iliads	NotreDame_De_Paris.txt 3
ill	NotreDame_De_Paris.txt 22
illa	NotreDame_De_Paris.txt 1
illitteratus	NotreDame_De_Paris.txt 1
illness	NotreDame_De_Paris.txt 1
illuminated	NotreDame_De_Paris.txt 16
illumination	NotreDame_De_Paris.txt 1
illuminations	NotreDame_De_Paris.txt 1
illusion	NotreDame_De_Paris.txt 4
illusions	NotreDame_De_Paris.txt 5
illustrations	NotreDame_De_Paris.txt 1
illustrious	NotreDame_De_Paris.txt 8
im	NotreDame_De_Paris.txt 1
image	NotreDame_De_Paris.txt 11
images	NotreDame_De_Paris.txt 6
imaginary	NotreDame_De_Paris.txt 2
imagination	NotreDame_De_Paris.txt 11
imaginations	NotreDame_De_Paris.txt 2
imagine	NotreDame_De_Paris.txt 13
imagined	NotreDame_De_Paris.txt 7
imagining	NotreDame_De_Paris.txt 2
imaginings	NotreDame_De_Paris.txt 1
imbecile	NotreDame_De_Paris.txt 4
