s	NotreDame_De_Paris.txt 681
sa	NotreDame_De_Paris.txt 1
sabbath	NotreDame_De_Paris.txt 12
sabbaths	NotreDame_De_Paris.txt 1
sables	NotreDame_De_Paris.txt 1
sabnac	NotreDame_De_Paris.txt 1
sacerdotal	NotreDame_De_Paris.txt 4
sacerdotalism	NotreDame_De_Paris.txt 1
sachette	NotreDame_De_Paris.txt 2
sack	NotreDame_De_Paris.txt 20
sacked	NotreDame_De_Paris.txt 10
sacks	NotreDame_De_Paris.txt 1
sacred	NotreDame_De_Paris.txt 14
sacrifice	NotreDame_De_Paris.txt 3
sacrifices	NotreDame_De_Paris.txt 1
sacrilege	NotreDame_De_Paris.txt 2
sacristan	NotreDame_De_Paris.txt 1
sacristries	NotreDame_De_Paris.txt 1
sacristy	NotreDame_De_Paris.txt 2
sad	NotreDame_De_Paris.txt 18
saddened	NotreDame_De_Paris.txt 1
saddle	NotreDame_De_Paris.txt 6
sadly	NotreDame_De_Paris.txt 12
sadness	NotreDame_De_Paris.txt 7
safe	NotreDame_De_Paris.txt 4
safeguard	NotreDame_De_Paris.txt 1
safekeeping	NotreDame_De_Paris.txt 2
safer	NotreDame_De_Paris.txt 1
safety	NotreDame_De_Paris.txt 5
sagacious	NotreDame_De_Paris.txt 3
sagacity	NotreDame_De_Paris.txt 1
sage	NotreDame_De_Paris.txt 3
sages	NotreDame_De_Paris.txt 1
said	NotreDame_De_Paris.txt 720
saillarde	NotreDame_De_Paris.txt 1
saint	NotreDame_De_Paris.txt 215
sainte	NotreDame_De_Paris.txt 38
saints	NotreDame_De_Paris.txt 9
saisina	NotreDame_De_Paris.txt 1
saith	NotreDame_De_Paris.txt 7
sake	NotreDame_De_Paris.txt 18
salamander	NotreDame_De_Paris.txt 2
salamanders	NotreDame_De_Paris.txt 1
salaries	NotreDame_De_Paris.txt 1
salary	NotreDame_De_Paris.txt 3
salic	NotreDame_De_Paris.txt 1
salient	NotreDame_De_Paris.txt 2
sally	NotreDame_De_Paris.txt 1
salmon	NotreDame_De_Paris.txt 1
salons	NotreDame_De_Paris.txt 1
salsify	NotreDame_De_Paris.txt 1
salt	NotreDame_De_Paris.txt 3
salts	NotreDame_De_Paris.txt 1
salus	NotreDame_De_Paris.txt 1
salutations	NotreDame_De_Paris.txt 1
salute	NotreDame_De_Paris.txt 2
saluted	NotreDame_De_Paris.txt 8
saluting	NotreDame_De_Paris.txt 1
salva	NotreDame_De_Paris.txt 1
salvation	NotreDame_De_Paris.txt 1
salvator	NotreDame_De_Paris.txt 1
salve	NotreDame_De_Paris.txt 2
salvien	NotreDame_De_Paris.txt 1
salvum	NotreDame_De_Paris.txt 2
samaritan	NotreDame_De_Paris.txt 1
same	NotreDame_De_Paris.txt 134
samuel	NotreDame_De_Paris.txt 1
sancti	NotreDame_De_Paris.txt 1
sanctity	NotreDame_De_Paris.txt 2
sanctoe	NotreDame_De_Paris.txt 1
sanctuaries	NotreDame_De_Paris.txt 1
sanctuary	NotreDame_De_Paris.txt 19
sanctus	NotreDame_De_Paris.txt 1
sand	NotreDame_De_Paris.txt 2
sandal	NotreDame_De_Paris.txt 1
sandstone	NotreDame_De_Paris.txt 1
sang	NotreDame_De_Paris.txt 11
sanguin	NotreDame_De_Paris.txt 1
sanguine	NotreDame_De_Paris.txt 1
sank	NotreDame_De_Paris.txt 10
sans	NotreDame_De_Paris.txt 2
saouls	NotreDame_De_Paris.txt 3
sap	NotreDame_De_Paris.txt 6
sapere	NotreDame_De_Paris.txt 1
sapientes	NotreDame_De_Paris.txt 1
sapin	NotreDame_De_Paris.txt 1
sapping	NotreDame_De_Paris.txt 1
sarabands	NotreDame_De_Paris.txt 1
saracen	NotreDame_De_Paris.txt 2
saracens	NotreDame_De_Paris.txt 1
sarcasm	NotreDame_De_Paris.txt 1
sarcasms	NotreDame_De_Paris.txt 2
sarcophagus	NotreDame_De_Paris.txt 1
sardonic	NotreDame_De_Paris.txt 1
sardonical	NotreDame_De_Paris.txt 1
sash	NotreDame_De_Paris.txt 1
sat	NotreDame_De_Paris.txt 9
satan	NotreDame_De_Paris.txt 8
satanic	NotreDame_De_Paris.txt 1
satans	NotreDame_De_Paris.txt 1
satiated	NotreDame_De_Paris.txt 1
satin	NotreDame_De_Paris.txt 5
satire	NotreDame_De_Paris.txt 2
satis	NotreDame_De_Paris.txt 1
satisfaction	NotreDame_De_Paris.txt 5
satisfactory	NotreDame_De_Paris.txt 1
satisfied	NotreDame_De_Paris.txt 5
satisfy	NotreDame_De_Paris.txt 2
saturated	NotreDame_De_Paris.txt 1
saturday	NotreDame_De_Paris.txt 3
saturn	NotreDame_De_Paris.txt 1
saturnalia	NotreDame_De_Paris.txt 1
saturnalitias	NotreDame_De_Paris.txt 1
sauce	NotreDame_De_Paris.txt 1
saucy	NotreDame_De_Paris.txt 1
sauntering	NotreDame_De_Paris.txt 1
sauval	NotreDame_De_Paris.txt 5
sauvel	NotreDame_De_Paris.txt 1
sauveur	NotreDame_De_Paris.txt 1
savage	NotreDame_De_Paris.txt 11
savagely	NotreDame_De_Paris.txt 2
savages	NotreDame_De_Paris.txt 1
savant	NotreDame_De_Paris.txt 2
savaterie	NotreDame_De_Paris.txt 2
save	NotreDame_De_Paris.txt 28
saved	NotreDame_De_Paris.txt 22
saves	NotreDame_De_Paris.txt 1
saving	NotreDame_De_Paris.txt 6
saviour	NotreDame_De_Paris.txt 2
savory	NotreDame_De_Paris.txt 1
savoy	NotreDame_De_Paris.txt 3
saw	NotreDame_De_Paris.txt 83
sawed	NotreDame_De_Paris.txt 1
sawing	NotreDame_De_Paris.txt 1
sawn	NotreDame_De_Paris.txt 1
saws	NotreDame_De_Paris.txt 1
saxon	NotreDame_De_Paris.txt 6
say	NotreDame_De_Paris.txt 141
saying	NotreDame_De_Paris.txt 46
says	NotreDame_De_Paris.txt 28
scabbard	NotreDame_De_Paris.txt 1
scabby	NotreDame_De_Paris.txt 1
scaffold	NotreDame_De_Paris.txt 4
scaffolding	NotreDame_De_Paris.txt 3
scaffoldings	NotreDame_De_Paris.txt 2
scale	NotreDame_De_Paris.txt 5
scaled	NotreDame_De_Paris.txt 2
scales	NotreDame_De_Paris.txt 7
scamp	NotreDame_De_Paris.txt 8
scamps	NotreDame_De_Paris.txt 4
scandal	NotreDame_De_Paris.txt 1
scandalized	NotreDame_De_Paris.txt 2
scandalo	NotreDame_De_Paris.txt 1
scandals	NotreDame_De_Paris.txt 1
scantily	NotreDame_De_Paris.txt 1
scanty	NotreDame_De_Paris.txt 1
scapegrace	NotreDame_De_Paris.txt 1
scar	NotreDame_De_Paris.txt 2
scarecrow	NotreDame_De_Paris.txt 1
scarf	NotreDame_De_Paris.txt 1
scarfs	NotreDame_De_Paris.txt 2
scarlet	NotreDame_De_Paris.txt 12
scatter	NotreDame_De_Paris.txt 2
scattered	NotreDame_De_Paris.txt 20
scattering	NotreDame_De_Paris.txt 1
scatters	NotreDame_De_Paris.txt 2
scavengers	NotreDame_De_Paris.txt 1
scene	NotreDame_De_Paris.txt 22
scenes	NotreDame_De_Paris.txt 4
sceptic	NotreDame_De_Paris.txt 1
sceptical	NotreDame_De_Paris.txt 2
sceptics	NotreDame_De_Paris.txt 1
scharnachtal	NotreDame_De_Paris.txt 1
scheme	NotreDame_De_Paris.txt 1
schism	NotreDame_De_Paris.txt 2
scholar	NotreDame_De_Paris.txt 55
scholars	NotreDame_De_Paris.txt 17
scholastic	NotreDame_De_Paris.txt 2
scholastics	NotreDame_De_Paris.txt 1
school	NotreDame_De_Paris.txt 10
schoolboys	NotreDame_De_Paris.txt 1
schoolmaster	NotreDame_De_Paris.txt 1
schools	NotreDame_De_Paris.txt 3
scie	NotreDame_De_Paris.txt 1
science	NotreDame_De_Paris.txt 36
sciences	NotreDame_De_Paris.txt 2
scientific	NotreDame_De_Paris.txt 1
scilicet	NotreDame_De_Paris.txt 1
scoff	NotreDame_De_Paris.txt 1
scoffing	NotreDame_De_Paris.txt 2
scoffs	NotreDame_De_Paris.txt 1
scold	NotreDame_De_Paris.txt 1
scolded	NotreDame_De_Paris.txt 1
scolding	NotreDame_De_Paris.txt 3
score	NotreDame_De_Paris.txt 11
scores	NotreDame_De_Paris.txt 1
scorn	NotreDame_De_Paris.txt 2
scorpions	NotreDame_De_Paris.txt 1
scotch	NotreDame_De_Paris.txt 2
scourable	NotreDame_De_Paris.txt 1
scourging	NotreDame_De_Paris.txt 1
scowl	NotreDame_De_Paris.txt 1
scowled	NotreDame_De_Paris.txt 1
scowling	NotreDame_De_Paris.txt 2
scrambled	NotreDame_De_Paris.txt 1
scraped	NotreDame_De_Paris.txt 3
scrapes	NotreDame_De_Paris.txt 1
scraping	NotreDame_De_Paris.txt 2
scraps	NotreDame_De_Paris.txt 2
scratch	NotreDame_De_Paris.txt 3
scratched	NotreDame_De_Paris.txt 5
scratching	NotreDame_De_Paris.txt 5
scrawled	NotreDame_De_Paris.txt 1
scream	NotreDame_De_Paris.txt 1
screamed	NotreDame_De_Paris.txt 1
screaming	NotreDame_De_Paris.txt 2
screech	NotreDame_De_Paris.txt 5
screen	NotreDame_De_Paris.txt 1
screens	NotreDame_De_Paris.txt 1
screw	NotreDame_De_Paris.txt 2
screwed	NotreDame_De_Paris.txt 1
scribbler	NotreDame_De_Paris.txt 1
scribbling	NotreDame_De_Paris.txt 2
scribes	NotreDame_De_Paris.txt 3
scroll	NotreDame_De_Paris.txt 1
scrutinize	NotreDame_De_Paris.txt 1
scrutinized	NotreDame_De_Paris.txt 1
scrutinizing	NotreDame_De_Paris.txt 3
scullions	NotreDame_De_Paris.txt 1
sculptor	NotreDame_De_Paris.txt 2
sculpture	NotreDame_De_Paris.txt 14
sculptured	NotreDame_De_Paris.txt 9
sculptures	NotreDame_De_Paris.txt 7
scutum	NotreDame_De_Paris.txt 1
scylla	NotreDame_De_Paris.txt 3
scythe	NotreDame_De_Paris.txt 2
scythes	NotreDame_De_Paris.txt 3
se	NotreDame_De_Paris.txt 2
sea	NotreDame_De_Paris.txt 16
seal	NotreDame_De_Paris.txt 2
sealed	NotreDame_De_Paris.txt 3
seals	NotreDame_De_Paris.txt 6
search	NotreDame_De_Paris.txt 24
searched	NotreDame_De_Paris.txt 4
searching	NotreDame_De_Paris.txt 4
