t	NotreDame_De_Paris.txt 61
ta	NotreDame_De_Paris.txt 1
tabernacle	NotreDame_De_Paris.txt 1
tabernacles	NotreDame_De_Paris.txt 1
table	NotreDame_De_Paris.txt 56
tables	NotreDame_De_Paris.txt 11
taciturn	NotreDame_De_Paris.txt 1
tack	NotreDame_De_Paris.txt 1
tail	NotreDame_De_Paris.txt 12
take	NotreDame_De_Paris.txt 114
taken	NotreDame_De_Paris.txt 54
takes	NotreDame_De_Paris.txt 11
taketh	NotreDame_De_Paris.txt 1
taking	NotreDame_De_Paris.txt 28
tale	NotreDame_De_Paris.txt 6
talent	NotreDame_De_Paris.txt 1
talk	NotreDame_De_Paris.txt 12
talked	NotreDame_De_Paris.txt 7
talking	NotreDame_De_Paris.txt 11
talks	NotreDame_De_Paris.txt 3
tall	NotreDame_De_Paris.txt 8
taller	NotreDame_De_Paris.txt 1
tallow	NotreDame_De_Paris.txt 3
talon	NotreDame_De_Paris.txt 1
talons	NotreDame_De_Paris.txt 2
tambourine	NotreDame_De_Paris.txt 24
tambourines	NotreDame_De_Paris.txt 2
tamed	NotreDame_De_Paris.txt 1
tamen	NotreDame_De_Paris.txt 2
tan	NotreDame_De_Paris.txt 3
tancarville	NotreDame_De_Paris.txt 1
tangled	NotreDame_De_Paris.txt 2
tannerie	NotreDame_De_Paris.txt 1
tanners	NotreDame_De_Paris.txt 1
tantalus	NotreDame_De_Paris.txt 1
tantrums	NotreDame_De_Paris.txt 1
tap	NotreDame_De_Paris.txt 1
tapering	NotreDame_De_Paris.txt 1
tapestried	NotreDame_De_Paris.txt 1
tapestries	NotreDame_De_Paris.txt 5
tapestry	NotreDame_De_Paris.txt 11
tapping	NotreDame_De_Paris.txt 1
taps	NotreDame_De_Paris.txt 1
tarascon	NotreDame_De_Paris.txt 1
tarasques	NotreDame_De_Paris.txt 1
tardy	NotreDame_De_Paris.txt 1
tares	NotreDame_De_Paris.txt 1
targe	NotreDame_De_Paris.txt 1
targes	NotreDame_De_Paris.txt 3
target	NotreDame_De_Paris.txt 2
tarme	NotreDame_De_Paris.txt 3
tarnish	NotreDame_De_Paris.txt 1
tarnished	NotreDame_De_Paris.txt 1
tartarus	NotreDame_De_Paris.txt 3
tartary	NotreDame_De_Paris.txt 1
task	NotreDame_De_Paris.txt 5
tassin	NotreDame_De_Paris.txt 1
taste	NotreDame_De_Paris.txt 18
tasted	NotreDame_De_Paris.txt 2
tastefully	NotreDame_De_Paris.txt 1
tastes	NotreDame_De_Paris.txt 2
tasting	NotreDame_De_Paris.txt 2
tattered	NotreDame_De_Paris.txt 1
tatters	NotreDame_De_Paris.txt 5
tattle	NotreDame_De_Paris.txt 1
tattooed	NotreDame_De_Paris.txt 1
taught	NotreDame_De_Paris.txt 5
taurinum	NotreDame_De_Paris.txt 1
tavern	NotreDame_De_Paris.txt 14
taverns	NotreDame_De_Paris.txt 2
tawers	NotreDame_De_Paris.txt 1
tawny	NotreDame_De_Paris.txt 2
taws	NotreDame_De_Paris.txt 1
tax	NotreDame_De_Paris.txt 8
taxes	NotreDame_De_Paris.txt 5
te	NotreDame_De_Paris.txt 18
teach	NotreDame_De_Paris.txt 6
teacher	NotreDame_De_Paris.txt 1
