v	NotreDame_De_Paris.txt 27
vacant	NotreDame_De_Paris.txt 4
vaches	NotreDame_De_Paris.txt 3
vachettes	NotreDame_De_Paris.txt 1
vacillating	NotreDame_De_Paris.txt 1
vacuum	NotreDame_De_Paris.txt 1
vagabond	NotreDame_De_Paris.txt 28
vagabondage	NotreDame_De_Paris.txt 1
vagabonds	NotreDame_De_Paris.txt 37
vagaries	NotreDame_De_Paris.txt 1
vagrant	NotreDame_De_Paris.txt 1
vague	NotreDame_De_Paris.txt 15
vaguely	NotreDame_De_Paris.txt 7
vah	NotreDame_De_Paris.txt 1
vain	NotreDame_De_Paris.txt 14
vainest	NotreDame_De_Paris.txt 1
vainly	NotreDame_De_Paris.txt 1
val	NotreDame_De_Paris.txt 6
valence	NotreDame_De_Paris.txt 1
valet	NotreDame_De_Paris.txt 4
valets	NotreDame_De_Paris.txt 1
valiant	NotreDame_De_Paris.txt 3
valiantly	NotreDame_De_Paris.txt 1
valleret	NotreDame_De_Paris.txt 1
vallier	NotreDame_De_Paris.txt 1
valmont	NotreDame_De_Paris.txt 1
valogne	NotreDame_De_Paris.txt 1
valor	NotreDame_De_Paris.txt 1
value	NotreDame_De_Paris.txt 3
vampire	NotreDame_De_Paris.txt 4
vampires	NotreDame_De_Paris.txt 3
van	NotreDame_De_Paris.txt 1
vandal	NotreDame_De_Paris.txt 1
vandalism	NotreDame_De_Paris.txt 1
vandals	NotreDame_De_Paris.txt 2
vane	NotreDame_De_Paris.txt 1
vanes	NotreDame_De_Paris.txt 1
vanilla	NotreDame_De_Paris.txt 2
vanish	NotreDame_De_Paris.txt 1
vanished	NotreDame_De_Paris.txt 5
vanishing	NotreDame_De_Paris.txt 3
vanities	NotreDame_De_Paris.txt 2
vanity	NotreDame_De_Paris.txt 4
vanquished	NotreDame_De_Paris.txt 1
vantes	NotreDame_De_Paris.txt 1
vanvre	NotreDame_De_Paris.txt 2
vanvres	NotreDame_De_Paris.txt 1
vapor	NotreDame_De_Paris.txt 2
vapors	NotreDame_De_Paris.txt 4
variable	NotreDame_De_Paris.txt 1
varied	NotreDame_De_Paris.txt 5
variegated	NotreDame_De_Paris.txt 1
varieties	NotreDame_De_Paris.txt 1
variety	NotreDame_De_Paris.txt 7
various	NotreDame_De_Paris.txt 2
variously	NotreDame_De_Paris.txt 1
varlet	NotreDame_De_Paris.txt 1
vas	NotreDame_De_Paris.txt 1
vase	NotreDame_De_Paris.txt 3
vases	NotreDame_De_Paris.txt 2
vassal	NotreDame_De_Paris.txt 4
vassals	NotreDame_De_Paris.txt 4
vast	NotreDame_De_Paris.txt 31
vat	NotreDame_De_Paris.txt 1
vatican	NotreDame_De_Paris.txt 1
vaugirarde	NotreDame_De_Paris.txt 1
vault	NotreDame_De_Paris.txt 20
vaulted	NotreDame_De_Paris.txt 7
vaults	NotreDame_De_Paris.txt 6
vauvert	NotreDame_De_Paris.txt 1
ve	NotreDame_De_Paris.txt 79
veaux	NotreDame_De_Paris.txt 1
vedas	NotreDame_De_Paris.txt 1
vegetable	NotreDame_De_Paris.txt 1
vegetating	NotreDame_De_Paris.txt 1
vegetation	NotreDame_De_Paris.txt 3
vehemence	NotreDame_De_Paris.txt 2
vehement	NotreDame_De_Paris.txt 1
veil	NotreDame_De_Paris.txt 6
veiled	NotreDame_De_Paris.txt 4
veins	NotreDame_De_Paris.txt 4
vel	NotreDame_De_Paris.txt 1
vellum	NotreDame_De_Paris.txt 1
velocity	NotreDame_De_Paris.txt 1
velvet	NotreDame_De_Paris.txt 16
venantius	NotreDame_De_Paris.txt 1
venders	NotreDame_De_Paris.txt 1
vendidi	NotreDame_De_Paris.txt 1
vendome	NotreDame_De_Paris.txt 1
vendregesile	NotreDame_De_Paris.txt 1
venerable	NotreDame_De_Paris.txt 12
venerated	NotreDame_De_Paris.txt 1
veneration	NotreDame_De_Paris.txt 1
vengeance	NotreDame_De_Paris.txt 4
vengeances	NotreDame_De_Paris.txt 1
venice	NotreDame_De_Paris.txt 3
venin	NotreDame_De_Paris.txt 1
venit	NotreDame_De_Paris.txt 1
venomous	NotreDame_De_Paris.txt 1
vent	NotreDame_De_Paris.txt 8
venting	NotreDame_De_Paris.txt 1
ventre	NotreDame_De_Paris.txt 8
venture	NotreDame_De_Paris.txt 2
ventured	NotreDame_De_Paris.txt 6
venturing	NotreDame_De_Paris.txt 1
venus	NotreDame_De_Paris.txt 7
vera	NotreDame_De_Paris.txt 1
veracious	NotreDame_De_Paris.txt 1
veramente	NotreDame_De_Paris.txt 1
verba	NotreDame_De_Paris.txt 1
verberare	NotreDame_De_Paris.txt 1
verbum	NotreDame_De_Paris.txt 1
verdelet	NotreDame_De_Paris.txt 1
verdun	NotreDame_De_Paris.txt 3
verdure	NotreDame_De_Paris.txt 2
verge	NotreDame_De_Paris.txt 2
verified	NotreDame_De_Paris.txt 1
verily	NotreDame_De_Paris.txt 1
verin	NotreDame_De_Paris.txt 1
veritable	NotreDame_De_Paris.txt 8
vermicelli	NotreDame_De_Paris.txt 2
vernacular	NotreDame_De_Paris.txt 1
vero	NotreDame_De_Paris.txt 1
verra	NotreDame_De_Paris.txt 1
verrerie	NotreDame_De_Paris.txt 2
versa	NotreDame_De_Paris.txt 1
verse	NotreDame_De_Paris.txt 5
verses	NotreDame_De_Paris.txt 4
version	NotreDame_De_Paris.txt 1
vertebrae	NotreDame_De_Paris.txt 1
vertical	NotreDame_De_Paris.txt 3
vertically	NotreDame_De_Paris.txt 1
vertigo	NotreDame_De_Paris.txt 3
verum	NotreDame_De_Paris.txt 1
very	NotreDame_De_Paris.txt 338
vesle	NotreDame_De_Paris.txt 4
vesper	NotreDame_De_Paris.txt 1
vespers	NotreDame_De_Paris.txt 4
vessel	NotreDame_De_Paris.txt 8
vestem	NotreDame_De_Paris.txt 1
vestibule	NotreDame_De_Paris.txt 3
vestige	NotreDame_De_Paris.txt 1
vestiges	NotreDame_De_Paris.txt 2
vestment	NotreDame_De_Paris.txt 1
vestry	NotreDame_De_Paris.txt 1
vesture	NotreDame_De_Paris.txt 1
vetustate	NotreDame_De_Paris.txt 1
vexatious	NotreDame_De_Paris.txt 1
vexed	NotreDame_De_Paris.txt 1
vexes	NotreDame_De_Paris.txt 1
vi	NotreDame_De_Paris.txt 21
via	NotreDame_De_Paris.txt 1
viands	NotreDame_De_Paris.txt 1
viaria	NotreDame_De_Paris.txt 1
vibrated	NotreDame_De_Paris.txt 2
vibrates	NotreDame_De_Paris.txt 1
vibrating	NotreDame_De_Paris.txt 3
vibration	NotreDame_De_Paris.txt 9
vibrations	NotreDame_De_Paris.txt 3
vice	NotreDame_De_Paris.txt 2
vices	NotreDame_De_Paris.txt 1
vicinity	NotreDame_De_Paris.txt 5
vicious	NotreDame_De_Paris.txt 1
vico	NotreDame_De_Paris.txt 1
vicomte	NotreDame_De_Paris.txt 6
vicomty	NotreDame_De_Paris.txt 1
victim	NotreDame_De_Paris.txt 14
victims	NotreDame_De_Paris.txt 1
victor	NotreDame_De_Paris.txt 10
victorious	NotreDame_De_Paris.txt 2
victory	NotreDame_De_Paris.txt 5
vie	NotreDame_De_Paris.txt 2
vied	NotreDame_De_Paris.txt 7
vieille	NotreDame_De_Paris.txt 1
vielle	NotreDame_De_Paris.txt 3
vienne	NotreDame_De_Paris.txt 1
vieux	NotreDame_De_Paris.txt 1
view	NotreDame_De_Paris.txt 26
viewed	NotreDame_De_Paris.txt 12
viewing	NotreDame_De_Paris.txt 1
vigil	NotreDame_De_Paris.txt 1
vigilant	NotreDame_De_Paris.txt 1
vignole	NotreDame_De_Paris.txt 1
vigor	NotreDame_De_Paris.txt 2
vigorous	NotreDame_De_Paris.txt 5
vigorously	NotreDame_De_Paris.txt 1
vii	NotreDame_De_Paris.txt 12
viii	NotreDame_De_Paris.txt 3
vile	NotreDame_De_Paris.txt 1
vilest	NotreDame_De_Paris.txt 2
vilify	NotreDame_De_Paris.txt 1
village	NotreDame_De_Paris.txt 5
villages	NotreDame_De_Paris.txt 2
villain	NotreDame_De_Paris.txt 1
villains	NotreDame_De_Paris.txt 1
villanous	NotreDame_De_Paris.txt 10
ville	NotreDame_De_Paris.txt 13
villeneuve	NotreDame_De_Paris.txt 1
villiers	NotreDame_De_Paris.txt 1
vincennes	NotreDame_De_Paris.txt 5
vinctus	NotreDame_De_Paris.txt 1
vindelin	NotreDame_De_Paris.txt 1
vine	NotreDame_De_Paris.txt 6
vinegar	NotreDame_De_Paris.txt 1
vintage	NotreDame_De_Paris.txt 2
vinum	NotreDame_De_Paris.txt 3
violate	NotreDame_De_Paris.txt 1
violated	NotreDame_De_Paris.txt 4
violates	NotreDame_De_Paris.txt 1
violence	NotreDame_De_Paris.txt 7
violent	NotreDame_De_Paris.txt 24
violently	NotreDame_De_Paris.txt 12
violet	NotreDame_De_Paris.txt 8
violette	NotreDame_De_Paris.txt 1
viper	NotreDame_De_Paris.txt 1
vireton	NotreDame_De_Paris.txt 1
viretons	NotreDame_De_Paris.txt 1
virgil	NotreDame_De_Paris.txt 1
virgin	NotreDame_De_Paris.txt 42
virginal	NotreDame_De_Paris.txt 1
virginity	NotreDame_De_Paris.txt 2
virgins	NotreDame_De_Paris.txt 2
virile	NotreDame_De_Paris.txt 1
virtue	NotreDame_De_Paris.txt 20
virtues	NotreDame_De_Paris.txt 5
virtuous	NotreDame_De_Paris.txt 2
virtute	NotreDame_De_Paris.txt 1
virus	NotreDame_De_Paris.txt 1
visage	NotreDame_De_Paris.txt 15
visages	NotreDame_De_Paris.txt 6
viscomty	NotreDame_De_Paris.txt 3
visible	NotreDame_De_Paris.txt 31
visibly	NotreDame_De_Paris.txt 5
vision	NotreDame_De_Paris.txt 12
visit	NotreDame_De_Paris.txt 10
visited	NotreDame_De_Paris.txt 1
visiting	NotreDame_De_Paris.txt 2
visitor	NotreDame_De_Paris.txt 1
visitors	NotreDame_De_Paris.txt 3
visits	NotreDame_De_Paris.txt 1
visual	NotreDame_De_Paris.txt 2
vitals	NotreDame_De_Paris.txt 7
vitam	NotreDame_De_Paris.txt 2
vitari	NotreDame_De_Paris.txt 1
vitiated	NotreDame_De_Paris.txt 1
vitr	NotreDame_De_Paris.txt 1
