d	Miserables.txt 183, NotreDame_De_Paris.txt 52
dab	Miserables.txt 2
dabbled	Miserables.txt 1
dabs	Miserables.txt 1
dabuge	Miserables.txt 1
dactyl	NotreDame_De_Paris.txt 1
daddy	Miserables.txt 3
dado	Miserables.txt 1
dados	NotreDame_De_Paris.txt 1
daedalus	NotreDame_De_Paris.txt 4, Miserables.txt 1
daelli	Miserables.txt 1
daemonum	NotreDame_De_Paris.txt 1
dagger	NotreDame_De_Paris.txt 11, Miserables.txt 8
daggers	NotreDame_De_Paris.txt 5
dagobert	NotreDame_De_Paris.txt 1
dague	Miserables.txt 1
dahlia	Miserables.txt 19
dahlias	Miserables.txt 2
dahuille	NotreDame_De_Paris.txt 1
daigning	Miserables.txt 1
dail	Miserables.txt 1
daily	Miserables.txt 7, NotreDame_De_Paris.txt 1
daim	NotreDame_De_Paris.txt 6
dainties	NotreDame_De_Paris.txt 1, Miserables.txt 1
daintily	Miserables.txt 1
daintiness	NotreDame_De_Paris.txt 2
dainty	NotreDame_De_Paris.txt 3, Miserables.txt 3
dairies	Miserables.txt 4
dais	NotreDame_De_Paris.txt 4, Miserables.txt 3
daisies	Miserables.txt 3, NotreDame_De_Paris.txt 1
daisy	NotreDame_De_Paris.txt 3, Miserables.txt 2
daiz	NotreDame_De_Paris.txt 1
dallemagne	Miserables.txt 1
dalmatics	NotreDame_De_Paris.txt 1
dalmatie	Miserables.txt 1
dam	Miserables.txt 1
damage	Miserables.txt 5, NotreDame_De_Paris.txt 3
damaged	Miserables.txt 4, NotreDame_De_Paris.txt 1
damages	NotreDame_De_Paris.txt 5, Miserables.txt 5
damas	Miserables.txt 1
damascened	NotreDame_De_Paris.txt 1
damascus	Miserables.txt 2
damasippus	Miserables.txt 1
damask	Miserables.txt 8, NotreDame_De_Paris.txt 5
damasks	Miserables.txt 1
damb	Miserables.txt 1
dambray	Miserables.txt 2
dame	NotreDame_De_Paris.txt 177, Miserables.txt 17
dames	NotreDame_De_Paris.txt 5, Miserables.txt 1
dammed	NotreDame_De_Paris.txt 1
damn	NotreDame_De_Paris.txt 1
damnable	NotreDame_De_Paris.txt 1
damnation	NotreDame_De_Paris.txt 5, Miserables.txt 4
damned	NotreDame_De_Paris.txt 8, Miserables.txt 7
damnerais	Miserables.txt 1
damoiselle	NotreDame_De_Paris.txt 6
damoiselles	NotreDame_De_Paris.txt 2
damp	Miserables.txt 11, NotreDame_De_Paris.txt 2
dampen	Miserables.txt 1
damper	Miserables.txt 2
dampmartin	NotreDame_De_Paris.txt 1
dampness	Miserables.txt 4, NotreDame_De_Paris.txt 2
damsel	NotreDame_De_Paris.txt 6
damsels	NotreDame_De_Paris.txt 9
dance	NotreDame_De_Paris.txt 15, Miserables.txt 10
danced	NotreDame_De_Paris.txt 5, Miserables.txt 5
dancer	NotreDame_De_Paris.txt 29, Miserables.txt 5
dancers	Miserables.txt 3
dances	Miserables.txt 5, NotreDame_De_Paris.txt 4
dancing	NotreDame_De_Paris.txt 14, Miserables.txt 4
dand	NotreDame_De_Paris.txt 1
dandelions	Miserables.txt 2
dandies	Miserables.txt 3
dandified	Miserables.txt 2
dandle	Miserables.txt 1
dandling	Miserables.txt 1
dandy	Miserables.txt 10
danger	Miserables.txt 38, NotreDame_De_Paris.txt 5
dangerous	Miserables.txt 31
dangerously	Miserables.txt 2
dangers	Miserables.txt 6, NotreDame_De_Paris.txt 2
dangle	Miserables.txt 1
dangling	NotreDame_De_Paris.txt 2, Miserables.txt 1
dans	Miserables.txt 20, NotreDame_De_Paris.txt 1
dante	Miserables.txt 13, NotreDame_De_Paris.txt 5
dantes	Miserables.txt 1
danton	Miserables.txt 14
danube	Miserables.txt 1
daphnis	Miserables.txt 1
dapifero	NotreDame_De_Paris.txt 1
dappes	Miserables.txt 1
dappled	NotreDame_De_Paris.txt 1
dardant	Miserables.txt 1
dare	Miserables.txt 23, NotreDame_De_Paris.txt 7
dared	Miserables.txt 36, NotreDame_De_Paris.txt 18
dares	Miserables.txt 2, NotreDame_De_Paris.txt 1
daring	Miserables.txt 28, NotreDame_De_Paris.txt 5
dark	Miserables.txt 119, NotreDame_De_Paris.txt 44
darkened	NotreDame_De_Paris.txt 1
darker	Miserables.txt 1
darkest	NotreDame_De_Paris.txt 2, Miserables.txt 2
darkly	NotreDame_De_Paris.txt 1
darkmans	Miserables.txt 1
darkness	Miserables.txt 141, NotreDame_De_Paris.txt 23
darknesses	Miserables.txt 1
darling	Miserables.txt 5
darned	Miserables.txt 1
daron	Miserables.txt 1
dart	Miserables.txt 5, NotreDame_De_Paris.txt 3
darted	Miserables.txt 17, NotreDame_De_Paris.txt 8
darting	Miserables.txt 5, NotreDame_De_Paris.txt 1
darts	Miserables.txt 3
das	Miserables.txt 1
dash	Miserables.txt 7, NotreDame_De_Paris.txt 5
dashed	NotreDame_De_Paris.txt 8, Miserables.txt 7
dashes	NotreDame_De_Paris.txt 3, Miserables.txt 2
dashing	Miserables.txt 4, NotreDame_De_Paris.txt 1
data	Miserables.txt 2, NotreDame_De_Paris.txt 1
date	Miserables.txt 34, NotreDame_De_Paris.txt 10
dated	Miserables.txt 3, NotreDame_De_Paris.txt 2
dates	Miserables.txt 6, NotreDame_De_Paris.txt 1
dating	NotreDame_De_Paris.txt 2, Miserables.txt 1
datum	NotreDame_De_Paris.txt 1
daub	Miserables.txt 4, NotreDame_De_Paris.txt 1
daubed	Miserables.txt 3, NotreDame_De_Paris.txt 1
