e	NotreDame_De_Paris.txt 30, Miserables.txt 27
each	Miserables.txt 456, NotreDame_De_Paris.txt 147
eager	NotreDame_De_Paris.txt 4, Miserables.txt 3
eagerly	Miserables.txt 9, NotreDame_De_Paris.txt 8
eagerness	NotreDame_De_Paris.txt 1
eagle	Miserables.txt 23, NotreDame_De_Paris.txt 5
eagles	Miserables.txt 7, NotreDame_De_Paris.txt 1
eam	Miserables.txt 1
ear	Miserables.txt 58, NotreDame_De_Paris.txt 40
eared	NotreDame_De_Paris.txt 1
earlier	Miserables.txt 8, NotreDame_De_Paris.txt 1
earliest	NotreDame_De_Paris.txt 2
earls	NotreDame_De_Paris.txt 1
early	Miserables.txt 45, NotreDame_De_Paris.txt 7
earn	Miserables.txt 18, NotreDame_De_Paris.txt 4
earned	Miserables.txt 18, NotreDame_De_Paris.txt 4
earnest	NotreDame_De_Paris.txt 1
earnestly	NotreDame_De_Paris.txt 1
earning	Miserables.txt 5
earnings	Miserables.txt 3
earns	Miserables.txt 1
ears	Miserables.txt 38, NotreDame_De_Paris.txt 27
earth	Miserables.txt 178, NotreDame_De_Paris.txt 44
earthen	Miserables.txt 1
earthenware	Miserables.txt 7, NotreDame_De_Paris.txt 6
earthquake	Miserables.txt 5, NotreDame_De_Paris.txt 1
earthquakes	Miserables.txt 3
earthworm	Miserables.txt 2, NotreDame_De_Paris.txt 1
earthy	NotreDame_De_Paris.txt 1, Miserables.txt 1
ease	Miserables.txt 27, NotreDame_De_Paris.txt 20
easier	NotreDame_De_Paris.txt 4, Miserables.txt 4
easily	Miserables.txt 40, NotreDame_De_Paris.txt 12
east	NotreDame_De_Paris.txt 14, Miserables.txt 8
easter	NotreDame_De_Paris.txt 5, Miserables.txt 1
eastern	NotreDame_De_Paris.txt 1, Miserables.txt 1
easters	NotreDame_De_Paris.txt 1
eastward	NotreDame_De_Paris.txt 1
easy	Miserables.txt 56, NotreDame_De_Paris.txt 16
eat	Miserables.txt 79, NotreDame_De_Paris.txt 17
eatable	Miserables.txt 2
eaten	Miserables.txt 32, NotreDame_De_Paris.txt 4
eater	Miserables.txt 2
eating	Miserables.txt 20, NotreDame_De_Paris.txt 4
eats	Miserables.txt 13, NotreDame_De_Paris.txt 3
eau	Miserables.txt 5, NotreDame_De_Paris.txt 4
eaves	NotreDame_De_Paris.txt 2
ebb	Miserables.txt 7, NotreDame_De_Paris.txt 1
ebbing	NotreDame_De_Paris.txt 1
ebbs	NotreDame_De_Paris.txt 1, Miserables.txt 1
ebony	Miserables.txt 2, NotreDame_De_Paris.txt 1
ebook	Miserables.txt 11, NotreDame_De_Paris.txt 10
ebooks	NotreDame_De_Paris.txt 7, Miserables.txt 7
ebouriffe	Miserables.txt 1
ebranle	Miserables.txt 1
ebrietas	NotreDame_De_Paris.txt 1
ebullition	Miserables.txt 2, NotreDame_De_Paris.txt 1
ebullitions	Miserables.txt 4
eburnea	Miserables.txt 1
ecce	Miserables.txt 6, NotreDame_De_Paris.txt 1
eccellence	Miserables.txt 1
eccentric	Miserables.txt 12, NotreDame_De_Paris.txt 7
eccentrically	NotreDame_De_Paris.txt 1
eccentricities	Miserables.txt 1
eccentricity	Miserables.txt 1
ecclesiarum	NotreDame_De_Paris.txt 1
ecclesiastes	Miserables.txt 3
ecclesiastic	Miserables.txt 1
ecclesiastical	NotreDame_De_Paris.txt 14, Miserables.txt 2
ecclesiastics	Miserables.txt 2
ecclesioe	NotreDame_De_Paris.txt 2
echabeau	Miserables.txt 1
echar	NotreDame_De_Paris.txt 1
echarpe	Miserables.txt 2
echasses	Miserables.txt 1
echaude	Miserables.txt 1
echelonned	Miserables.txt 2
echelonning	Miserables.txt 1
echelons	Miserables.txt 2
echo	Miserables.txt 6, NotreDame_De_Paris.txt 5
echoed	Miserables.txt 2
echoes	Miserables.txt 1
echoing	NotreDame_De_Paris.txt 1
eckberg	Miserables.txt 1
eclaireurs	Miserables.txt 1
eclectic	NotreDame_De_Paris.txt 1
eclipse	Miserables.txt 15, NotreDame_De_Paris.txt 1
eclipsed	Miserables.txt 5
eclipses	Miserables.txt 3
eclogue	Miserables.txt 1
eclos	Miserables.txt 1
ecnomus	NotreDame_De_Paris.txt 1
economic	Miserables.txt 2
economical	Miserables.txt 3
economically	Miserables.txt 1
economists	Miserables.txt 3
economize	Miserables.txt 3
economy	Miserables.txt 7, NotreDame_De_Paris.txt 1
ecossais	Miserables.txt 1
ecouen	Miserables.txt 2
ecouys	NotreDame_De_Paris.txt 1
ecrase	Miserables.txt 1
ecrit	Miserables.txt 1
ecrivans	NotreDame_De_Paris.txt 1
ecroula	Miserables.txt 1
ecstacies	NotreDame_De_Paris.txt 1
ecstacy	NotreDame_De_Paris.txt 1
ecstasies	Miserables.txt 14
ecstasy	Miserables.txt 33, NotreDame_De_Paris.txt 5
ecstatic	Miserables.txt 6, NotreDame_De_Paris.txt 1
ecstatically	Miserables.txt 1
edacior	NotreDame_De_Paris.txt 1
edapteon	Miserables.txt 1
edax	NotreDame_De_Paris.txt 1
eddies	NotreDame_De_Paris.txt 1, Miserables.txt 1
eddy	Miserables.txt 2
eden	Miserables.txt 7
edenizing	Miserables.txt 1
edge	Miserables.txt 24, NotreDame_De_Paris.txt 20
edged	NotreDame_De_Paris.txt 2, Miserables.txt 2
edges	Miserables.txt 6, NotreDame_De_Paris.txt 4
edict	NotreDame_De_Paris.txt 2, Miserables.txt 1
edification	NotreDame_De_Paris.txt 1
edifice	NotreDame_De_Paris.txt 67, Miserables.txt 17
edifices	NotreDame_De_Paris.txt 34, Miserables.txt 3
edified	NotreDame_De_Paris.txt 1, Miserables.txt 1
editing	Miserables.txt 1
edition	NotreDame_De_Paris.txt 8, Miserables.txt 6
editions	NotreDame_De_Paris.txt 6, Miserables.txt 5
editor	Miserables.txt 3
edmond	Miserables.txt 1
edon	Miserables.txt 3
educate	Miserables.txt 1
educated	Miserables.txt 7
educating	Miserables.txt 1
education	Miserables.txt 37, NotreDame_De_Paris.txt 2
educational	Miserables.txt 2, NotreDame_De_Paris.txt 1
educed	Miserables.txt 1
eduensis	NotreDame_De_Paris.txt 1
edward	NotreDame_De_Paris.txt 3
eel	NotreDame_De_Paris.txt 1, Miserables.txt 1
eels	Miserables.txt 2
efface	Miserables.txt 5, NotreDame_De_Paris.txt 1
effaced	Miserables.txt 15, NotreDame_De_Paris.txt 14
effacement	Miserables.txt 1
effaces	NotreDame_De_Paris.txt 2, Miserables.txt 2
effacing	Miserables.txt 3, NotreDame_De_Paris.txt 1
effect	Miserables.txt 99, NotreDame_De_Paris.txt 42
effected	Miserables.txt 26, NotreDame_De_Paris.txt 2
effecting	NotreDame_De_Paris.txt 1, Miserables.txt 1
effects	Miserables.txt 14, NotreDame_De_Paris.txt 1
effectual	NotreDame_De_Paris.txt 1
effectually	NotreDame_De_Paris.txt 1, Miserables.txt 1
effeminate	Miserables.txt 2
effervescing	NotreDame_De_Paris.txt 1
effet	Miserables.txt 1
efficacious	Miserables.txt 4
efficacy	Miserables.txt 1
effigy	Miserables.txt 3, NotreDame_De_Paris.txt 1
efflorescent	NotreDame_De_Paris.txt 1
effluvia	Miserables.txt 2
effort	Miserables.txt 62, NotreDame_De_Paris.txt 31
efforts	Miserables.txt 22, NotreDame_De_Paris.txt 9
effrontery	Miserables.txt 6, NotreDame_De_Paris.txt 1
effrontry	NotreDame_De_Paris.txt 1
effusion	Miserables.txt 7
effusively	Miserables.txt 1
egad	Miserables.txt 2
egg	NotreDame_De_Paris.txt 6, Miserables.txt 6
eggs	Miserables.txt 6, NotreDame_De_Paris.txt 1
eggshells	NotreDame_De_Paris.txt 1
eglantiers	Miserables.txt 1
eglantines	Miserables.txt 1
egoism	Miserables.txt 1
egoist	Miserables.txt 2
egoists	Miserables.txt 2
egotism	Miserables.txt 12
egotistical	Miserables.txt 3, NotreDame_De_Paris.txt 1
egress	NotreDame_De_Paris.txt 1
egrugeoir	Miserables.txt 1
egypt	NotreDame_De_Paris.txt 39, Miserables.txt 6
egyptian	NotreDame_De_Paris.txt 18, Miserables.txt 1
egyptians	NotreDame_De_Paris.txt 8
egyptienne	Miserables.txt 1
eh	NotreDame_De_Paris.txt 12, Miserables.txt 8
eheu	NotreDame_De_Paris.txt 1
ei	Miserables.txt 2, NotreDame_De_Paris.txt 1
eia	NotreDame_De_Paris.txt 2
eiderdown	NotreDame_De_Paris.txt 1
eight	Miserables.txt 105, NotreDame_De_Paris.txt 23
eighteen	Miserables.txt 15, NotreDame_De_Paris.txt 6
eighteenth	Miserables.txt 20, NotreDame_De_Paris.txt 5
eighth	Miserables.txt 15, NotreDame_De_Paris.txt 3
eighthly	Miserables.txt 1
eighty	Miserables.txt 46, NotreDame_De_Paris.txt 5
ein	NotreDame_De_Paris.txt 1, Miserables.txt 1
either	Miserables.txt 82, NotreDame_De_Paris.txt 23
ejaculated	Miserables.txt 31, NotreDame_De_Paris.txt 1
ejaculation	Miserables.txt 1
ejects	Miserables.txt 1
eke	Miserables.txt 1
eked	Miserables.txt 1
eklinga	NotreDame_De_Paris.txt 2
el	Miserables.txt 1
elaborate	NotreDame_De_Paris.txt 1, Miserables.txt 1
elaborated	NotreDame_De_Paris.txt 1
elapse	Miserables.txt 3
elapsed	Miserables.txt 25, NotreDame_De_Paris.txt 3
elasped	Miserables.txt 1
elasticity	NotreDame_De_Paris.txt 1
elatos	Miserables.txt 1
elba	Miserables.txt 5
elbow	Miserables.txt 29, NotreDame_De_Paris.txt 6
elbowed	Miserables.txt 5, NotreDame_De_Paris.txt 4
elbowing	NotreDame_De_Paris.txt 2, Miserables.txt 1
elbows	Miserables.txt 38, NotreDame_De_Paris.txt 9
elder	Miserables.txt 54, NotreDame_De_Paris.txt 5
elderly	Miserables.txt 13
elders	Miserables.txt 1
eldest	Miserables.txt 17, NotreDame_De_Paris.txt 3
elect	Miserables.txt 4, NotreDame_De_Paris.txt 2
elected	Miserables.txt 7, NotreDame_De_Paris.txt 2
election	NotreDame_De_Paris.txt 2
elections	Miserables.txt 2
elector	Miserables.txt 5, NotreDame_De_Paris.txt 2
electors	NotreDame_De_Paris.txt 4
electress	NotreDame_De_Paris.txt 1
electric	Miserables.txt 10, NotreDame_De_Paris.txt 2
electricity	Miserables.txt 2, NotreDame_De_Paris.txt 1
electrifies	Miserables.txt 2
electronic	NotreDame_De_Paris.txt 27, Miserables.txt 27
electronically	NotreDame_De_Paris.txt 2, Miserables.txt 2
elegance	Miserables.txt 8, NotreDame_De_Paris.txt 3
elegances	Miserables.txt 2
elegant	Miserables.txt 17, NotreDame_De_Paris.txt 3
elegy	Miserables.txt 2
eleison	NotreDame_De_Paris.txt 2
element	Miserables.txt 20, NotreDame_De_Paris.txt 2
elementary	Miserables.txt 2, NotreDame_De_Paris.txt 1
elements	Miserables.txt 13, NotreDame_De_Paris.txt 1
eleonore	Miserables.txt 1
elephant	Miserables.txt 38, NotreDame_De_Paris.txt 4
elephanta	Miserables.txt 1
elephants	NotreDame_De_Paris.txt 2
eleusiac	Miserables.txt 1
elevate	Miserables.txt 2
elevated	Miserables.txt 14, NotreDame_De_Paris.txt 7
elevates	Miserables.txt 1
elevating	Miserables.txt 4, NotreDame_De_Paris.txt 1
elevation	Miserables.txt 13, NotreDame_De_Paris.txt 1
elevations	Miserables.txt 1
eleven	Miserables.txt 21, NotreDame_De_Paris.txt 10
eleventh	NotreDame_De_Paris.txt 5, Miserables.txt 4
elf	NotreDame_De_Paris.txt 1
eli	NotreDame_De_Paris.txt 1
elicited	Miserables.txt 3
eliding	Miserables.txt 1
elijah	Miserables.txt 1
eliminated	Miserables.txt 1
elisabeth	NotreDame_De_Paris.txt 1
elixir	Miserables.txt 4
elixirs	Miserables.txt 1
ell	NotreDame_De_Paris.txt 1
elle	Miserables.txt 10, NotreDame_De_Paris.txt 1
elleviou	Miserables.txt 1
ellipse	Miserables.txt 1
ellipses	Miserables.txt 1
ellipsis	Miserables.txt 1
elliptical	NotreDame_De_Paris.txt 1
elm	Miserables.txt 5
elmire	Miserables.txt 1
elms	Miserables.txt 9
elongated	Miserables.txt 1
eloquence	Miserables.txt 9, NotreDame_De_Paris.txt 3
eloquent	Miserables.txt 8
elot	Miserables.txt 1
eloy	Miserables.txt 2, NotreDame_De_Paris.txt 1
elrey	Miserables.txt 1
else	Miserables.txt 71, NotreDame_De_Paris.txt 21
elsewhere	Miserables.txt 33, NotreDame_De_Paris.txt 7
elucidate	Miserables.txt 3, NotreDame_De_Paris.txt 1
elucidated	Miserables.txt 2
eluded	Miserables.txt 1
elysee	Miserables.txt 1
elysees	Miserables.txt 19
elzevir	Miserables.txt 2
em	Miserables.txt 3
emaciated	NotreDame_De_Paris.txt 3, Miserables.txt 2
emaciation	NotreDame_De_Paris.txt 1, Miserables.txt 1
email	NotreDame_De_Paris.txt 3, Miserables.txt 3
emanate	Miserables.txt 2
emanated	Miserables.txt 4, NotreDame_De_Paris.txt 2
emanates	Miserables.txt 2
emanation	Miserables.txt 2, NotreDame_De_Paris.txt 1
emancipate	NotreDame_De_Paris.txt 1
emancipated	NotreDame_De_Paris.txt 1, Miserables.txt 1
emancipates	NotreDame_De_Paris.txt 1
embalm	Miserables.txt 1
embalmed	Miserables.txt 2
embalming	Miserables.txt 2
embankment	Miserables.txt 1
embark	Miserables.txt 1
embarked	Miserables.txt 2
embarrass	NotreDame_De_Paris.txt 2, Miserables.txt 2
embarrassed	Miserables.txt 20, NotreDame_De_Paris.txt 7
embarrasses	Miserables.txt 2
embarrassing	Miserables.txt 7, NotreDame_De_Paris.txt 1
embarrassment	Miserables.txt 14, NotreDame_De_Paris.txt 6
embarrassments	NotreDame_De_Paris.txt 1
embas	NotreDame_De_Paris.txt 2
embassy	NotreDame_De_Paris.txt 9
embattle	Miserables.txt 1
embattled	Miserables.txt 2, NotreDame_De_Paris.txt 1
embe	Miserables.txt 1
embedded	Miserables.txt 1
embedding	Miserables.txt 1
embellish	NotreDame_De_Paris.txt 1
embellished	NotreDame_De_Paris.txt 2, Miserables.txt 1
embellishments	NotreDame_De_Paris.txt 1
ember	NotreDame_De_Paris.txt 1
embers	Miserables.txt 2
embittered	Miserables.txt 1
emblazoned	Miserables.txt 2
emblem	NotreDame_De_Paris.txt 2
embodied	Miserables.txt 1
emboldened	NotreDame_De_Paris.txt 6, Miserables.txt 2
emboldens	Miserables.txt 1
embossed	NotreDame_De_Paris.txt 1
embouchure	Miserables.txt 1
embrace	Miserables.txt 25, NotreDame_De_Paris.txt 4
embraced	Miserables.txt 13
embraces	Miserables.txt 1
embracing	NotreDame_De_Paris.txt 3
embrasure	Miserables.txt 4, NotreDame_De_Paris.txt 1
embrasures	Miserables.txt 2
embroider	NotreDame_De_Paris.txt 1, Miserables.txt 1
embroidered	NotreDame_De_Paris.txt 12, Miserables.txt 7
embroideress	NotreDame_De_Paris.txt 1
embroideries	NotreDame_De_Paris.txt 2, Miserables.txt 1
embroidering	NotreDame_De_Paris.txt 1, Miserables.txt 1
embroidery	NotreDame_De_Paris.txt 5, Miserables.txt 1
embroiled	Miserables.txt 1
embrun	Miserables.txt 7
embryo	Miserables.txt 2
embryonic	Miserables.txt 3
emen	NotreDame_De_Paris.txt 3
emerald	NotreDame_De_Paris.txt 1
emerge	Miserables.txt 31, NotreDame_De_Paris.txt 4
emerged	Miserables.txt 60, NotreDame_De_Paris.txt 9
emergencies	Miserables.txt 1
emergency	Miserables.txt 1
emerges	Miserables.txt 9, NotreDame_De_Paris.txt 1
emerging	Miserables.txt 24, NotreDame_De_Paris.txt 6
emery	NotreDame_De_Paris.txt 1
emigrants	Miserables.txt 2
emigrated	Miserables.txt 2
emigration	Miserables.txt 2
emigre	Miserables.txt 2
emigree	Miserables.txt 1
eminence	NotreDame_De_Paris.txt 21, Miserables.txt 5
eminent	Miserables.txt 2, NotreDame_De_Paris.txt 1
eminently	NotreDame_De_Paris.txt 1, Miserables.txt 1
emissaries	NotreDame_De_Paris.txt 1
emit	NotreDame_De_Paris.txt 1, Miserables.txt 1
emits	Miserables.txt 2
emitted	Miserables.txt 13
emitting	NotreDame_De_Paris.txt 1, Miserables.txt 1
emotion	Miserables.txt 33, NotreDame_De_Paris.txt 6
emotions	Miserables.txt 25, NotreDame_De_Paris.txt 3
emp	Miserables.txt 1
empereur	Miserables.txt 3
emperor	Miserables.txt 73, NotreDame_De_Paris.txt 14
emperors	Miserables.txt 4, NotreDame_De_Paris.txt 3
emphasis	NotreDame_De_Paris.txt 3, Miserables.txt 1
emphasize	Miserables.txt 3
emphasized	Miserables.txt 3, NotreDame_De_Paris.txt 1
emphasizing	Miserables.txt 5
emphatic	Miserables.txt 1
emphyteuses	Miserables.txt 1
empire	Miserables.txt 42, NotreDame_De_Paris.txt 10
empires	Miserables.txt 2
employ	Miserables.txt 4, NotreDame_De_Paris.txt 1
employed	Miserables.txt 25, NotreDame_De_Paris.txt 5
employee	Miserables.txt 2, NotreDame_De_Paris.txt 1
employees	Miserables.txt 4, NotreDame_De_Paris.txt 2
employing	Miserables.txt 5, NotreDame_De_Paris.txt 1
employment	Miserables.txt 11, NotreDame_De_Paris.txt 1
employments	Miserables.txt 1
employs	Miserables.txt 2
empowered	NotreDame_De_Paris.txt 1
empress	NotreDame_De_Paris.txt 1, Miserables.txt 1
empresses	Miserables.txt 1
emprostathonos	NotreDame_De_Paris.txt 1
emptied	Miserables.txt 9, NotreDame_De_Paris.txt 4
empties	Miserables.txt 5
emptiness	Miserables.txt 1
empty	Miserables.txt 51, NotreDame_De_Paris.txt 27
emptying	Miserables.txt 4
empurpled	Miserables.txt 7
empyrean	Miserables.txt 1
emulation	Miserables.txt 1
emulsions	Miserables.txt 1
en	Miserables.txt 31, NotreDame_De_Paris.txt 8
enable	Miserables.txt 5, NotreDame_De_Paris.txt 1
enabled	NotreDame_De_Paris.txt 2, Miserables.txt 2
enables	Miserables.txt 1
enact	Miserables.txt 1
enacted	NotreDame_De_Paris.txt 2, Miserables.txt 2
enacting	NotreDame_De_Paris.txt 1
enamel	NotreDame_De_Paris.txt 1, Miserables.txt 1
enamelled	NotreDame_De_Paris.txt 1
enamels	NotreDame_De_Paris.txt 1
encamped	Miserables.txt 2
encampment	Miserables.txt 1
encased	NotreDame_De_Paris.txt 4, Miserables.txt 1
enchained	NotreDame_De_Paris.txt 2, Miserables.txt 2
enchant	Miserables.txt 1
enchanted	NotreDame_De_Paris.txt 5, Miserables.txt 4
enchanting	NotreDame_De_Paris.txt 2, Miserables.txt 1
enchantingly	Miserables.txt 1
enchantment	NotreDame_De_Paris.txt 2, Miserables.txt 2
enchantments	Miserables.txt 3
enchantress	NotreDame_De_Paris.txt 3
enchased	NotreDame_De_Paris.txt 1
encircle	Miserables.txt 1
encircled	NotreDame_De_Paris.txt 4, Miserables.txt 1
encircling	Miserables.txt 1
enclose	NotreDame_De_Paris.txt 1, Miserables.txt 1
enclosed	Miserables.txt 10, NotreDame_De_Paris.txt 5
enclosing	Miserables.txt 1
enclosure	Miserables.txt 23, NotreDame_De_Paris.txt 19
enclosures	Miserables.txt 7, NotreDame_De_Paris.txt 2
encompass	Miserables.txt 1
encompassed	Miserables.txt 2
encore	Miserables.txt 1
encounter	Miserables.txt 32, NotreDame_De_Paris.txt 1
encountered	Miserables.txt 53, NotreDame_De_Paris.txt 4
encountering	Miserables.txt 3, NotreDame_De_Paris.txt 2
encounters	Miserables.txt 22, NotreDame_De_Paris.txt 1
encourage	Miserables.txt 2
encouraged	Miserables.txt 9, NotreDame_De_Paris.txt 1
encouragement	Miserables.txt 5, NotreDame_De_Paris.txt 1
encourages	Miserables.txt 1
encouraging	Miserables.txt 4, NotreDame_De_Paris.txt 2
encroach	NotreDame_De_Paris.txt 1
encroached	NotreDame_De_Paris.txt 2, Miserables.txt 1
encroachments	Miserables.txt 2
encumber	Miserables.txt 3
encumbered	Miserables.txt 16, NotreDame_De_Paris.txt 7
encyclopaedia	Miserables.txt 2
encyclopedia	Miserables.txt 2, NotreDame_De_Paris.txt 1
encyclopedists	Miserables.txt 1
end	Miserables.txt 267, NotreDame_De_Paris.txt 106
endeavor	Miserables.txt 3, NotreDame_De_Paris.txt 2
endeavored	NotreDame_De_Paris.txt 5, Miserables.txt 4
endeavoring	Miserables.txt 7, NotreDame_De_Paris.txt 2
endeavors	Miserables.txt 1
ended	Miserables.txt 57, NotreDame_De_Paris.txt 6
ending	Miserables.txt 5, NotreDame_De_Paris.txt 1
endless	Miserables.txt 6, NotreDame_De_Paris.txt 3
endormeurs	Miserables.txt 1
endowed	Miserables.txt 10, NotreDame_De_Paris.txt 3
endroit	Miserables.txt 1
ends	Miserables.txt 26, NotreDame_De_Paris.txt 7
endued	NotreDame_De_Paris.txt 1
endurance	Miserables.txt 1
endure	Miserables.txt 3, NotreDame_De_Paris.txt 1
endured	Miserables.txt 7, NotreDame_De_Paris.txt 4
endures	NotreDame_De_Paris.txt 1, Miserables.txt 1
enduring	NotreDame_De_Paris.txt 1, Miserables.txt 1
enemies	Miserables.txt 6, NotreDame_De_Paris.txt 3
enemy	Miserables.txt 26, NotreDame_De_Paris.txt 4
energetic	Miserables.txt 15
energetically	Miserables.txt 7, NotreDame_De_Paris.txt 2
energia	NotreDame_De_Paris.txt 1
energies	Miserables.txt 1
energy	Miserables.txt 8, NotreDame_De_Paris.txt 1
enervated	NotreDame_De_Paris.txt 1
enervation	Miserables.txt 1
enfants	Miserables.txt 3, NotreDame_De_Paris.txt 1
enfeebled	Miserables.txt 2
enfeeblement	Miserables.txt 1
enfeoffed	NotreDame_De_Paris.txt 1
enfer	Miserables.txt 3, NotreDame_De_Paris.txt 1
enforce	Miserables.txt 1
enforced	Miserables.txt 3
engage	Miserables.txt 5
engaged	Miserables.txt 45, NotreDame_De_Paris.txt 9
engagement	Miserables.txt 5
engagements	Miserables.txt 3
engages	Miserables.txt 1
engaging	NotreDame_De_Paris.txt 1
engendered	Miserables.txt 4
engendering	Miserables.txt 1
engenders	Miserables.txt 4
enghien	Miserables.txt 2
engine	Miserables.txt 4
engineer	Miserables.txt 3
engines	Miserables.txt 2
england	Miserables.txt 60, NotreDame_De_Paris.txt 4
english	Miserables.txt 128, NotreDame_De_Paris.txt 10
englishman	Miserables.txt 4
englishmen	Miserables.txt 1
englishwoman	Miserables.txt 1
engrafted	Miserables.txt 1
engrafting	Miserables.txt 2, NotreDame_De_Paris.txt 1
engraved	NotreDame_De_Paris.txt 7, Miserables.txt 5
engraver	Miserables.txt 1
engraving	Miserables.txt 2, NotreDame_De_Paris.txt 1
engravings	NotreDame_De_Paris.txt 2, Miserables.txt 2
engross	Miserables.txt 1
engrossed	NotreDame_De_Paris.txt 2, Miserables.txt 2
enguerrand	NotreDame_De_Paris.txt 1
engulf	Miserables.txt 1
engulfed	Miserables.txt 17, NotreDame_De_Paris.txt 2
engulfment	Miserables.txt 5
engulfs	Miserables.txt 1
enhanced	Miserables.txt 2
enigma	Miserables.txt 24, NotreDame_De_Paris.txt 1
enigmas	Miserables.txt 6
enigmatic	Miserables.txt 2, NotreDame_De_Paris.txt 1
enigmatical	Miserables.txt 13, NotreDame_De_Paris.txt 1
enim	NotreDame_De_Paris.txt 3
enjoin	Miserables.txt 3
enjoined	Miserables.txt 5, NotreDame_De_Paris.txt 2
enjoining	Miserables.txt 1
enjolras	Miserables.txt 256
enjoy	Miserables.txt 12, NotreDame_De_Paris.txt 1
enjoyed	NotreDame_De_Paris.txt 6, Miserables.txt 6
enjoying	Miserables.txt 3
enjoyment	Miserables.txt 11, NotreDame_De_Paris.txt 2
enjoyments	Miserables.txt 4
enjoys	Miserables.txt 2
enlarge	Miserables.txt 1
enlarged	Miserables.txt 5
enlargement	Miserables.txt 4
enlarges	Miserables.txt 1
enlarging	Miserables.txt 5
enlighten	Miserables.txt 6, NotreDame_De_Paris.txt 1
enlightened	Miserables.txt 10, NotreDame_De_Paris.txt 1
enlightening	Miserables.txt 3
enlightenment	Miserables.txt 8
enlightens	Miserables.txt 1
enlisted	Miserables.txt 2
enlists	Miserables.txt 1
enliven	NotreDame_De_Paris.txt 2
enlivened	Miserables.txt 2, NotreDame_De_Paris.txt 1
enlivens	Miserables.txt 1
enmeshing	NotreDame_De_Paris.txt 1
ennius	Miserables.txt 1
ennui	Miserables.txt 5
enormities	NotreDame_De_Paris.txt 4, Miserables.txt 2
enormity	Miserables.txt 5, NotreDame_De_Paris.txt 2
enormous	Miserables.txt 83, NotreDame_De_Paris.txt 37
enormously	Miserables.txt 2
enough	Miserables.txt 92, NotreDame_De_Paris.txt 29
enrage	Miserables.txt 1
enraged	Miserables.txt 10, NotreDame_De_Paris.txt 3
enraptured	NotreDame_De_Paris.txt 1, Miserables.txt 1
enrich	Miserables.txt 2
enriched	Miserables.txt 6, NotreDame_De_Paris.txt 2
enriching	Miserables.txt 1
enrichments	NotreDame_De_Paris.txt 2
enroll	NotreDame_De_Paris.txt 1
enrolling	Miserables.txt 1
ens	Miserables.txt 1
ensconce	Miserables.txt 1
ensconced	NotreDame_De_Paris.txt 1, Miserables.txt 1
ensemble	Miserables.txt 2, NotreDame_De_Paris.txt 1
ensenas	Miserables.txt 1
enshrined	NotreDame_De_Paris.txt 1
enshrouded	NotreDame_De_Paris.txt 1
ensigns	Miserables.txt 1
ensnared	Miserables.txt 1
ensorcela	Miserables.txt 1
ensued	Miserables.txt 31, NotreDame_De_Paris.txt 7
ensuing	Miserables.txt 1
ensuring	NotreDame_De_Paris.txt 1, Miserables.txt 1
entablature	NotreDame_De_Paris.txt 1, Miserables.txt 1
entablatures	NotreDame_De_Paris.txt 1
entail	Miserables.txt 1
entailed	Miserables.txt 3
entails	Miserables.txt 3
entangle	NotreDame_De_Paris.txt 1, Miserables.txt 1
entangled	Miserables.txt 13, NotreDame_De_Paris.txt 8
entanglement	Miserables.txt 2
entangles	Miserables.txt 1
entangling	Miserables.txt 2, NotreDame_De_Paris.txt 1
entendais	Miserables.txt 1
enter	Miserables.txt 128, NotreDame_De_Paris.txt 36
entered	Miserables.txt 270, NotreDame_De_Paris.txt 30
entering	Miserables.txt 76, NotreDame_De_Paris.txt 9
enterprise	Miserables.txt 4, NotreDame_De_Paris.txt 2
enterprises	NotreDame_De_Paris.txt 1
enterprising	NotreDame_De_Paris.txt 1
