o	Miserables.txt 203, NotreDame_De_Paris.txt 17
oak	NotreDame_De_Paris.txt 7, Miserables.txt 4
oaken	NotreDame_De_Paris.txt 2
oaks	Miserables.txt 2, NotreDame_De_Paris.txt 1
oars	NotreDame_De_Paris.txt 3, Miserables.txt 2
oath	Miserables.txt 12, NotreDame_De_Paris.txt 7
oaths	Miserables.txt 6, NotreDame_De_Paris.txt 5
oats	Miserables.txt 8
obduracy	Miserables.txt 2
obedience	Miserables.txt 28, NotreDame_De_Paris.txt 3
obedient	NotreDame_De_Paris.txt 1, Miserables.txt 1
obedientia	Miserables.txt 1
obeissais	Miserables.txt 1
obelisk	NotreDame_De_Paris.txt 4
obelisks	NotreDame_De_Paris.txt 2
obey	Miserables.txt 13, NotreDame_De_Paris.txt 2
obeyed	Miserables.txt 27, NotreDame_De_Paris.txt 4
obeying	Miserables.txt 6
obeys	Miserables.txt 4
obit	Miserables.txt 1
object	Miserables.txt 62, NotreDame_De_Paris.txt 14
objected	Miserables.txt 2, NotreDame_De_Paris.txt 1
objecting	NotreDame_De_Paris.txt 1
objection	Miserables.txt 8, NotreDame_De_Paris.txt 1
objections	Miserables.txt 10, NotreDame_De_Paris.txt 1
objectless	Miserables.txt 3
objects	Miserables.txt 16, NotreDame_De_Paris.txt 10
oblationem	Miserables.txt 1
obligation	Miserables.txt 1
obligations	Miserables.txt 1
obligatory	Miserables.txt 2
obliged	Miserables.txt 81, NotreDame_De_Paris.txt 28
obligingly	Miserables.txt 1
oblique	Miserables.txt 3, NotreDame_De_Paris.txt 2
obliterate	Miserables.txt 1
obliterated	Miserables.txt 3, NotreDame_De_Paris.txt 2
obliteration	Miserables.txt 7
oblivion	Miserables.txt 6, NotreDame_De_Paris.txt 2
oblivisci	Miserables.txt 1
oblong	Miserables.txt 6, NotreDame_De_Paris.txt 3
obregon	Miserables.txt 1
obscene	Miserables.txt 3, NotreDame_De_Paris.txt 1
obscenities	Miserables.txt 1
obscenity	Miserables.txt 1
