s	Miserables.txt 2083, NotreDame_De_Paris.txt 681
sa	Miserables.txt 7, NotreDame_De_Paris.txt 1
sabbath	NotreDame_De_Paris.txt 12
sabbaths	NotreDame_De_Paris.txt 1
sabin	Miserables.txt 1
sabines	Miserables.txt 2
sabinus	Miserables.txt 1
sables	NotreDame_De_Paris.txt 1
sabnac	NotreDame_De_Paris.txt 1
sabot	Miserables.txt 2
sabots	Miserables.txt 1
sabran	Miserables.txt 2
sabre	Miserables.txt 8
sabred	Miserables.txt 1
sabres	Miserables.txt 8
sabri	Miserables.txt 2
sac	Miserables.txt 9
sacerdotal	NotreDame_De_Paris.txt 4
sacerdotalism	NotreDame_De_Paris.txt 1
sachette	NotreDame_De_Paris.txt 2
sack	NotreDame_De_Paris.txt 20, Miserables.txt 7
sacked	NotreDame_De_Paris.txt 10
sacks	Miserables.txt 6, NotreDame_De_Paris.txt 1
sacra	Miserables.txt 1
sacrait	Miserables.txt 1
sacrament	Miserables.txt 22
sacramental	Miserables.txt 1
sacred	Miserables.txt 49, NotreDame_De_Paris.txt 14
sacrifice	Miserables.txt 30, NotreDame_De_Paris.txt 3
sacrificed	Miserables.txt 8
sacrifices	Miserables.txt 3, NotreDame_De_Paris.txt 1
sacrificing	Miserables.txt 5
sacrilege	Miserables.txt 3, NotreDame_De_Paris.txt 2
sacristan	NotreDame_De_Paris.txt 1, Miserables.txt 1
sacristans	Miserables.txt 1
sacristries	NotreDame_De_Paris.txt 1
sacristy	Miserables.txt 4, NotreDame_De_Paris.txt 2
sad	Miserables.txt 85, NotreDame_De_Paris.txt 18
sadden	Miserables.txt 1
saddened	Miserables.txt 4, NotreDame_De_Paris.txt 1
sadder	Miserables.txt 3
saddle	Miserables.txt 8, NotreDame_De_Paris.txt 6
saddler	Miserables.txt 1
saddles	Miserables.txt 1
sadly	NotreDame_De_Paris.txt 12, Miserables.txt 11
sadness	Miserables.txt 30, NotreDame_De_Paris.txt 7
safe	Miserables.txt 14, NotreDame_De_Paris.txt 4
safeguard	NotreDame_De_Paris.txt 1
safekeeping	NotreDame_De_Paris.txt 2
safely	Miserables.txt 1
safer	NotreDame_De_Paris.txt 1
safest	Miserables.txt 2
safety	Miserables.txt 14, NotreDame_De_Paris.txt 5
sagacious	Miserables.txt 9, NotreDame_De_Paris.txt 3
sagacity	Miserables.txt 5, NotreDame_De_Paris.txt 1
sage	Miserables.txt 12, NotreDame_De_Paris.txt 3
sages	Miserables.txt 3, NotreDame_De_Paris.txt 1
sagittaire	Miserables.txt 1
saguet	Miserables.txt 1
said	Miserables.txt 1796, NotreDame_De_Paris.txt 720
saidst	Miserables.txt 1
sail	Miserables.txt 3
sailed	Miserables.txt 1
sailing	Miserables.txt 2
saillarde	NotreDame_De_Paris.txt 1
sailor	Miserables.txt 6
sailors	Miserables.txt 6
sails	Miserables.txt 3
saint	Miserables.txt 401, NotreDame_De_Paris.txt 215
sainte	Miserables.txt 65, NotreDame_De_Paris.txt 38
sainted	Miserables.txt 11
saintete	Miserables.txt 1
saintly	Miserables.txt 1
saintonge	Miserables.txt 3
saints	Miserables.txt 13, NotreDame_De_Paris.txt 9
sainval	Miserables.txt 2
saisie	Miserables.txt 1
saisina	NotreDame_De_Paris.txt 1
saith	NotreDame_De_Paris.txt 7
sake	Miserables.txt 35, NotreDame_De_Paris.txt 18
sakoski	Miserables.txt 1
salaberry	Miserables.txt 1
salad	Miserables.txt 1
salads	Miserables.txt 2
salamanca	Miserables.txt 2
salamander	NotreDame_De_Paris.txt 2
salamanders	NotreDame_De_Paris.txt 1, Miserables.txt 1
salaries	Miserables.txt 2, NotreDame_De_Paris.txt 1
salary	Miserables.txt 9, NotreDame_De_Paris.txt 3
sale	Miserables.txt 7
sales	Miserables.txt 2
salic	NotreDame_De_Paris.txt 1
salient	NotreDame_De_Paris.txt 2, Miserables.txt 1
saliva	Miserables.txt 4
salle	Miserables.txt 2
sallies	Miserables.txt 1
sally	Miserables.txt 2, NotreDame_De_Paris.txt 1
salmon	NotreDame_De_Paris.txt 1
salon	Miserables.txt 21
salone	Miserables.txt 1
salons	Miserables.txt 8, NotreDame_De_Paris.txt 1
salpetriere	Miserables.txt 14
salsify	NotreDame_De_Paris.txt 1
salt	Miserables.txt 13, NotreDame_De_Paris.txt 3
saltpetre	Miserables.txt 3
salts	Miserables.txt 3, NotreDame_De_Paris.txt 1
salus	NotreDame_De_Paris.txt 1, Miserables.txt 1
salutary	Miserables.txt 1
salutation	Miserables.txt 1
salutations	NotreDame_De_Paris.txt 1
salute	Miserables.txt 21, NotreDame_De_Paris.txt 2
saluted	Miserables.txt 9, NotreDame_De_Paris.txt 8
salutes	Miserables.txt 3
saluting	Miserables.txt 2, NotreDame_De_Paris.txt 1
salva	NotreDame_De_Paris.txt 1
salvation	Miserables.txt 7, NotreDame_De_Paris.txt 1
salvator	NotreDame_De_Paris.txt 1, Miserables.txt 1
salve	NotreDame_De_Paris.txt 2
salvien	NotreDame_De_Paris.txt 1
salvos	Miserables.txt 1
salvum	NotreDame_De_Paris.txt 2
samaritan	NotreDame_De_Paris.txt 1
sambre	Miserables.txt 1
same	Miserables.txt 504, NotreDame_De_Paris.txt 134
sameness	Miserables.txt 1
samos	Miserables.txt 1
samson	Miserables.txt 1
samuel	NotreDame_De_Paris.txt 1
sancti	NotreDame_De_Paris.txt 1
sanctification	Miserables.txt 1
sanctified	Miserables.txt 1
sanctifies	Miserables.txt 1
sanctify	Miserables.txt 1
sanction	Miserables.txt 2
sanctities	Miserables.txt 1
sanctity	Miserables.txt 7, NotreDame_De_Paris.txt 2
sanctoe	NotreDame_De_Paris.txt 1
sanctuaries	NotreDame_De_Paris.txt 1
sanctuary	NotreDame_De_Paris.txt 19, Miserables.txt 3
sanctus	NotreDame_De_Paris.txt 1
sancy	Miserables.txt 4
sand	Miserables.txt 33, NotreDame_De_Paris.txt 2
