a	Miserables.txt 14598, NotreDame_De_Paris.txt 4774
aback	Miserables.txt 2, NotreDame_De_Paris.txt 1
abaisse	Miserables.txt 1
abandon	Miserables.txt 12, NotreDame_De_Paris.txt 3
abandoned	Miserables.txt 42, NotreDame_De_Paris.txt 13
abandoning	Miserables.txt 6, NotreDame_De_Paris.txt 1
abandonment	Miserables.txt 6, NotreDame_De_Paris.txt 4
abandons	Miserables.txt 4, NotreDame_De_Paris.txt 1
abarbarea	Miserables.txt 1
abased	Miserables.txt 2
abasement	Miserables.txt 3
abashed	NotreDame_De_Paris.txt 2, Miserables.txt 1
abate	Miserables.txt 1
abatis	Miserables.txt 2
abattoir	Miserables.txt 1
abattoirs	Miserables.txt 1
abb	NotreDame_De_Paris.txt 10
abbas	NotreDame_De_Paris.txt 3
abbate	Miserables.txt 1
abbatial	NotreDame_De_Paris.txt 1, Miserables.txt 1
abbe	Miserables.txt 32, NotreDame_De_Paris.txt 1
abberent	Miserables.txt 1
abbes	Miserables.txt 3
abbess	Miserables.txt 1
abbey	NotreDame_De_Paris.txt 19, Miserables.txt 11
abbeys	NotreDame_De_Paris.txt 4
abbot	Miserables.txt 4, NotreDame_De_Paris.txt 2
abbots	NotreDame_De_Paris.txt 2
abbreviation	Miserables.txt 2
abc	Miserables.txt 2
abcesses	NotreDame_De_Paris.txt 1
abd	Miserables.txt 1
abdicate	Miserables.txt 3
abdicated	Miserables.txt 2
abdicates	Miserables.txt 3
abdicating	Miserables.txt 1
abdication	Miserables.txt 6, NotreDame_De_Paris.txt 1
abdomen	Miserables.txt 1
abduct	NotreDame_De_Paris.txt 1
abducted	NotreDame_De_Paris.txt 1
abducting	NotreDame_De_Paris.txt 1, Miserables.txt 1
abduction	Miserables.txt 3
abductor	NotreDame_De_Paris.txt 1
abducts	Miserables.txt 1
abeilard	Miserables.txt 1
abeille	Miserables.txt 1
abel	Miserables.txt 2
aberration	Miserables.txt 4
aberrations	NotreDame_De_Paris.txt 1
abetted	Miserables.txt 1
abeyance	NotreDame_De_Paris.txt 1
abfxustgrnogrkzu	Miserables.txt 1
abhor	Miserables.txt 1
abhorred	Miserables.txt 2, NotreDame_De_Paris.txt 1
abhorring	Miserables.txt 1
abi	Miserables.txt 1
abide	Miserables.txt 2, NotreDame_De_Paris.txt 1
ability	Miserables.txt 3, NotreDame_De_Paris.txt 2
abject	Miserables.txt 6, NotreDame_De_Paris.txt 1
abjectness	Miserables.txt 3
abjectnesses	Miserables.txt 1
abjure	Miserables.txt 1
