a	Miserables.txt 29196, NotreDame_De_Paris.txt 9548
aback	Miserables.txt 4, NotreDame_De_Paris.txt 2
abaisse	Miserables.txt 2
abandon	Miserables.txt 24, NotreDame_De_Paris.txt 6
abandoned	Miserables.txt 84, NotreDame_De_Paris.txt 26
abandoning	Miserables.txt 12, NotreDame_De_Paris.txt 2
abandonment	Miserables.txt 12, NotreDame_De_Paris.txt 8
abandons	Miserables.txt 8, NotreDame_De_Paris.txt 2
abarbarea	Miserables.txt 2
abased	Miserables.txt 4
abasement	Miserables.txt 6
abashed	NotreDame_De_Paris.txt 4, Miserables.txt 2
abate	Miserables.txt 2
abatis	Miserables.txt 4
abattoir	Miserables.txt 2
abattoirs	Miserables.txt 2
abb	NotreDame_De_Paris.txt 20
abbas	NotreDame_De_Paris.txt 6
abbate	Miserables.txt 2
abbatial	NotreDame_De_Paris.txt 2, Miserables.txt 2
abbe	Miserables.txt 64, NotreDame_De_Paris.txt 2
abberent	Miserables.txt 2
abbes	Miserables.txt 6
abbess	Miserables.txt 2
abbey	NotreDame_De_Paris.txt 38, Miserables.txt 22
abbeys	NotreDame_De_Paris.txt 8
abbot	Miserables.txt 8, NotreDame_De_Paris.txt 4
abbots	NotreDame_De_Paris.txt 4
abbreviation	Miserables.txt 4
abc	Miserables.txt 4
abcesses	NotreDame_De_Paris.txt 2
abd	Miserables.txt 2
abdicate	Miserables.txt 6
abdicated	Miserables.txt 4
abdicates	Miserables.txt 6
abdicating	Miserables.txt 2
abdication	Miserables.txt 12, NotreDame_De_Paris.txt 2
abdomen	Miserables.txt 2
abduct	NotreDame_De_Paris.txt 2
abducted	NotreDame_De_Paris.txt 2
abducting	NotreDame_De_Paris.txt 2, Miserables.txt 2
abduction	Miserables.txt 6
abductor	NotreDame_De_Paris.txt 2
abducts	Miserables.txt 2
abeilard	Miserables.txt 2
abeille	Miserables.txt 2
abel	Miserables.txt 4
aberration	Miserables.txt 8
aberrations	NotreDame_De_Paris.txt 2
abetted	Miserables.txt 2
abeyance	NotreDame_De_Paris.txt 2
abfxustgrnogrkzu	Miserables.txt 2
abhor	Miserables.txt 2
abhorred	Miserables.txt 4, NotreDame_De_Paris.txt 2
abhorring	Miserables.txt 2
abi	Miserables.txt 2
abide	Miserables.txt 4, NotreDame_De_Paris.txt 2
ability	Miserables.txt 6, NotreDame_De_Paris.txt 4
abject	Miserables.txt 12, NotreDame_De_Paris.txt 2
abjectness	Miserables.txt 6
abjectnesses	Miserables.txt 2
abjure	Miserables.txt 2
able	Miserables.txt 244, NotreDame_De_Paris.txt 42
ablerus	Miserables.txt 2
ablutions	Miserables.txt 2
abnegation	Miserables.txt 16
abnormal	Miserables.txt 2
abode	Miserables.txt 12, NotreDame_De_Paris.txt 2
abodes	Miserables.txt 4
aboie	NotreDame_De_Paris.txt 8
abolish	Miserables.txt 4
abolished	Miserables.txt 4
abolishes	Miserables.txt 2
abolishing	Miserables.txt 2
abolitionists	Miserables.txt 2
abominable	Miserables.txt 42, NotreDame_De_Paris.txt 8
abominably	Miserables.txt 4
abomination	Miserables.txt 8, NotreDame_De_Paris.txt 4
abominations	Miserables.txt 4
abortion	NotreDame_De_Paris.txt 2
aboukir	Miserables.txt 2
abound	Miserables.txt 20
abounded	Miserables.txt 24, NotreDame_De_Paris.txt 2
abounds	Miserables.txt 6
about	Miserables.txt 1286, NotreDame_De_Paris.txt 364
above	Miserables.txt 372, NotreDame_De_Paris.txt 200
abrac	Miserables.txt 2
abraded	Miserables.txt 2
abraham	NotreDame_De_Paris.txt 4, Miserables.txt 2
abreast	NotreDame_De_Paris.txt 4
abri	NotreDame_De_Paris.txt 2
abridge	Miserables.txt 6
abridged	Miserables.txt 6
abridgment	Miserables.txt 2
abroad	Miserables.txt 26, NotreDame_De_Paris.txt 4
abrogated	NotreDame_De_Paris.txt 4
abrupt	Miserables.txt 54, NotreDame_De_Paris.txt 16
abruptly	Miserables.txt 104, NotreDame_De_Paris.txt 60
abruptness	Miserables.txt 4
absence	Miserables.txt 56, NotreDame_De_Paris.txt 10
absences	Miserables.txt 4, NotreDame_De_Paris.txt 2
absent	Miserables.txt 66, NotreDame_De_Paris.txt 6
absented	Miserables.txt 6
absenting	Miserables.txt 2
absents	Miserables.txt 2
absinthe	Miserables.txt 10
absolute	Miserables.txt 112, NotreDame_De_Paris.txt 4
absolutely	Miserables.txt 116, NotreDame_De_Paris.txt 14
absolutism	Miserables.txt 2
absolved	Miserables.txt 2
absorbed	Miserables.txt 100, NotreDame_De_Paris.txt 26
absorbing	Miserables.txt 6, NotreDame_De_Paris.txt 2
