d	C:\MiniGoogle\Books\hamlet 181
dagger	C:\MiniGoogle\Books\hamlet 1
daggers	C:\MiniGoogle\Books\hamlet 2
daily	C:\MiniGoogle\Books\hamlet 1
daintier	C:\MiniGoogle\Books\hamlet 1
daisies	C:\MiniGoogle\Books\hamlet 1
daisy	C:\MiniGoogle\Books\hamlet 1
dalliance	C:\MiniGoogle\Books\hamlet 1
dally	C:\MiniGoogle\Books\hamlet 1
dallying	C:\MiniGoogle\Books\hamlet 1
damn	C:\MiniGoogle\Books\hamlet 6
damnable	C:\MiniGoogle\Books\hamlet 1
damnation	C:\MiniGoogle\Books\hamlet 1
damned	C:\MiniGoogle\Books\hamlet 6
damon	C:\MiniGoogle\Books\hamlet 1
dane	C:\MiniGoogle\Books\hamlet 6
danes	C:\MiniGoogle\Books\hamlet 4
danger	C:\MiniGoogle\Books\hamlet 5
dangerous	C:\MiniGoogle\Books\hamlet 6
danish	C:\MiniGoogle\Books\hamlet 6
danskers	C:\MiniGoogle\Books\hamlet 1
dare	C:\MiniGoogle\Books\hamlet 5
dared	C:\MiniGoogle\Books\hamlet 1
dares	C:\MiniGoogle\Books\hamlet 1
darest	C:\MiniGoogle\Books\hamlet 1
dark	C:\MiniGoogle\Books\hamlet 1
darkest	C:\MiniGoogle\Books\hamlet 1
daughter	C:\MiniGoogle\Books\hamlet 16
daughters	C:\MiniGoogle\Books\hamlet 1
dawning	C:\MiniGoogle\Books\hamlet 1
day	C:\MiniGoogle\Books\hamlet 24
days	C:\MiniGoogle\Books\hamlet 7
dead	C:\MiniGoogle\Books\hamlet 33
deal	C:\MiniGoogle\Books\hamlet 1
dealt	C:\MiniGoogle\Books\hamlet 1
dear	C:\MiniGoogle\Books\hamlet 29
dearest	C:\MiniGoogle\Books\hamlet 2
dearly	C:\MiniGoogle\Books\hamlet 2
dearth	C:\MiniGoogle\Books\hamlet 1
death	C:\MiniGoogle\Books\hamlet 38
deaths	C:\MiniGoogle\Books\hamlet 1
debate	C:\MiniGoogle\Books\hamlet 1
debatement	C:\MiniGoogle\Books\hamlet 1
debt	C:\MiniGoogle\Books\hamlet 1
decayer	C:\MiniGoogle\Books\hamlet 1
deceived	C:\MiniGoogle\Books\hamlet 2
deck	C:\MiniGoogle\Books\hamlet 1
declension	C:\MiniGoogle\Books\hamlet 1
decline	C:\MiniGoogle\Books\hamlet 1
declines	C:\MiniGoogle\Books\hamlet 1
declining	C:\MiniGoogle\Books\hamlet 1
deed	C:\MiniGoogle\Books\hamlet 11
deeds	C:\MiniGoogle\Books\hamlet 1
deep	C:\MiniGoogle\Books\hamlet 4
deeply	C:\MiniGoogle\Books\hamlet 1
deer	C:\MiniGoogle\Books\hamlet 1
defeat	C:\MiniGoogle\Books\hamlet 2
defeated	C:\MiniGoogle\Books\hamlet 1
defeats	C:\MiniGoogle\Books\hamlet 1
defect	C:\MiniGoogle\Books\hamlet 2
defective	C:\MiniGoogle\Books\hamlet 1
defence	C:\MiniGoogle\Books\hamlet 2
defend	C:\MiniGoogle\Books\hamlet 3
define	C:\MiniGoogle\Books\hamlet 1
definement	C:\MiniGoogle\Books\hamlet 1
defy	C:\MiniGoogle\Books\hamlet 1
deject	C:\MiniGoogle\Books\hamlet 1
dejected	C:\MiniGoogle\Books\hamlet 1
delated	C:\MiniGoogle\Books\hamlet 1
delay	C:\MiniGoogle\Books\hamlet 2
delays	C:\MiniGoogle\Books\hamlet 1
deliberate	C:\MiniGoogle\Books\hamlet 1
delicate	C:\MiniGoogle\Books\hamlet 2
delight	C:\MiniGoogle\Books\hamlet 3
delights	C:\MiniGoogle\Books\hamlet 3
deliver	C:\MiniGoogle\Books\hamlet 5
delivered	C:\MiniGoogle\Books\hamlet 1
