s	C:\MiniGoogle\Books\hamlet 238
sable	C:\MiniGoogle\Books\hamlet 2
sables	C:\MiniGoogle\Books\hamlet 2
sacred	C:\MiniGoogle\Books\hamlet 1
sadly	C:\MiniGoogle\Books\hamlet 1
sadness	C:\MiniGoogle\Books\hamlet 1
safe	C:\MiniGoogle\Books\hamlet 2
safely	C:\MiniGoogle\Books\hamlet 2
safety	C:\MiniGoogle\Books\hamlet 5
said	C:\MiniGoogle\Books\hamlet 15
sail	C:\MiniGoogle\Books\hamlet 3
sailor	C:\MiniGoogle\Books\hamlet 3
sailors	C:\MiniGoogle\Books\hamlet 4
saint	C:\MiniGoogle\Books\hamlet 3
salary	C:\MiniGoogle\Books\hamlet 1
sale	C:\MiniGoogle\Books\hamlet 1
sallets	C:\MiniGoogle\Books\hamlet 1
salt	C:\MiniGoogle\Books\hamlet 3
salvation	C:\MiniGoogle\Books\hamlet 2
same	C:\MiniGoogle\Books\hamlet 12
sanctified	C:\MiniGoogle\Books\hamlet 1
sanctuarize	C:\MiniGoogle\Books\hamlet 1
sandal	C:\MiniGoogle\Books\hamlet 1
sanity	C:\MiniGoogle\Books\hamlet 1
sans	C:\MiniGoogle\Books\hamlet 1
sat	C:\MiniGoogle\Books\hamlet 2
sate	C:\MiniGoogle\Books\hamlet 1
satirical	C:\MiniGoogle\Books\hamlet 1
satisfaction	C:\MiniGoogle\Books\hamlet 1
satisfied	C:\MiniGoogle\Books\hamlet 1
satyr	C:\MiniGoogle\Books\hamlet 1
savageness	C:\MiniGoogle\Books\hamlet 1
save	C:\MiniGoogle\Books\hamlet 5
saviour	C:\MiniGoogle\Books\hamlet 1
savoury	C:\MiniGoogle\Books\hamlet 1
saw	C:\MiniGoogle\Books\hamlet 13
saws	C:\MiniGoogle\Books\hamlet 1
say	C:\MiniGoogle\Books\hamlet 56
saying	C:\MiniGoogle\Books\hamlet 1
says	C:\MiniGoogle\Books\hamlet 8
sblood	C:\MiniGoogle\Books\hamlet 2
scale	C:\MiniGoogle\Books\hamlet 2
scandal	C:\MiniGoogle\Books\hamlet 2
scann	C:\MiniGoogle\Books\hamlet 1
scant	C:\MiniGoogle\Books\hamlet 1
scanter	C:\MiniGoogle\Books\hamlet 1
scape	C:\MiniGoogle\Books\hamlet 2
scapes	C:\MiniGoogle\Books\hamlet 1
scarce	C:\MiniGoogle\Books\hamlet 2
scarcely	C:\MiniGoogle\Books\hamlet 1
scarf	C:\MiniGoogle\Books\hamlet 1
scattering	C:\MiniGoogle\Books\hamlet 1
scene	C:\MiniGoogle\Books\hamlet 24
scenes	C:\MiniGoogle\Books\hamlet 1
scent	C:\MiniGoogle\Books\hamlet 1
scholar	C:\MiniGoogle\Books\hamlet 2
scholars	C:\MiniGoogle\Books\hamlet 1
school	C:\MiniGoogle\Books\hamlet 1
schoolfellows	C:\MiniGoogle\Books\hamlet 1
sconce	C:\MiniGoogle\Books\hamlet 2
scope	C:\MiniGoogle\Books\hamlet 3
scorn	C:\MiniGoogle\Books\hamlet 1
scorns	C:\MiniGoogle\Books\hamlet 1
scourge	C:\MiniGoogle\Books\hamlet 2
scratch	C:\MiniGoogle\Books\hamlet 1
screen	C:\MiniGoogle\Books\hamlet 1
scrimers	C:\MiniGoogle\Books\hamlet 1
scripture	C:\MiniGoogle\Books\hamlet 2
scruple	C:\MiniGoogle\Books\hamlet 1
scuffling	C:\MiniGoogle\Books\hamlet 1
scullion	C:\MiniGoogle\Books\hamlet 1
se	C:\MiniGoogle\Books\hamlet 1
sea	C:\MiniGoogle\Books\hamlet 8
seal	C:\MiniGoogle\Books\hamlet 9
seals	C:\MiniGoogle\Books\hamlet 1
search	C:\MiniGoogle\Books\hamlet 1
seas	C:\MiniGoogle\Books\hamlet 1
season	C:\MiniGoogle\Books\hamlet 7
seasons	C:\MiniGoogle\Books\hamlet 1
seat	C:\MiniGoogle\Books\hamlet 2
seated	C:\MiniGoogle\Books\hamlet 1
