ye	C:\MiniGoogle\Books\titusandronicus 19
yea	C:\MiniGoogle\Books\titusandronicus 1
year	C:\MiniGoogle\Books\titusandronicus 1
years	C:\MiniGoogle\Books\titusandronicus 4
yelping	C:\MiniGoogle\Books\titusandronicus 1
yes	C:\MiniGoogle\Books\titusandronicus 1
yesternight	C:\MiniGoogle\Books\titusandronicus 1
yet	C:\MiniGoogle\Books\titusandronicus 26
yew	C:\MiniGoogle\Books\titusandronicus 1
yield	C:\MiniGoogle\Books\titusandronicus 3
yoke	C:\MiniGoogle\Books\titusandronicus 3
yoked	C:\MiniGoogle\Books\titusandronicus 1
yonder	C:\MiniGoogle\Books\titusandronicus 1
you	C:\MiniGoogle\Books\titusandronicus 233
young	C:\MiniGoogle\Books\titusandronicus 28
youngest	C:\MiniGoogle\Books\titusandronicus 1
youngling	C:\MiniGoogle\Books\titusandronicus 1
younglings	C:\MiniGoogle\Books\titusandronicus 1
your	C:\MiniGoogle\Books\titusandronicus 127
yours	C:\MiniGoogle\Books\titusandronicus 2
yourself	C:\MiniGoogle\Books\titusandronicus 2
yourselves	C:\MiniGoogle\Books\titusandronicus 1
youth	C:\MiniGoogle\Books\titusandronicus 6
youthful	C:\MiniGoogle\Books\titusandronicus 1
